Geneid,Kiley_A_DZM0422_Aerobic_A,Kiley_A_DZM0422_Aerobic_B,Kiley_A_DZM0422_Aerobic_C,Kiley_A_DZM0422_Anaerobic_A,Kiley_A_DZM0422_Anaerobic_B,Kiley_A_DZM0422_Anaerobic_C,Kiley_A_WT_Aerobic_A,Kiley_A_WT_Aerobic_B,Kiley_A_WT_Aerobic_C,Kiley_A_WT_Anaerobic_A,Kiley_A_WT_Anaerobic_C,Kiley_B_Dfur_-O2_A,Kiley_B_Dfur_-O2_B,Kiley_B_Dfur_-O2_C,Kiley_B_DrsuR_-O2_A,Kiley_B_DrsuR_-O2_B,Kiley_B_DrsuR_-O2_C,Kiley_B_WT_+O2_Ctrl_A,Kiley_B_WT_+O2_Ctrl_B,Kiley_B_WT_+O2_Ctrl_C,Kiley_B_WT_+O2_Paraquat_A,Kiley_B_WT_+O2_Paraquat_B,Kiley_B_WT_+O2_Paraquat_C,Kiley_B_WT_-O2_Ctrl_A,Kiley_B_WT_-O2_Ctrl_B,Kiley_B_WT_-O2_Ctrl_C,Kiley_B_WT_-O2_NoFe_A,Kiley_B_WT_-O2_NoFe_B,Kiley_B_WT_-O2_NoFe_C,Kiley_B_WT_-O2_NoFe_DIP_A,Kiley_B_WT_-O2_NoFe_DIP_B,Kiley_B_WT_-O2_NoFe_DIP_C,Kiley_B_WT_-O2_Peroxide_A,Kiley_B_WT_-O2_Peroxide_C
ZCP4_0001,6.424416206658522,6.38348818027914,6.567628517655539,6.5807668179168735,6.62582931960377,6.657399628509635,6.8276780785127835,6.806741124121786,6.831231517410267,6.52782432824241,6.630218085289802,6.277274538632778,6.581190103538854,6.466316941356698,6.8699283405847,6.697065482129588,6.946218371202759,6.807243811561055,6.713942200232203,6.804536862014663,6.638104238204548,6.720396215260768,6.577178849218185,6.9332957020737265,6.753442039409146,6.8176558485001415,6.721457149924482,6.920074334985948,7.001997485636663,6.937600742493075,6.924576404161427,6.861226631858463,3.711552324892543,5.35479596164251
ZCP4_0002,6.466012326989153,6.427276139737604,6.536097792462392,6.4988827147833925,6.532696997877449,6.570470434790759,6.81424083748926,6.7860548583355165,6.777830020026859,6.489716513383885,6.470931118778673,6.626923919096021,6.616408294087708,6.545746312500231,6.730463344167288,6.7951727036743454,6.845823284585437,6.842172842204199,6.888577529054741,6.822625585837524,6.699005542965632,6.774832317148623,6.687565363612034,6.916565169774982,6.776424808569243,7.0101682124210125,6.752739689691356,6.829926957222604,6.808803238221337,6.901704483288738,6.883672577797995,6.843650518540572,3.4662329364617315,5.262928272073164
ZCP4_0003,13.081698772986778,12.990062313635677,12.997183687184979,12.512984110278312,12.60272881245186,12.575630074507194,13.166625587008696,13.18613417734014,13.168152112248208,12.852714532896982,12.91253240231334,12.39128744499721,12.422684340460444,12.523362816461466,12.13357842131753,11.907009046019496,12.153157417609677,12.835681989726186,12.808469800327455,12.901797457521154,13.019063627089817,13.015738507200638,13.004849225091512,12.207341611169587,12.279739060550249,11.998651545287032,12.358938919228121,12.264777608404353,12.285700886548748,12.18558302542572,12.215878216355414,12.003531892924482,12.25962400294603,12.38090068783773
ZCP4_0004,8.248289987064428,8.220727984181437,8.1599621022989,8.117322240859822,8.121182068089212,8.159585785865515,7.723934976999101,7.764315461631628,7.854671861336483,8.057045424159943,8.20267542521415,8.791644323695655,8.736513986283054,8.614818176468885,8.460028261190745,8.552108788831205,8.384934577506542,8.081226545953443,8.137805424855769,8.10219191557756,7.835741720972563,8.083827226285146,7.714340362753469,8.13225507020148,8.102858211809297,8.336004960644598,8.25310388804122,8.416694846065523,8.31991316995981,8.498210272393791,8.605743569459507,8.55705934372058,9.38692609347014,9.178898873407007
ZCP4_0005,10.469930564819142,10.473414846050204,10.372097246560209,9.319831814448879,9.66604107707136,9.459663860627217,9.89861771868045,9.748082759301113,9.718988186573508,9.609276404119147,9.49593842634821,10.221161214005953,10.313548351634632,10.142293830998037,9.589375407972462,9.3581359264105,9.615522574766796,9.513983403321326,9.564230251982062,9.365008039581582,9.416263083618423,9.269690557338897,9.385470437909905,9.358060851033365,9.56808192333304,9.261161180323372,9.387125872101834,9.473255577973847,9.5461646434657,9.413042873397838,9.381609890319307,9.326744574405907,10.637753229964227,11.172003164152281
ZCP4_0006,6.280492752075828,6.234316960394397,6.24777888593513,6.118303980901962,6.149964142386091,6.165639267600386,6.28909733124506,6.422746600509645,6.24301414232572,6.234385164980376,6.109315965260301,6.6992774090292775,6.679825333786806,6.509171710036218,6.391463032475253,6.140990912029325,6.339255973138932,6.598989057412876,6.6905979666861075,6.4331354377467775,6.454421456748314,6.550089643102632,6.415807385613589,6.433662262412685,6.33806949013748,6.324834261513297,6.320125860993816,6.386257382871492,6.241595367195834,6.474576672809438,6.345480171407888,6.224692227876794,6.2630290548246546,6.868623072959967
ZCP4_0007,6.998695962470753,6.951613756875493,7.012876284949406,6.523199597712461,6.6372432545729865,6.644411955649298,6.999205565980596,6.952931239024516,6.84350382971339,6.508927712708705,6.4351983412555995,7.3992512715059755,7.612631532998672,7.551505370145239,7.2191071960525,7.0091611350377345,7.120749920157287,7.500026049949852,7.669478184358557,7.38902699181517,7.3656672310385,7.475687507254409,7.440180773172281,7.0649542644432,7.218933898604443,6.931729060930506,7.061998295490783,7.285231076280488,7.131800741080017,7.05271134776998,6.989285817187632,6.767799474672766,8.161982059669924,8.076710539109813
ZCP4_0008,9.117028207084028,9.115494261298444,9.103956416365532,9.290039715065246,9.30881720516125,9.29320324160918,9.207342142072184,9.187711194753678,9.223038035910909,9.215588926443642,9.209853809323446,9.234887034395257,9.293621131159991,9.038220534415787,8.99624239808923,9.037655831877537,8.99897713950341,9.165823000915827,9.169548210078847,9.197757988795788,8.878201808799755,8.889270651636247,8.90154862843941,9.062948475744385,9.095961948183529,9.075017123184372,8.85878017849369,9.049803007893193,8.988039417233972,8.875316283571925,8.98427828782645,9.059882885553135,8.519060972095,8.815785219506292
ZCP4_0009,8.245313560021996,8.245018877914601,8.26439337212093,8.681149779970065,8.680646685662973,8.727535441042425,8.314143239286851,8.376599996208121,8.416090374951496,8.589824887289602,8.744496154005615,8.510439417835844,8.509568052686102,8.508391155318398,8.494037825512875,8.48679818953707,8.515245953303278,8.310369179162604,8.392396144859855,8.36072450000652,8.063546068873631,8.18303394793297,8.050641290785252,8.57865092082492,8.574718948764263,8.595822488869889,8.559649565026223,8.564306055189396,8.59619121652791,8.474806583352779,8.613828328584193,8.52072549740659,8.02284379603508,7.725561781887212
ZCP4_0010,7.995665938064582,7.982594866676059,7.958619771843421,8.231124138276666,8.290398564346464,8.275556490599486,8.145691952395914,8.142430067789153,8.211302022117083,8.310407524478418,8.386626049654486,8.156360702788865,8.057756320990325,8.17726417258856,8.070101238833791,8.133593970362167,8.190654191183166,8.196049581298777,8.2347885166108,8.267503234285737,7.890684283943699,7.934063600609804,8.069638751681463,8.229470640173039,8.178128122178217,8.177772753234146,8.183585087116956,8.205582403797994,8.186000541947505,8.124381358341541,8.251701833095543,8.300933969201278,7.6966830430497275,7.453766528735046
