Sample	Unassigned: r RNA	Unassigned: Overlapping Length	Unassigned: No Features	Unassigned: Ambiguity	Unassigned: Unmapped	Assigned
SRX2037717	5761615.0	669414.0	2932579.0	7370.0	7713832.0	8959822.0
SRX2116174	2189144.0	87110.0	288200.0	1069.0	3250662.0	1453203.0
SRX2116175	2243059.0	77629.0	288999.0	1020.0	3851506.0	1337137.0
SRX2116176	2000754.0	168803.0	232905.0	1795.0	1810742.0	2719141.0
SRX21659709	3637729.0	402722.0	1065479.0	6979.0	4069058.0	11283339.0
SRX21659710	2654110.0	487409.0	984666.0	8326.0	4651446.0	13611687.0
SRX21659711	8685666.0	947885.0	2406796.0	17393.0	9562520.0	28554388.0
SRX22720559	412148.0	1454869.0	1934733.0	21789.0	6396036.0	26062205.0
SRX22720560	440628.0	1428434.0	1909429.0	22510.0	6257946.0	26165129.0
SRX22720561	211313.0	1366649.0	2394858.0	19066.0	5963654.0	26241630.0
SRX22720562	345390.0	1321235.0	2668455.0	20062.0	6112056.0	25602824.0
SRX22720563	292737.0	1359053.0	2317028.0	19565.0	6257016.0	25835067.0
SRX22720564	347571.0	1384331.0	2126231.0	19182.0	6073072.0	26340033.0
SRX22720565	466316.0	1300704.0	2183693.0	21272.0	6398086.0	25733613.0
SRX22720566	381931.0	1323465.0	2148664.0	21856.0	6836080.0	25515170.0
SRX22720567	351070.0	1327387.0	2111677.0	20416.0	6062450.0	26173812.0
SRX22720568	363004.0	1350469.0	2163214.0	19747.0	6113690.0	26062976.0
SRX22720569	681638.0	1293320.0	2234947.0	21765.0	6253634.0	25693434.0
SRX22720570	341382.0	1293960.0	2325758.0	21502.0	6273310.0	25979656.0
SRX22720571	152897.0	1577717.0	2103696.0	20735.0	5940614.0	26471545.0
SRX22720572	111597.0	1480218.0	3054043.0	19708.0	5772394.0	25691774.0
SRX22720574	290308.0	1436532.0	1909897.0	24158.0	6813982.0	25687523.0
