Sample	Unassigned: r RNA	Unassigned: Overlapping Length	Unassigned: No Features	Unassigned: Ambiguity	Unassigned: Unmapped	Assigned
SRX8694709	65722.0	228625.0	351232.0	3458.0	2144496.0	5692153.0
SRX8694710	69498.0	374238.0	422801.0	4926.0	2312574.0	7446611.0
SRX8694711	111554.0	287823.0	345514.0	4014.0	1771976.0	5814727.0
SRX8694712	36939.0	339209.0	336029.0	5706.0	2330996.0	6863765.0
SRX8694713	42151.0	244275.0	277604.0	4942.0	1725270.0	5442764.0
SRX8694714	37213.0	282162.0	311275.0	4945.0	1898346.0	5828925.0
SRX8694715	59169.0	324628.0	401296.0	4883.0	2077810.0	5996598.0
SRX8694716	166327.0	301242.0	367432.0	4359.0	1811328.0	5607580.0
SRX8694717	93500.0	367193.0	459725.0	5509.0	2181786.0	6804833.0
SRX8694718	40697.0	243824.0	292524.0	4777.0	2097080.0	5835552.0
SRX8694719	385463.0	293346.0	357676.0	4488.0	1775518.0	5475037.0
SRX8694720	71940.0	252307.0	265891.0	4368.0	1558832.0	5343582.0
SRX8694721	51199.0	311558.0	354760.0	3631.0	1951554.0	5676466.0
SRX8694722	47917.0	330360.0	360072.0	4144.0	2088470.0	6565647.0
SRX8694723	21165.0	240013.0	287850.0	5000.0	1999138.0	6055292.0
SRX8694724	43183.0	249547.0	291922.0	4408.0	2070002.0	5775528.0
SRX8694725	103199.0	250398.0	283418.0	4553.0	2073124.0	6056696.0
SRX8694726	50939.0	265710.0	300927.0	5563.0	2395196.0	7422001.0
SRX8694727	47851.0	270335.0	355383.0	6115.0	2475872.0	7650592.0
