Sample	per_sequence_gc_content	per_base_sequence_quality	per_sequence_quality_scores	sequence_length_distribution	total_deduplicated_percentage	Encoding	sequence_duplication_levels	Total Sequences	Sequence length	per_base_sequence_content	%GC	per_tile_sequence_quality	per_base_n_content	Sequences flagged as poor quality	File type	median_sequence_length	adapter_content	Filename	Total Bases	basic_statistics	overrepresented_sequences	avg_sequence_length
SRX22720574	pass	pass	pass	warn	21.287856343603163	Sanger / Illumina 1.9	fail	18081200.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720574_val_1.fq.gz	1.7 Gbp	pass	pass	99.22776076809062
SRX22720575	pass	pass	pass	warn	21.823944514612933	Sanger / Illumina 1.9	fail	18013353.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720575_val_1.fq.gz	1.7 Gbp	pass	pass	99.22570017919485
SRX22720576	pass	pass	pass	warn	22.714978219283253	Sanger / Illumina 1.9	fail	18044288.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720576_val_1.fq.gz	1.7 Gbp	pass	warn	99.22465580243454
SRX22720577	pass	pass	pass	warn	21.609278013887415	Sanger / Illumina 1.9	fail	18083534.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720577_val_1.fq.gz	1.7 Gbp	pass	pass	99.22466073279703
SRX22720578	pass	pass	pass	warn	21.878381388435987	Sanger / Illumina 1.9	fail	18034333.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720578_val_2.fq.gz	1.7 Gbp	pass	pass	99.2633611678347
SRX22720579	pass	pass	pass	warn	21.71836488544606	Sanger / Illumina 1.9	fail	18094287.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720579_val_2.fq.gz	1.8 Gbp	pass	pass	99.27076861331977
SRX3316529	warn	pass	pass	warn	9.63399231563986	Sanger / Illumina 1.9	fail	34187657.0	20-100	fail	46.0		pass	0.0	Conventional base calls	100	pass	SRX3316529_val_2.fq.gz	3.3 Gbp	pass	warn	98.78234100687274
SRX3316530	warn	pass	pass	warn	8.691302473639324	Sanger / Illumina 1.9	fail	27267106.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316530_val_1.fq.gz	2.7 Gbp	pass	warn	98.91896969190643
SRX3316531	pass	pass	pass	warn	9.116731898656223	Sanger / Illumina 1.9	fail	27384912.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316531_val_1.fq.gz	2.7 Gbp	pass	warn	98.96374865108203
SRX3316532	warn	pass	pass	warn	8.609819627615558	Sanger / Illumina 1.9	fail	31276617.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316532_val_1.fq.gz	3.1 Gbp	pass	warn	98.98787467966883
SRX3316533	warn	pass	pass	warn	8.597877239748867	Sanger / Illumina 1.9	fail	31008374.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316533_val_1.fq.gz	3 Gbp	pass	warn	98.95409923783814
SRX3316534	warn	pass	pass	warn	9.393328363331433	Sanger / Illumina 1.9	fail	26720386.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316534_val_1.fq.gz	2.6 Gbp	pass	warn	98.94206251361788
SRX3316535	warn	pass	pass	warn	8.849958994479834	Sanger / Illumina 1.9	fail	28096774.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316535_val_1.fq.gz	2.7 Gbp	pass	warn	98.78916063459812
SRX3316536	pass	pass	pass	warn	11.412003318906267	Sanger / Illumina 1.9	fail	27088389.0	20-100	fail	47.0		pass	0.0	Conventional base calls	100	pass	SRX3316536_val_1.fq.gz	2.6 Gbp	pass	warn	98.996124354239
SRX3316537	warn	pass	pass	warn	9.904153880897384	Sanger / Illumina 1.9	fail	27615590.0	20-100	fail	47.0		pass	0.0	Conventional base calls	100	pass	SRX3316537_val_1.fq.gz	2.7 Gbp	pass	warn	98.97813908737781
SRX3316538	warn	pass	pass	warn	9.068777657822729	Sanger / Illumina 1.9	fail	26824681.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316538_val_2.fq.gz	2.6 Gbp	pass	warn	98.71710973934788
SRX3316539	warn	pass	pass	warn	9.38877916940412	Sanger / Illumina 1.9	fail	24670955.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316539_val_2.fq.gz	2.4 Gbp	pass	warn	98.73227031543773
SRX3316540	warn	pass	pass	warn	9.229871697804674	Sanger / Illumina 1.9	fail	29475617.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316540_val_1.fq.gz	2.9 Gbp	pass	warn	98.97791296446823
SRX3316541	pass	pass	pass	warn	8.187599246585181	Sanger / Illumina 1.9	fail	30191895.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316541_val_1.fq.gz	2.9 Gbp	pass	warn	99.01157625250087
SRX3316542	pass	pass	pass	warn	8.422593282333413	Sanger / Illumina 1.9	fail	26983182.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316542_val_1.fq.gz	2.6 Gbp	pass	warn	98.9766948909139
SRX3316543	warn	pass	pass	warn	7.988637825693219	Sanger / Illumina 1.9	fail	30129879.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316543_val_1.fq.gz	2.9 Gbp	pass	warn	98.98870161410207
SRX3316544	warn	pass	pass	warn	9.490824310929954	Sanger / Illumina 1.9	fail	23851713.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316544_val_1.fq.gz	2.3 Gbp	pass	warn	98.89281612603673
SRX3316545	warn	pass	pass	warn	8.694274736256919	Sanger / Illumina 1.9	fail	23142305.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316545_val_1.fq.gz	2.2 Gbp	pass	warn	98.96913639328494
SRX3316546	pass	pass	pass	warn	8.101702656124772	Sanger / Illumina 1.9	fail	27559711.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316546_val_1.fq.gz	2.7 Gbp	pass	warn	98.9620531216746
SRX3316547	pass	pass	pass	warn	9.563254695876946	Sanger / Illumina 1.9	fail	21680779.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316547_val_1.fq.gz	2.1 Gbp	pass	warn	98.97369905389469
SRX3316548	warn	pass	pass	warn	8.858760871111503	Sanger / Illumina 1.9	fail	23576668.0	20-100	fail	47.0		pass	0.0	Conventional base calls	100	pass	SRX3316548_val_2.fq.gz	2.3 Gbp	pass	warn	98.76784302175354
SRX3316549	warn	pass	pass	warn	8.81720300835088	Sanger / Illumina 1.9	fail	22880613.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316549_val_2.fq.gz	2.2 Gbp	pass	warn	98.77100408105325
SRX3316550	warn	pass	pass	warn	8.36733305641496	Sanger / Illumina 1.9	fail	27570773.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316550_val_1.fq.gz	2.7 Gbp	pass	warn	98.98589292364055
SRX3316551	warn	pass	pass	warn	8.758561490055842	Sanger / Illumina 1.9	fail	29274630.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316551_val_1.fq.gz	2.9 Gbp	pass	warn	98.95666568629561
SRX3316552	pass	pass	pass	warn	8.709043501306773	Sanger / Illumina 1.9	fail	26696675.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316552_val_1.fq.gz	2.6 Gbp	pass	warn	98.99592799477837
SRX3316553	pass	pass	pass	warn	8.888490851520702	Sanger / Illumina 1.9	fail	24895673.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316553_val_1.fq.gz	2.4 Gbp	pass	warn	98.94845911576682
SRX3316554	warn	pass	pass	warn	9.093448154759825	Sanger / Illumina 1.9	fail	25638923.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316554_val_1.fq.gz	2.5 Gbp	pass	warn	98.96580125460028
SRX3316555	warn	pass	pass	warn	10.7298206323761	Sanger / Illumina 1.9	fail	22534298.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316555_val_1.fq.gz	2.2 Gbp	pass	warn	98.98013987389356
SRX3316556	warn	pass	pass	warn	9.162008893536347	Sanger / Illumina 1.9	fail	23901637.0	20-100	fail	47.0		pass	0.0	Conventional base calls	100	pass	SRX3316556_val_1.fq.gz	2.3 Gbp	pass	warn	99.00847921002232
SRX3316557	pass	pass	pass	warn	8.69447596261023	Sanger / Illumina 1.9	fail	26348637.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316557_val_1.fq.gz	2.6 Gbp	pass	warn	98.98547321442092
SRX3316558	warn	pass	pass	warn	10.372062283998588	Sanger / Illumina 1.9	fail	22398675.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316558_val_2.fq.gz	2.2 Gbp	pass	warn	98.562683551594
SRX3316559	warn	pass	pass	warn	9.497105668924062	Sanger / Illumina 1.9	fail	25816043.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316559_val_2.fq.gz	2.5 Gbp	pass	warn	99.25224892133934
SRX3316560	warn	pass	pass	warn	8.221205402867731	Sanger / Illumina 1.9	fail	26109608.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316560_val_2.fq.gz	2.5 Gbp	pass	warn	98.79544817371445
SRX3316561	warn	pass	pass	warn	10.095856565408079	Sanger / Illumina 1.9	fail	26850148.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316561_val_2.fq.gz	2.6 Gbp	pass	warn	98.7934946205883
SRX3316625	warn	pass	pass	warn	8.911647538899265	Sanger / Illumina 1.9	fail	24988709.0	20-100	fail	47.0		pass	0.0	Conventional base calls	100	pass	SRX3316625_val_2.fq.gz	2.4 Gbp	pass	warn	98.724275431756
SRX3316626	warn	pass	pass	warn	10.564797091798509	Sanger / Illumina 1.9	fail	24387637.0	20-100	fail	47.0		pass	0.0	Conventional base calls	100	pass	SRX3316626_val_2.fq.gz	2.4 Gbp	pass	warn	98.78160553234412
SRX3316627	warn	pass	pass	warn	8.783782013205544	Sanger / Illumina 1.9	fail	25340420.0	20-100	fail	47.0		pass	0.0	Conventional base calls	100	pass	SRX3316627_val_2.fq.gz	2.5 Gbp	pass	warn	98.80988357730456
SRX3316628	warn	pass	pass	warn	8.920600786726817	Sanger / Illumina 1.9	fail	25322597.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316628_val_1.fq.gz	2.5 Gbp	pass	warn	98.99858572957584
SRX3316629	pass	pass	pass	warn	9.178841176299509	Sanger / Illumina 1.9	fail	23458398.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316629_val_1.fq.gz	2.3 Gbp	pass	warn	98.99470731121536
SRX3316630	warn	pass	pass	warn	8.446818763651475	Sanger / Illumina 1.9	fail	30224370.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316630_val_2.fq.gz	2.9 Gbp	pass	warn	98.81452443839193
SRX3316631	warn	pass	pass	warn	8.788662437636363	Sanger / Illumina 1.9	fail	28121194.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316631_val_2.fq.gz	2.7 Gbp	pass	warn	98.75413227475335
SRX3316632	warn	pass	pass	warn	8.907836767055414	Sanger / Illumina 1.9	fail	23665284.0	20-100	fail	47.0		pass	0.0	Conventional base calls	100	pass	SRX3316632_val_2.fq.gz	2.3 Gbp	pass	warn	98.81743308045658
SRX3316633	warn	pass	pass	warn	10.727226387289177	Sanger / Illumina 1.9	fail	23686120.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316633_val_2.fq.gz	2.3 Gbp	pass	warn	98.75832588874835
SRX3316634	warn	pass	pass	warn	9.472873652354707	Sanger / Illumina 1.9	fail	24683487.0	20-100	fail	47.0		pass	0.0	Conventional base calls	100	pass	SRX3316634_val_2.fq.gz	2.4 Gbp	pass	warn	98.79703479496231
SRX3316735	pass	pass	pass	warn	10.271241544958881	Sanger / Illumina 1.9	fail	28662558.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316735_val_1.fq.gz	2.8 Gbp	pass	warn	99.0033902068336
SRX3316736	warn	pass	pass	warn	8.175603458172228	Sanger / Illumina 1.9	fail	31293423.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316736_val_1.fq.gz	3.1 Gbp	pass	warn	99.0238875433985
SRX3316737	warn	pass	pass	warn	8.664762733361552	Sanger / Illumina 1.9	fail	32642950.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316737_val_1.fq.gz	3.2 Gbp	pass	warn	99.02478575006242
SRX3316738	warn	pass	pass	warn	9.753065991798671	Sanger / Illumina 1.9	fail	29647573.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316738_val_2.fq.gz	2.9 Gbp	pass	warn	98.84554631166606
SRX3316739	warn	pass	pass	warn	11.787263049471674	Sanger / Illumina 1.9	fail	25471284.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316739_val_2.fq.gz	2.5 Gbp	pass	warn	98.7683588310664
SRX3316740	pass	pass	pass	warn	14.374945294263576	Sanger / Illumina 1.9	fail	19780477.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316740_val_1.fq.gz	1.9 Gbp	pass	warn	98.11499864234821
SRX3316741	pass	pass	pass	warn	7.3037711714704505	Sanger / Illumina 1.9	fail	38120856.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316741_val_1.fq.gz	3.7 Gbp	pass	warn	98.3473004383742
SRX3316742	warn	pass	pass	warn	8.525527909356807	Sanger / Illumina 1.9	fail	29344818.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316742_val_1.fq.gz	2.9 Gbp	pass	warn	99.02290707681335
SRX3316743	pass	pass	pass	warn	8.532576640300316	Sanger / Illumina 1.9	fail	29251085.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316743_val_1.fq.gz	2.9 Gbp	pass	warn	98.99862668342045
SRX3316744	warn	pass	pass	warn	19.82762964898214	Sanger / Illumina 1.9	fail	7870040.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316744_val_1.fq.gz	771.8 Mbp	pass	fail	97.75910084319774
SRX3316745	warn	pass	pass	warn	10.574622586916577	Sanger / Illumina 1.9	fail	22966819.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316745_val_1.fq.gz	2.2 Gbp	pass	warn	97.76722662376535
SRX3316746	pass	pass	pass	warn	13.885859254292981	Sanger / Illumina 1.9	fail	22079987.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316746_val_1.fq.gz	2.1 Gbp	pass	warn	97.45875031538742
SRX3316747	warn	pass	pass	warn	13.831713279147465	Sanger / Illumina 1.9	fail	27058157.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316747_val_1.fq.gz	2.6 Gbp	pass	warn	98.85844508922023
SRX3316748	warn	pass	pass	warn	10.82322041556352	Sanger / Illumina 1.9	fail	26548565.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316748_val_2.fq.gz	2.6 Gbp	pass	warn	98.77128515232367
SRX3316749	warn	pass	pass	warn	15.551722711029603	Sanger / Illumina 1.9	fail	25064444.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316749_val_2.fq.gz	2.4 Gbp	pass	warn	99.10455695725786
SRX3316750	pass	pass	pass	warn	8.365385406287414	Sanger / Illumina 1.9	fail	27434622.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316750_val_1.fq.gz	2.7 Gbp	pass	warn	98.98365459527746
SRX3316751	warn	pass	pass	warn	9.735854734023903	Sanger / Illumina 1.9	fail	21818113.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316751_val_1.fq.gz	2.1 Gbp	pass	warn	99.19298428787127
SRX3316752	warn	pass	pass	warn	9.872854771807841	Sanger / Illumina 1.9	fail	17671125.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316752_val_1.fq.gz	1.7 Gbp	pass	warn	99.04186179431134
SRX3316753	warn	pass	pass	warn	9.171506993647133	Sanger / Illumina 1.9	fail	22715829.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316753_val_1.fq.gz	2.2 Gbp	pass	warn	99.01621032628833
SRX3316754	warn	pass	pass	warn	9.71409693305789	Sanger / Illumina 1.9	fail	20264952.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316754_val_1.fq.gz	2 Gbp	pass	warn	99.04161934358393
SRX3316755	warn	pass	pass	warn	9.045255893579311	Sanger / Illumina 1.9	fail	26021672.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316755_val_1.fq.gz	2.5 Gbp	pass	warn	98.97137240066664
SRX3316756	warn	pass	pass	warn	10.306224204255754	Sanger / Illumina 1.9	fail	19262417.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316756_val_1.fq.gz	1.9 Gbp	pass	warn	98.85674741648465
SRX3316757	warn	pass	pass	warn	9.536778453514728	Sanger / Illumina 1.9	fail	20702922.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3316757_val_1.fq.gz	2 Gbp	pass	warn	99.04653922765105
SRX3316758	warn	pass	pass	warn	10.034056111108915	Sanger / Illumina 1.9	fail	26232572.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3316758_val_2.fq.gz	2.5 Gbp	pass	warn	98.5634668228491
SRX3411505	fail	pass	pass	warn	20.097679513310727	Sanger / Illumina 1.9	fail	7814015.0	20-150	fail	50.0		pass	0.0	Conventional base calls	147	pass	SRX3411505_val_2.fq.gz	1.1 Gbp	pass	fail	140.49088132029436
SRX3411506	fail	pass	pass	warn	24.196512475489012	Sanger / Illumina 1.9	fail	4882364.0	20-150	fail	50.0		pass	0.0	Conventional base calls	147	warn	SRX3411506_val_2.fq.gz	686.4 Mbp	pass	fail	139.99582108175466
SRX3411507	fail	pass	pass	warn	23.90124043879251	Sanger / Illumina 1.9	fail	5921763.0	20-150	fail	50.0		pass	0.0	Conventional base calls	147	pass	SRX3411507_val_2.fq.gz	832.1 Mbp	pass	fail	139.89881205985446
SRX3411508	warn	pass	pass	warn	10.76663344578239	Sanger / Illumina 1.9	fail	4869241.0	20-150	fail	51.0		pass	0.0	Conventional base calls	147	pass	SRX3411508_val_1.fq.gz	692.9 Mbp	pass	fail	141.78821237231838
SRX3411509	warn	pass	pass	warn	12.40730687855795	Sanger / Illumina 1.9	fail	5393816.0	20-150	fail	51.0		pass	0.0	Conventional base calls	147	pass	SRX3411509_val_1.fq.gz	756.3 Mbp	pass	fail	139.7397176692716
SRX3411510	fail	pass	pass	warn	31.014849933037304	Sanger / Illumina 1.9	fail	5524772.0	20-150	fail	50.0		pass	0.0	Conventional base calls	147	warn	SRX3411510_val_2.fq.gz	764.9 Mbp	pass	fail	137.81909769308126
SRX3411511	fail	pass	pass	warn	27.24218379549605	Sanger / Illumina 1.9	fail	6600166.0	20-150	fail	50.0		pass	0.0	Conventional base calls	147	warn	SRX3411511_val_2.fq.gz	902.3 Mbp	pass	fail	136.1357250711573
SRX3411512	fail	pass	pass	warn	27.924696724470444	Sanger / Illumina 1.9	fail	4171299.0	20-150	fail	51.0		pass	0.0	Conventional base calls	147	warn	SRX3411512_val_2.fq.gz	576.7 Mbp	pass	fail	137.68885831487984
SRX3411513	fail	pass	pass	warn	27.956705879861378	Sanger / Illumina 1.9	fail	5271239.0	20-150	fail	51.0		pass	0.0	Conventional base calls	147	warn	SRX3411513_val_2.fq.gz	726.9 Mbp	pass	fail	137.3223016448315
SRX3411514	warn	pass	pass	warn	37.435128156492866	Sanger / Illumina 1.9	fail	4479449.0	20-150	fail	47.0		pass	0.0	Conventional base calls	147	warn	SRX3411514_val_2.fq.gz	641.5 Mbp	pass	fail	142.52392024108323
SRX3411515	fail	pass	pass	warn	37.50239957170101	Sanger / Illumina 1.9	fail	4120768.0	20-150	fail	48.0		pass	0.0	Conventional base calls	147	warn	SRX3411515_val_2.fq.gz	584.6 Mbp	pass	fail	141.19795606061783
SRX3411516	warn	pass	pass	warn	32.356801321178374	Sanger / Illumina 1.9	fail	5705116.0	20-150	fail	42.0		pass	0.0	Conventional base calls	147	warn	SRX3411516_val_2.fq.gz	798.4 Mbp	pass	fail	139.29706915687603
SRX3411517	fail	pass	pass	warn	37.78951713125067	Sanger / Illumina 1.9	fail	5466112.0	20-150	fail	46.0		pass	0.0	Conventional base calls	147	fail	SRX3411517_val_2.fq.gz	758.2 Mbp	pass	fail	138.04535490674175
SRX3411518	warn	pass	pass	warn	24.826649567121507	Sanger / Illumina 1.9	fail	3014835.0	20-150	fail	48.0		pass	0.0	Conventional base calls	147	fail	SRX3411518_val_1.fq.gz	436.3 Mbp	pass	warn	144.1220030283581
SRX3411519	fail	pass	pass	warn	21.270739486898734	Sanger / Illumina 1.9	fail	3246599.0	20-150	fail	48.0		pass	0.0	Conventional base calls	147	pass	SRX3411519_val_1.fq.gz	464.9 Mbp	pass	warn	142.5521109936891
SRX3411520	fail	pass	pass	warn	17.59939480600174	Sanger / Illumina 1.9	fail	3454582.0	20-150	fail	48.0		pass	0.0	Conventional base calls	147	pass	SRX3411520_val_1.fq.gz	492.2 Mbp	pass	fail	141.87774729330496
SRX3411521	fail	pass	pass	warn	16.331341757772886	Sanger / Illumina 1.9	fail	5246880.0	20-150	fail	46.0		pass	0.0	Conventional base calls	147	pass	SRX3411521_val_1.fq.gz	754.4 Mbp	pass	warn	143.15692583020765
SRX3411522	fail	pass	pass	warn	20.978196647907417	Sanger / Illumina 1.9	fail	4041952.0	20-150	fail	47.0		pass	0.0	Conventional base calls	147	pass	SRX3411522_val_1.fq.gz	577.5 Mbp	pass	fail	142.24407415031152
SRX3411523	fail	pass	pass	warn	18.79993343698195	Sanger / Illumina 1.9	fail	4521823.0	20-150	fail	49.0		pass	0.0	Conventional base calls	147	pass	SRX3411523_val_1.fq.gz	643.5 Mbp	pass	warn	141.7032847150364
SRX3411524	fail	pass	pass	warn	12.208595369479207	Sanger / Illumina 1.9	fail	6225367.0	20-150	fail	50.0		pass	0.0	Conventional base calls	147	pass	SRX3411524_val_1.fq.gz	877.8 Mbp	pass	fail	140.44025677522305
SRX3411525	fail	pass	pass	warn	14.76822047482722	Sanger / Illumina 1.9	fail	4343858.0	20-150	fail	49.0		pass	0.0	Conventional base calls	147	pass	SRX3411525_val_1.fq.gz	621.4 Mbp	pass	fail	142.42360915112786
SRX3541437	warn	pass	pass	warn	5.093953641154125	Sanger / Illumina 1.9	fail	40340842.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX3541437_val_1.fq.gz	4 Gbp	pass	warn	99.07910181944145
SRX3541438	warn	pass	pass	warn	8.687453248246571	Sanger / Illumina 1.9	fail	32231700.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3541438_val_2.fq.gz	3.1 Gbp	pass	warn	98.8908690512756
SRX3541439	warn	pass	pass	warn	8.583605029474638	Sanger / Illumina 1.9	fail	32719052.0	20-100	fail	50.0		pass	0.0	Conventional base calls	100	pass	SRX3541439_val_2.fq.gz	3.2 Gbp	pass	warn	98.85932544744878
SRX3541440	pass	pass	pass	warn	7.374661955514158	Sanger / Illumina 1.9	fail	30606642.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3541440_val_1.fq.gz	3 Gbp	pass	warn	99.08815361057904
SRX3541441	warn	pass	pass	warn	5.166019786200811	Sanger / Illumina 1.9	fail	31270580.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX3541441_val_1.fq.gz	3.1 Gbp	pass	warn	99.13838624035755
SRX3541442	pass	pass	pass	warn	7.553569150111958	Sanger / Illumina 1.9	fail	34982275.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3541442_val_1.fq.gz	3.4 Gbp	pass	warn	99.0680244781107
SRX3541443	warn	pass	pass	warn	5.459900722259277	Sanger / Illumina 1.9	fail	28369857.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX3541443_val_1.fq.gz	2.8 Gbp	pass	warn	99.13371286996617
SRX3541444	warn	pass	pass	warn	5.448580104521987	Sanger / Illumina 1.9	fail	28524487.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX3541444_val_1.fq.gz	2.8 Gbp	pass	warn	99.10622448705213
SRX3541445	fail	pass	pass	warn	6.686186231041607	Sanger / Illumina 1.9	fail	32839959.0	20-100	fail	51.0		pass	0.0	Conventional base calls	100	pass	SRX3541445_val_1.fq.gz	3.2 Gbp	pass	warn	99.03098204233446
SRX3541446	fail	pass	pass	warn	6.452897888019332	Sanger / Illumina 1.9	fail	36566020.0	20-100	fail	51.0		pass	0.0	Conventional base calls	100	pass	SRX3541446_val_1.fq.gz	3.6 Gbp	pass	warn	99.11779417065353
SRX3541447	warn	pass	pass	warn	5.033517140349479	Sanger / Illumina 1.9	fail	30553964.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX3541447_val_1.fq.gz	3 Gbp	pass	fail	99.07992462123737
SRX3541448	fail	pass	pass	warn	9.942515656203156	Sanger / Illumina 1.9	fail	26869457.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX3541448_val_2.fq.gz	2.6 Gbp	pass	fail	98.8158640496531
SRX3541449	fail	pass	pass	warn	7.078089104715701	Sanger / Illumina 1.9	fail	36439102.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX3541449_val_2.fq.gz	3.6 Gbp	pass	fail	98.73156270426203
SRX3541450	fail	pass	pass	warn	6.7737496898692395	Sanger / Illumina 1.9	fail	30406857.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX3541450_val_1.fq.gz	3 Gbp	pass	warn	99.09608947744911
SRX3541451	fail	pass	pass	warn	9.795398691433228	Sanger / Illumina 1.9	fail	31504204.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX3541451_val_1.fq.gz	3.1 Gbp	pass	warn	99.03572005818653
SRX3541452	warn	pass	pass	warn	6.010493025760419	Sanger / Illumina 1.9	fail	22376682.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX3541452_val_1.fq.gz	2.2 Gbp	pass	warn	99.0044982540307
SRX3541453	warn	pass	pass	warn	4.535305546510185	Sanger / Illumina 1.9	fail	23818423.0	21-100	fail	54.0		pass	0.0	Conventional base calls	100	pass	SRX3541453_val_1.fq.gz	2.3 Gbp	pass	warn	99.06199272722631
SRX5252024	warn	pass	pass	warn	20.39283430595392	Sanger / Illumina 1.9	fail	13698152.0	20-101	warn	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252024_trimmed.fq.gz	1.3 Gbp	pass	warn	98.62664073226811
SRX5252025	warn	pass	pass	warn	22.314580935216924	Sanger / Illumina 1.9	fail	12023266.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252025_trimmed.fq.gz	1.1 Gbp	pass	warn	98.90864661898023
SRX5252026	warn	pass	pass	warn	27.24293286847224	Sanger / Illumina 1.9	fail	9016832.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252026_trimmed.fq.gz	903.8 Mbp	pass	warn	99.53459618633241
