Sample	Not aligned	Aligned
SRX3316756	1065078.0	18197339.0
SRX3316757	1149742.0	19553180.0
SRX3316758	1434689.0	24797883.0
SRX3411505	2866212.0	4947803.0
SRX3411506	2154469.0	2727895.0
SRX3411507	2639260.0	3282503.0
SRX3411508	1673490.0	3195751.0
SRX3411509	2063845.0	3329971.0
SRX3411510	3698994.0	1825778.0
SRX3411511	3570221.0	3029945.0
SRX3411512	2092007.0	2079292.0
SRX3411513	2725377.0	2545862.0
SRX3411514	3996283.0	483166.0
SRX3411515	3800795.0	319973.0
SRX3411516	5223715.0	481401.0
SRX3411517	4670851.0	795261.0
SRX3411518	2720910.0	293925.0
SRX3411519	3034303.0	212296.0
SRX3411520	2564743.0	889839.0
SRX3411521	4576785.0	670095.0
SRX3411522	3684536.0	357416.0
SRX3411523	4159974.0	361849.0
SRX3411524	4216560.0	2008807.0
SRX3411525	3974081.0	369777.0
SRX3541437	26713190.0	13627652.0
SRX3541438	7126840.0	25104860.0
SRX3541439	14032289.0	18686763.0
SRX3541440	7821944.0	22784698.0
SRX3541441	25272401.0	5998179.0
SRX3541442	12093638.0	22888637.0
SRX3541443	23952755.0	4417102.0
SRX3541444	23595498.0	4928989.0
SRX3541445	20289537.0	12550422.0
SRX3541446	26268844.0	10297176.0
SRX3541447	26992755.0	3561209.0
SRX3541448	14405761.0	12463696.0
SRX3541449	31786965.0	4652137.0
SRX3541450	23536091.0	6870766.0
SRX3541451	13607756.0	17896448.0
SRX3541452	20070805.0	2305877.0
SRX3541453	22690563.0	1127860.0
SRX5252024	2032255.0	11665897.0
SRX5252025	2037427.0	9985839.0
SRX5252026	1822136.0	7194696.0
SRX5252027	1728960.0	9610131.0
SRX5252028	2251009.0	12811110.0
SRX5252029	1640725.0	8311340.0
SRX5252030	1985111.0	9412095.0
SRX5252031	1242705.0	8586669.0
SRX5252032	2091227.0	11604028.0
SRX5252033	2215514.0	13511023.0
SRX5252034	1822320.0	8897014.0
SRX5252035	1459394.0	10706733.0
SRX5252036	2037647.0	9027013.0
SRX5252037	1788300.0	8630960.0
SRX5252038	1748655.0	7378292.0
SRX5252039	1445597.0	6147467.0
SRX5252040	2158756.0	13063667.0
SRX5252041	1819760.0	7840398.0
SRX5252042	1793230.0	8693376.0
SRX5252043	2219358.0	7480251.0
SRX5252044	1786298.0	7935082.0
SRX5252045	2257047.0	10490002.0
SRX5252046	1568553.0	6728468.0
SRX5252047	1593430.0	5568626.0
