Sample	57.0	1.0	59.0	25.0	24.0	23.0	35.0	44.0	75.0	82.0	71.0	97.0	4.0	100.0	36.0	42.0	49.0	52.0	3.0	6.0	8.0	30.0	72.0	27.0	91.0	12.0	46.0	53.0	10.0	88.0	47.0	89.0	74.0	81.0	61.0	62.0	73.0	38.0	51.0	33.0	21.0	19.0	9.0	76.0	58.0	20.0	60.0	66.0	7.0	31.0	17.0	92.0	95.0	80.0	70.0	90.0	96.0	40.0	16.0	78.0	85.0	34.0	37.0	55.0	94.0	63.0	79.0	93.0	68.0	99.0	0.0	98.0	13.0	45.0	29.0	14.0	65.0	54.0	67.0	32.0	56.0	26.0	50.0	77.0	28.0	22.0	86.0	48.0	41.0	39.0	84.0	11.0	87.0	43.0	64.0	2.0	5.0	15.0	18.0	69.0	83.0
SRX14570271	230083.0	371.5	126431.5	4565.0	5728.5	4438.5	47527.5	365473.5	2969.5	94.0	8525.5	33.0	642.0	446.0	64995.0	249965.0	676341.5	618139.5	640.0	588.0	458.5	13687.0	7262.5	7077.5	21.0	372.5	520384.0	563491.0	388.0	29.0	594431.0	22.0	3410.0	100.0	68939.0	48590.0	4601.0	111449.5	652762.5	27816.0	1332.5	820.5	440.5	1819.5	169489.0	1049.0	96580.5	18066.0	515.0	16402.5	505.5	19.5	23.5	129.5	8314.0	20.0	26.0	171794.0	456.0	552.5	62.5	36153.5	86799.5	410112.0	25.0	37055.5	287.5	23.5	13124.5	271.0	249.0	108.0	406.5	437743.0	10100.0	407.0	26406.5	483542.0	14912.0	19958.5	321627.0	4630.5	676887.5	918.5	9028.0	1915.0	55.5	647698.5	208279.5	140782.5	71.0	339.0	43.0	301657.5	32118.0	559.5	620.5	419.5	637.5	10272.5	85.5
SRX14570272	301085.5	344.5	181392.0	3654.0	2982.5	2375.5	37965.0	317023.0	5322.0	81.0	17069.0	32.5	229.5	341.5	53243.5	208828.0	703326.0	691650.5	275.0	200.0	171.5	11045.0	13855.5	6537.0	21.5	257.5	496409.5	638289.5	180.5	30.5	584124.0	29.0	6001.5	103.5	98009.0	68733.0	8343.5	100344.5	727924.0	21171.0	1237.5	816.5	195.5	3600.0	229689.5	1022.0	140874.5	31807.0	176.0	13533.0	580.5	20.0	32.5	226.5	17588.5	24.0	31.5	147230.0	493.5	1340.0	48.0	27985.5	75916.0	491856.0	27.0	53191.0	785.5	19.5	24697.5	216.5	278.0	98.0	299.0	398030.5	9006.0	320.5	42214.0	563849.5	27947.5	16043.0	400771.5	4601.5	736606.0	2044.5	8429.0	1685.5	43.0	648604.0	175234.0	124071.5	58.0	177.0	34.0	252898.5	48977.5	359.5	213.0	379.0	647.5	20676.5	70.0
SRX14570273	301986.5	461.0	183170.5	3655.0	2976.0	2367.0	37366.5	320501.5	5114.0	61.0	17049.5	28.0	332.0	421.0	51393.5	209538.5	707405.0	695877.0	372.5	204.5	194.0	10682.5	13876.5	6489.0	17.0	286.0	498559.5	641870.5	203.5	27.5	585328.5	23.5	5866.5	100.0	98283.0	68027.5	8446.0	96457.5	733665.0	21023.5	1284.5	836.0	213.5	3552.0	230614.0	1055.0	141809.5	30636.5	194.5	12966.0	558.5	14.5	21.5	247.5	17495.5	21.0	23.0	145431.5	491.0	1210.5	34.0	27638.0	72503.5	499407.5	20.0	51925.0	749.0	17.5	23351.5	266.0	413.0	114.5	336.5	401783.0	8754.0	344.0	40986.0	569784.5	26600.5	15834.0	405400.0	4606.5	742702.0	1992.0	8111.5	1741.0	33.0	650549.5	174713.0	120351.5	45.0	197.0	33.0	255565.0	47584.5	453.5	257.5	412.5	654.5	19774.5	54.0
SRX14570274	326207.5	513.5	193476.5	4499.5	3779.0	2974.5	45259.0	381162.5	4822.0	42.5	14064.0	28.5	380.0	382.5	62846.0	252095.0	800018.5	771921.5	437.0	298.0	272.0	12634.5	11556.0	7732.0	18.5	383.0	580881.5	709082.5	286.5	15.0	673360.0	15.0	5363.5	61.5	100785.0	67555.5	7236.0	117834.0	817309.0	24919.5	1596.5	1072.0	287.5	3310.5	247017.5	1357.5	147944.5	27085.5	276.0	15579.5	736.0	13.5	27.5	184.0	14338.5	17.0	28.0	176554.0	635.5	1114.5	23.0	33296.0	88536.0	544216.0	24.0	49673.5	648.0	16.0	19897.0	247.0	407.0	106.0	449.5	474223.5	10515.0	435.0	37177.5	626318.5	22685.0	18735.5	438820.5	5502.0	830938.5	1839.5	9870.0	2117.0	19.0	743884.5	211313.0	146791.0	28.0	256.5	16.5	305967.5	44012.0	548.0	342.5	512.5	823.0	16761.0	36.5
SRX14570275	318634.5	736.5	184823.0	4566.0	4296.0	3419.5	44422.5	398511.0	3200.5	43.0	10451.0	43.0	1021.0	488.5	61064.5	259898.0	837375.5	796515.0	947.0	1103.5	1122.0	12864.5	8807.5	8216.5	21.0	964.0	606354.0	727168.5	1003.5	23.0	707972.0	18.0	3980.5	67.5	99573.5	67859.0	5566.5	106650.0	847844.5	26051.5	1645.5	1128.0	1103.0	1998.0	238482.5	1370.5	142760.0	22649.0	1117.0	15348.5	927.5	20.0	29.5	124.0	10449.5	20.0	32.0	169222.0	897.5	676.5	26.5	34113.5	82767.5	540935.0	28.5	49709.0	376.5	23.5	17270.0	320.5	595.0	141.0	981.0	494296.0	10687.5	932.5	34913.0	631295.0	19270.0	18469.5	434013.0	5357.0	868174.5	1068.0	10618.5	2125.0	27.0	781826.5	211710.5	134941.5	34.5	913.0	27.5	320423.0	43591.5	897.0	1082.0	899.0	1001.0	13371.0	40.5
SRX14570276	292164.5	2449.0	172099.0	4560.5	4328.5	3550.5	39323.0	361725.5	3064.0	61.5	9972.0	31.5	3991.5	463.5	53737.5	233882.5	765438.5	733045.5	3619.5	4116.5	3760.0	11809.5	8480.0	7623.0	18.5	2883.5	551700.0	670588.0	3308.0	26.5	646521.5	20.5	3798.5	93.5	92988.5	63295.5	5364.0	95336.0	778787.5	23274.0	2111.0	1830.5	3560.0	1898.0	219732.0	1953.5	132821.5	21909.5	3978.0	13869.5	1904.5	12.5	32.0	162.5	9997.0	19.5	34.0	152811.5	2006.5	669.0	35.0	30253.0	73107.0	500454.0	20.0	46422.0	408.0	12.0	16119.5	276.5	1671.0	110.0	2664.5	449564.0	9734.0	2399.0	33608.0	582833.5	18351.5	16516.0	400917.0	5220.5	795830.0	993.0	9595.0	2452.0	30.5	714741.5	190397.0	121765.5	39.5	3009.5	29.0	289467.5	41579.5	3346.0	4172.5	2214.0	1838.0	12607.5	43.5
SRX14570277	365199.0	5967.5	210904.0	7503.0	7072.0	5887.5	59407.0	487667.0	3690.5	56.0	11268.5	49.0	9315.5	459.5	80200.5	321727.0	1010080.5	947702.0	8612.0	9514.0	8472.0	18569.0	9598.5	12345.5	23.5	6009.0	736523.0	865000.5	7065.5	21.5	855480.0	24.5	4527.0	88.5	110143.0	75245.5	6209.5	139398.0	1014238.0	35275.0	3799.0	3567.0	7769.0	2259.5	272095.5	3685.0	161483.5	25144.5	9065.5	22005.0	3698.5	21.5	35.5	160.5	11647.5	24.0	38.5	215392.0	4009.5	730.5	28.0	45881.5	108516.5	634405.0	25.5	56277.0	428.0	17.5	18523.5	304.0	4185.0	141.0	5534.5	602615.5	15784.5	4885.5	39782.5	746704.5	20872.0	26059.0	504210.0	8634.0	1044712.5	1189.5	15625.5	4258.5	28.5	943702.0	265680.5	173984.0	39.0	6395.5	23.5	394418.5	49828.5	7984.0	9672.0	4405.5	3566.0	14748.0	49.5
SRX14953908	2633465.5	19366.5	1474798.0	8744.0	8742.0	8158.5	88630.0	640156.0	322.0	23.5	575.5	11.5	676.0	61.0	116537.0	392444.0	2095078.5	2891769.5	1083.0	513.5	489.0	26725.5	464.0	12479.5	4.0	583.5	1008759.0	3302403.0	485.5	8.0	1353051.5	6.0	416.0	27.5	765117.5	544979.0	423.5	182677.0	2531335.0	54725.0	3104.5	2596.5	500.0	198.0	2141935.0	2964.0	1017119.5	16210.5	502.0	34662.5	1414.0	5.5	8.5	36.0	846.5	3.5	10.0	272359.5	1069.0	58.0	11.5	67207.0	145157.0	3669172.5	7.5	346169.5	44.5	6.0	3389.0	28.5	34532.0	18.5	663.0	809887.5	18951.0	763.0	54346.5	3691300.5	7127.0	40824.5	3106083.5	10277.5	2333716.5	131.0	15847.0	4616.5	9.5	1758627.0	315672.5	232554.0	12.5	496.5	8.0	487436.0	159928.5	2786.5	538.5	893.0	2032.5	2086.5	18.0
SRX14953909	1074292.5	15385.0	618565.5	16617.5	14041.5	11907.0	167068.0	1125050.5	770.5	14.5	995.5	13.0	894.5	55.0	218945.5	762576.5	2261637.0	2204885.0	1203.0	768.0	788.0	51246.5	992.0	22915.0	7.0	1131.5	1607634.0	2048577.0	869.0	8.5	1909396.0	8.5	845.5	15.5	318036.5	192188.5	859.5	350065.5	2301168.5	100390.0	6344.5	4261.5	838.0	517.5	800479.0	5564.0	464455.5	21827.0	776.5	70018.5	2987.0	6.5	7.5	19.5	1543.0	6.0	9.5	525726.0	2427.0	67.0	4.0	124307.5	276682.5	1663082.0	7.0	125898.0	40.5	6.0	6884.0	19.0	27234.0	14.5	1432.0	1348663.0	35073.5	1730.5	48272.5	1861497.5	12941.5	81926.5	1404232.0	19235.5	2320702.0	310.5	29155.5	8205.0	3.0	2148807.5	628739.0	439609.5	7.5	924.0	4.5	924545.5	86608.5	2480.0	793.5	1970.5	3447.0	4388.5	11.0
