Sample	Unique Reads	Duplicate Reads
SRX3316756	1985228.0	17277189.0
SRX3316757	1974392.0	18728530.0
SRX3316758	2632191.0	23600381.0
SRX3411505	1570436.0	6243579.0
SRX3411506	1181362.0	3701002.0
SRX3411507	1415375.0	4506388.0
SRX3411508	524254.0	4344987.0
SRX3411509	669228.0	4724588.0
SRX3411510	1713500.0	3811272.0
SRX3411511	1798030.0	4802136.0
SRX3411512	1164823.0	3006476.0
SRX3411513	1473665.0	3797574.0
SRX3411514	1676888.0	2802561.0
SRX3411515	1545387.0	2575381.0
SRX3411516	1845994.0	3859122.0
SRX3411517	2065618.0	3400494.0
SRX3411518	748483.0	2266352.0
SRX3411519	690576.0	2556023.0
SRX3411520	607986.0	2846596.0
SRX3411521	856886.0	4389994.0
SRX3411522	847929.0	3194023.0
SRX3411523	850100.0	3671723.0
SRX3411524	760030.0	5465337.0
SRX3411525	641511.0	3702347.0
SRX3541437	2054944.0	38285898.0
SRX3541438	2800114.0	29431586.0
SRX3541439	2808475.0	29910577.0
SRX3541440	2257137.0	28349505.0
SRX3541441	1615445.0	29655135.0
SRX3541442	2642411.0	32339864.0
SRX3541443	1548967.0	26820890.0
SRX3541444	1554180.0	26970307.0
SRX3541445	2195741.0	30644218.0
SRX3541446	2359568.0	34206452.0
SRX3541447	1537940.0	29016024.0
SRX3541448	2671500.0	24197957.0
SRX3541449	2579193.0	33859909.0
SRX3541450	2059685.0	28347172.0
SRX3541451	3085963.0	28418241.0
SRX3541452	1344949.0	21031733.0
SRX3541453	1080239.0	22738184.0
SRX5252024	2793442.0	10904710.0
SRX5252025	2682942.0	9340324.0
SRX5252026	2456450.0	6560382.0
SRX5252027	2429674.0	8909417.0
SRX5252028	2845953.0	12216166.0
SRX5252029	2448016.0	7504049.0
SRX5252030	2705108.0	8692098.0
SRX5252031	2005335.0	7824039.0
SRX5252032	2730791.0	10964464.0
SRX5252033	2864469.0	12862068.0
SRX5252034	2404142.0	8315192.0
SRX5252035	2335314.0	9830813.0
SRX5252036	2652909.0	8411751.0
SRX5252037	2481817.0	7937443.0
SRX5252038	2168995.0	6957952.0
SRX5252039	2268204.0	5324860.0
SRX5252040	2705532.0	12516891.0
SRX5252041	2496601.0	7163557.0
SRX5252042	2484500.0	8002106.0
SRX5252043	2328499.0	7371110.0
SRX5252044	2463148.0	7258232.0
SRX5252045	2735613.0	10011436.0
SRX5252046	2287927.0	6009094.0
SRX5252047	2003189.0	5158867.0
SRX5252048	2561335.0	7566960.0
SRX5252049	2784736.0	9281300.0
