Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>50	>500	>10k+	>1k	>10	>5k	>100
SRX14570271										11.616817471763943	3.5967095986774065	0.0	2.4359413724311856	29.597058393504277	0.3419874628307561	21.122132507520334
SRX14570272										11.775442732330843	5.260877150173506	0.13678502183047037	3.6524160976203	25.50896491770197	0.37434089019348604	25.502936125857595
SRX14570273										11.88038194948297	5.263710131248953	0.11003960760174154	3.4571252128244687	25.128210692513996	0.30850486094820645	25.96151415756077
SRX14570274										11.993017156809705	5.588104328814096	0.23428762750737467	4.024451061940519	25.78827982578472	0.3996250757429612	25.597532182966127
SRX14570275										11.876476448669274	5.316364088411043	0.0	4.013100272465295	25.655640044870413	0.3170231599503846	25.560585236133793
SRX14570276										11.860862319515395	5.265126839603764	0.10381601070213163	3.9259370361283894	25.639170183741122	0.24430537922453663	25.19374374183328
SRX14570277										11.598857341043022	7.3335903913037	0.0	5.52282867792323	24.13455258703566	0.5350651226603989	27.262853697841805
SRX14953908										4.279792197695253	7.10774536777831	18.580215890234502	23.215739341913537	9.770685288438184	12.725759033008686	12.075433524311862
SRX14953909										9.796195873946761	11.302734305684755	1.8568790699904718	14.670354509043246	18.869215279344196	1.9350886956923556	26.7531438500318
SRX14953910										7.250666111276555	10.250689478752584	6.869560722166007	22.09260844878625	14.73182441635742	6.84250105162246	19.41543211092134
SRX14953911										9.147823247549267	11.103043079411707	2.4273873398072667	18.52239330553804	17.314417328857225	2.9718274654296586	24.956796122563205
SRX14953912										2.9639827198225777	5.322737913229643	28.732874145130054	23.653137834543863	7.398313195137749	13.946174513466364	8.027573720516
SRX14953913										8.641481512294021	10.124627699172095	5.3891239505879085	17.583973215859512	16.8611506688065	3.73891793999159	23.389556506689924
SRX14953914										2.5354856567192012	5.265024156949464	28.476679120436053	25.071825154422307	6.890781139135287	14.79213421310651	6.983060801767942
SRX14953915										2.7385420929839492	5.3629077780820404	28.580608636557887	24.687732530467148	6.969578759946887	13.895231999566086	7.489183548332756
SRX14953916										5.123704052823743	7.347640968065041	16.37696437858317	22.804366875946066	11.46545556570754	10.3817879344804	13.85287594063703
SRX14953917										9.320889964691016	10.654829019051272	2.817045588309694	18.491210635794033	17.68397596846441	3.451705268375317	24.129225072577327
SRX14953918										9.69283078725714	11.168836764936806	1.9376980927730176	15.988498917539582	18.70839102832315	2.18508776617504	26.08318052508267
