Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures	not_aligned_percentage	not_aligned	reads_aligned	reads_aligned_percentage	reads_processed	per_tile_sequence_quality	sequence_length_distribution	Total Sequences	File type	per_sequence_gc_content	%GC	overrepresented_sequences	adapter_content	per_base_sequence_content	per_base_sequence_quality	basic_statistics	per_base_n_content	per_sequence_quality_scores	Sequence length	median_sequence_length	total_deduplicated_percentage	Encoding	avg_sequence_length	sequence_duplication_levels	Sequences flagged as poor quality	Total Bases	Filename	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed	pe_sense	se_antisense	pe_antisense	failed	se_sense
Kiley_A_WT_Anaerobic_B	3102242	0	76.26938685175453	0	0	50037538	65606320	0	0	7083229	40777	0	0	0	0	2551803	2790731	4.73	1551121.0	31252039.0	95.27	32803160.0	pass	warn	32803160.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.765232300397998	Sanger / Illumina 1.9	134.67234556061064	fail	0.0	4.4 Gbp	Kiley_A_WT_Anaerobic_B_val_1.fq.gz	6573021	32846268	4.4	32846268	10.054319656650186	4431569883	19655766	4926940200	0.0197		0.5314	0.449	
Kiley_A_WT_Anaerobic_C	2103726	0	80.26859732245947	0	0	45366315	56518136	0	0	3933069	39737	0	0	0	0	2391990	2683299	3.72	1051863.0	27207205.0	96.28	28259068.0	pass	warn	28259068.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.833877401480474	Sanger / Illumina 1.9	136.25766677797017	fail	0.0	3.8 Gbp	Kiley_A_WT_Anaerobic_C_val_1.fq.gz	3887172	28293671	4.4	28293671	9.02645217016908	3860963448	16802742	4244050650	0.0229		0.5568	0.4203	
Kiley_B_Dfur_-O2_A	316702	0	83.47449680565634	0	0	6881332	8243634	0	0	1858	4794	0	0	0	0	395227	643721	3.84	158351.0	3963466.0	96.16	4121817.0	pass	warn	4121817.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	21-150	150	8.329508962185669	Sanger / Illumina 1.9	144.3711724707817	fail	0.0	596.9 Mbp	Kiley_B_Dfur_-O2_A_val_1.fq.gz	504709	4123705	4.4	4123705	0.344533336778171	597093108	1126781	599157405	0.0103		0.7483	0.2414	
Kiley_B_Dfur_-O2_B	399490	0	1.138095476219741	0	0	97409	8558948	0	0	0	50	0	0	0	0	34485	8027514	4.67	199745.0	4079729.0	95.33	4279474.0	pass	warn	4279474.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	8.450677183389427	Sanger / Illumina 1.9	144.2800951705747	fail	0.0	619.4 Mbp	Kiley_B_Dfur_-O2_B_val_1.fq.gz	446794	4281130	4.4	4281130	0.3351758344118545	619562343	1185740	621645950	0.7207		0.199	0.0803	
Kiley_B_Dfur_-O2_C	318522	0	83.05636575114416	0	0	6172480	7431676	0	0	1755	4403	0	0	0	0	358874	575642	4.29	159261.0	3556577.0	95.71	3715838.0	pass	warn	3715838.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	8.576773594657464	Sanger / Illumina 1.9	144.06888190497003	fail	0.0	537 Mbp	Kiley_B_Dfur_-O2_C_val_1.fq.gz	156503	3717905	4.4	3717905	0.3142549028020325	537327760	1105377	539021662	0.0911		0.4522	0.4567	
Kiley_B_DrsuR_-O2_A	275718	0	84.41756049830789	0	0	6267028	7423844	0	0	1567	4428	0	0	0	0	365994	509109	3.71	137859.0	3574063.0	96.29	3711922.0	pass	warn	3711922.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	9.37990389845188	Sanger / Illumina 1.9	143.76245890942752	fail	0.0	535.1 Mbp	Kiley_B_DrsuR_-O2_A_val_2.fq.gz	166479	3713426	4.4	3713426	0.3164199552687147	535296364	1081994	536995525	0.0382		0.3754	0.5864	
Kiley_B_DrsuR_-O2_B	295934	0	84.546342877082	0	0	6920037	8184904	0	0	1745	5132	0	0	0	0	403020	559036	3.62	147967.0	3944485.0	96.38	4092452.0	pass	warn	4092452.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	9.61129192273934	Sanger / Illumina 1.9	143.9902325060868	fail	0.0	591 Mbp	Kiley_B_DrsuR_-O2_B_val_2.fq.gz	177422	4094233	4.4	4094233	0.3174975120236075	591163315	1206037	593046222	0.0078		0.7355	0.2568	
Kiley_B_DrsuR_-O2_C	301228	0	86.08191670877699	0	0	8251754	9585932	0	0	1450	6906	0	0	0	0	479291	545303	3.14	150614.0	4642352.0	96.86	4792966.0	pass	warn	4792966.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	8.414637685463534	Sanger / Illumina 1.9	144.02852137903753	fail	0.0	692.3 Mbp	Kiley_B_DrsuR_-O2_C_val_2.fq.gz	487640	4795012	4.4	4795012	0.3314310988958127	692400903	1296907	694703366	0.2845		0.4938	0.2217	
Kiley_B_WT_+O2_Ctrl_A	194648	0	84.16635903816886	0	0	6434099	7644502	0	0	2035	4668	0	0	0	0	385403	623649	2.55	97324.0	3724927.0	97.45	3822251.0	pass	warn	3822251.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	12.72320087844455	Sanger / Illumina 1.9	143.57717847415043	fail	0.0	550.3 Mbp	Kiley_B_WT_+O2_Ctrl_A_val_2.fq.gz	292764	3823184	4.4	3823184	0.319736840148895	550412331	1044052	552177847	0.1379		0.5173	0.3448	
Kiley_B_WT_+O2_Ctrl_B	198274	0	83.7267216926463	0	0	5605926	6695504	0	0	1700	3986	0	0	0	0	337635	547983	2.96	99137.0	3248615.0	97.04	3347752.0	pass	warn	3347752.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	11.446064782642669	Sanger / Illumina 1.9	143.1584493116575	fail	0.0	480.6 Mbp	Kiley_B_WT_+O2_Ctrl_B_val_2.fq.gz	294333	3348814	4.4	3348814	0.320733304730007	480658398	890796	482204990	0.0016		0.4529	0.5455	
