Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures	not_aligned_percentage	not_aligned	reads_aligned	reads_aligned_percentage	reads_processed	per_tile_sequence_quality	sequence_length_distribution	Total Sequences	File type	per_sequence_gc_content	%GC	overrepresented_sequences	adapter_content	per_base_sequence_content	per_base_sequence_quality	basic_statistics	per_base_n_content	per_sequence_quality_scores	Sequence length	median_sequence_length	total_deduplicated_percentage	Encoding	avg_sequence_length	sequence_duplication_levels	Sequences flagged as poor quality	Total Bases	Filename	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed	pe_sense	se_antisense	pe_antisense	failed	se_sense
SRX18804545	1253644	0	76.4489777106545	0	0	17781546	23259364	0	0	12724	13464	0	0	0	0	917638	3280348	5.39	626822.0	11002860.0	94.61	11629682.0	pass	warn	11629682.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	18.22714570637622	Sanger / Illumina 1.9	148.83203994743795	fail	0.0	1.7 Gbp	SRX18804545_val_1.fq.gz	589617	11631062	4.4	11631062	0.409171062797189	1737520659	3790051	1744659300	0.0586		0.508	0.4334	
SRX18804546	731284	0	78.64856741887847	0	0	13979053	17774072	0	0	3022	10530	0	0	0	0	641742	2408441	4.11	365642.0	8521394.0	95.89	8887036.0	pass	warn	8887036.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	17.58538623931797	Sanger / Illumina 1.9	148.71768258843557	fail	0.0	1.3 Gbp	SRX18804546_val_1.fq.gz	251061	8887860	4.4	8887860	0.4965144215442937	1326559574	2932505	1333179000	0.0597		0.5156	0.4247	
SRX18804547	975092	0	85.20143113750532	0	0	17779729	20867876	0	0	17703	12458	0	0	0	0	713209	1369685	4.67	487546.0	9946392.0	95.33	10433938.0	pass	warn	10433938.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	13.749113826487813	Sanger / Illumina 1.9	148.79897925404578	fail	0.0	1.5 Gbp	SRX18804547_val_1.fq.gz	933468	10434757	4.4	10434757	0.4413130719447196	1558306058	3181035	1565213550	0.0209		0.5536	0.4255	
SRX18804548	1824222	0	79.42278645359794	0	0	16903172	21282522	0	0	3693	12746	0	0	0	0	814991	1723698	8.57	912111.0	9729150.0	91.43	10641261.0	pass	warn	10641261.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	21.40017494672171	Sanger / Illumina 1.9	148.80379458787826	fail	0.0	1.5 Gbp	SRX18804548_val_2.fq.gz	1084390	10642556	4.4	10642556	0.4511319774435139	1589181604	3244329	1596383400	0.023		0.5364	0.4406	
SRX18804549	1398502	0	83.47493611811694	0	0	15901977	19050002	0	0	134546	11532	0	0	0	0	727206	876239	7.34	699251.0	8825750.0	92.66	9525001.0	pass	warn	9525001.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	18.25421751654281	Sanger / Illumina 1.9	148.66863877494606	fail	0.0	1.4 Gbp	SRX18804549_val_2.fq.gz	654338	9525755	4.4	9525755	0.5137308276351847	1421522739	3142321	1428863250	0.0185		0.6099	0.3716	
SRX18804550	1251734	0	76.27541603819549	0	0	13332122	17478924	0	0	68869	9626	0	0	0	0	595493	2221080	7.16	625867.0	8113595.0	92.84	8739462.0	pass	warn	8739462.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	23.845553759585005	Sanger / Illumina 1.9	148.59549100390848	fail	0.0	1.3 Gbp	SRX18804550_val_1.fq.gz	1181372	8740343	4.4	8740343	0.5817075294794877	1303424965	2687322	1311051450	0.06		0.5426	0.3973	
SRX18804551	1120260	0	80.63216904978049	0	0	13173916	16338288	0	0	91964	9050	0	0	0	0	630877	1312221	6.86	560130.0	7609014.0	93.14	8169144.0	pass	warn	8169144.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	19.556513632112686	Sanger / Illumina 1.9	148.73426187615252	fail	0.0	1.2 Gbp	SRX18804551_val_1.fq.gz	684446	8170000	4.4	8170000	0.4757995104039168	1219669077	2634925	1225500000	0.0264		0.5688	0.4048	
SRX18804552	2429880	0	68.87699367995967	0	0	11295101	16398946	0	0	135458	7160	0	0	0	0	429531	2101816	14.82	1214940.0	6984533.0	85.18	8199473.0	pass	warn	8199473.0	Conventional base calls	warn	50.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	22.290865859582052	Sanger / Illumina 1.9	147.95507979598202	fail	0.0	1.2 Gbp	SRX18804552_val_1.fq.gz	822226	8200431	4.4	8200431	1.0049248224473406	1217703425	2832591	1230064650	0.0659		0.5268	0.4073	
SRX18804553	1190622	0	79.25327012283346	0	0	13481517	17010676	0	0	99941	8278	0	0	0	0	519914	1710404	7.0	595311.0	7910027.0	93.0	8505338.0	pass	warn	8505338.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	21.169567433150775	Sanger / Illumina 1.9	148.31990192512043	fail	0.0	1.2 Gbp	SRX18804553_val_1.fq.gz	1027975	8506333	4.4	8506333	0.7612878545902212	1266236298	2689058	1275949950	0.0441		0.5464	0.4094	
SRX18804554	1118306	0	81.22043428079103	0	0	12790568	15747968	0	0	70850	8419	0	0	0	0	366792	1393033	7.1	559153.0	7314831.0	92.9	7873984.0	pass	warn	7873984.0	Conventional base calls	warn	50.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	21.23180716114712	Sanger / Illumina 1.9	148.0840002976892	fail	0.0	1.1 Gbp	SRX18804554_val_1.fq.gz	877181	7874773	4.4	7874773	0.9067648468512468	1170505099	2500151	1181215950	0.0462		0.5929	0.3609	
SRX19817112	13107014	0	34.85512338355405	0	0	7608978	21830300	0	0	418097	7034	0	0	0	0	301654	387523	60.04	6553507.0	4361643.0	39.96	10915150.0	pass	warn	10915150.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	43.81295032943928	Sanger / Illumina 1.9	146.78995634508	fail	0.0	1.6 Gbp	SRX19817112_val_1.fq.gz	2694834	11150484	4.4	11150484	3.776160329303493	1609413577	4043471	1672572600	0.0141		0.6037	0.3823	
SRX19817113	11520040	0	35.49599529539207	0	0	6954626	19592706	0	0	461623	6383	0	0	0	0	285427	364607	58.8	5760020.0	4036333.0	41.2	9796353.0	pass	warn	9796353.0	Conventional base calls	warn	49.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	43.62572875572765	Sanger / Illumina 1.9	146.50690261978104	fail	0.0	1.4 Gbp	SRX19817113_val_1.fq.gz	1250678	10078022	4.4	10078022	4.547259108318412	1442962234	4082860	1511703300	0.0131		0.5924	0.3944	
SRX19817114	10669812	0	41.81195471078135	0	0	8709814	20830918	0	0	572239	8146	0	0	0	0	367374	503533	51.22	5334906.0	5080553.0	48.78	10415459.0	pass	warn	10415459.0	Conventional base calls	pass	48.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	43.8177055553699	Sanger / Illumina 1.9	146.48436588344308	fail	0.0	1.5 Gbp	SRX19817114_val_1.fq.gz	1530769	10715450	4.4	10715450	4.584031593011337	1533637558	4355983	1607317500	0.015		0.5909	0.3941	
SRX19817115	12951658	0	34.56454155560304	0	0	7375769	21339120	0	0	323373	7054	0	0	0	0	307158	374108	60.69	6475829.0	4193731.0	39.31	10669560.0	pass	warn	10669560.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	50.39593778741536	Sanger / Illumina 1.9	147.04317881899536	warn	0.0	1.5 Gbp	SRX19817115_val_1.fq.gz	2881717	10910360	4.4	10910360	3.7161398279555695	1575737365	3921266	1636554000	0.0123		0.6101	0.3776	
SRX19817116	12372238	0	35.74429083584957	0	0	7462134	20876436	0	0	315059	6887	0	0	0	0	327489	392629	59.26	6186119.0	4252099.0	40.74	10438218.0	pass	warn	10438218.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	44.84507313982245	Sanger / Illumina 1.9	147.09963348150038	fail	0.0	1.5 Gbp	SRX19817116_val_1.fq.gz	2472213	10668318	4.4	10668318	3.612267400853005	1542442474	3810382	1600247700	0.0132		0.6057	0.3811	
SRX19817117	11176822	0	43.87005462099802	0	0	9802232	22343788	0	0	431798	9348	0	0	0	0	420241	503347	50.02	5588411.0	5583483.0	49.98	11171894.0	pass	warn	11171894.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	44.66740659576154	Sanger / Illumina 1.9	147.04250487876092	fail	0.0	1.6 Gbp	SRX19817117_val_1.fq.gz	1279456	11431887	4.4	11431887	3.715484824742115	1651070546	4492280	1714783050	0.0132		0.6047	0.3821	
SRX2036088	2754120	0	5.068629898797738	0	0	2374575	46848459	0	0	38202704	1989	0	0	0	0	153818	3361253	5.88	2754120.0	44094339.0	94.12	46848459.0	pass	warn	46848459.0	Conventional base calls	warn	52.0	fail	pass	fail	pass	pass	pass	pass	18-50	49	7.644980530574844	Sanger / Illumina 1.9	46.2406110732479	fail	0.0	2.1 Gbp	SRX2036088_trimmed.fq.gz	21687237	47122765	4.4	47122765	7.973604859562039	2168269096	22025321	2356138250		0.0101		0.9121	0.0778
SRX2036089	2637388	0	5.324381107992164	0	0	2334699	43849209	0	0	35938416	1981	0	0	0	0	160314	2776411	6.01	2637388.0	41211821.0	93.99	43849209.0	pass	warn	43849209.0	Conventional base calls	warn	52.0	fail	pass	fail	pass	pass	pass	pass	18-50	49	8.257397753293102	Sanger / Illumina 1.9	46.20303146175339	fail	0.0	2 Gbp	SRX2036089_trimmed.fq.gz	18654466	44021704	4.4	44021704	7.871420424797732	2027828530	20715667	2201085200		0.0122		0.9165	0.0713
SRX2036090	2188677	0	5.130351864581853	0	0	2200673	42895167	0	0	36066858	1691	0	0	0	0	152834	2284434	5.1	2188677.0	40706490.0	94.9	42895167.0	fail	warn	42895167.0	Conventional base calls	warn	52.0	fail	pass	fail	pass	pass	pass	pass	18-50	49	7.506275250336366	Sanger / Illumina 1.9	46.08381375458918	fail	0.0	1.9 Gbp	SRX2036090_trimmed.fq.gz	16750465	43140551	4.4	43140551	8.264513125945006	1978759725	20787123	2157027550		0.0082		0.926	0.0658
SRX2036091	2416302	0	4.406123571440873	0	0	1803687	40935915	0	0	33991616	1573	0	0	0	0	134869	2587868	5.9	2416302.0	38519613.0	94.1	40935915.0	fail	warn	40935915.0	Conventional base calls	warn	52.0	fail	pass	fail	pass	pass	pass	pass	18-50	49	7.485651452538954	Sanger / Illumina 1.9	46.00267596314874	fail	0.0	1.8 Gbp	SRX2036091_trimmed.fq.gz	14239930	41135979	4.4	41135979	8.34670982304809	1885123910	19115369	2056798950		0.0087		0.9217	0.0696
SRX2036300	1210042	0	63.4486849933086	0	0	17053617	26877810	0	0	1444051	16380	0	0	0	0	1666878	5486842	4.5	605021.0	12833884.0	95.5	13438905.0	fail	warn	13438905.0	Conventional base calls	pass	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	14.718282504105778	Sanger / Illumina 1.9	95.10791987888894	fail	0.0	1.2 Gbp	SRX2036300_val_2.fq.gz	25367640	13813229	4.4	13813229	3.0606011207383763	1352436577	5390703	1395136129	0.0877		0.4587	0.4536	
SRX2036303	1044888	0	62.39854451759223	0	0	15363389	24621390	0	0	1342520	15633	0	0	0	0	1634709	5220251	4.24	522444.0	11788251.0	95.76	12310695.0	fail	warn	12310695.0	Conventional base calls	pass	43.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	15.24981948260558	Sanger / Illumina 1.9	95.24838069662192	fail	0.0	1.1 Gbp	SRX2036303_val_2.fq.gz	24075499	12645131	4.4	12645131	3.080384093770132	1237816852	4922548	1277158231	0.0902		0.4529	0.457	
SRX2036305	1410960	0	62.30453932870992	0	0	18751224	30096080	0	0	2153565	17726	0	0	0	0	1962658	5799947	4.69	705480.0	14342560.0	95.31	15048040.0	fail	warn	15048040.0	Conventional base calls	warn	43.0	warn	pass	warn	pass	pass	pass	pass	20-101	100	13.578176076447694	Sanger / Illumina 1.9	95.09941347843308	fail	0.0	1.4 Gbp	SRX2036305_val_2.fq.gz	101815909	15473052	4.4	15473052	7.713969838377299	1442226009	6106691	1562778252	0.0793		0.4661	0.4546	
SRX2036307	1560610	0	64.95656475029372	0	0	20436637	31462004	0	0	730618	19557	0	0	0	0	2107105	6607477	4.96	780305.0	14950697.0	95.04	15731002.0	fail	warn	15731002.0	Conventional base calls	warn	43.0	warn	pass	warn	pass	pass	pass	pass	20-101	100	13.785498719957562	Sanger / Illumina 1.9	95.26327032442052	fail	0.0	1.5 Gbp	SRX2036307_val_2.fq.gz	28824123	16122699	4.4	16122699	3.1883887234493624	1576473113	6401107	1628392599	0.0896		0.4862	0.4241	
SRX2037533	2350717	0	70.74244883113832	0	0	26084629	36872669	0	0	919198	22235	0	0	0	0	1443055	6052835	6.38	2350717.0	34521952.0	93.62	36872669.0	warn	warn	36872669.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-50	50	11.989921163931978	Sanger / Illumina 1.9	49.21141439476486	fail	0.0	1.8 Gbp	SRX2037533_trimmed.fq.gz	14358083	36895710	4.4	36895710	1.626687167695106	1814776611	11506480	1844785500		0.525		0.3995	0.0755
SRX2037535	2422873	0	71.88267607402062	0	0	27694662	38527589	0	0	801995	23953	0	0	0	0	1492069	6092037	6.29	2422873.0	36104716.0	93.71	38527589.0	warn	warn	38527589.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-50	50	12.101082072773291	Sanger / Illumina 1.9	49.20217343473011	fail	0.0	1.8 Gbp	SRX2037535_trimmed.fq.gz	15383107	38550121	4.4	38550121	1.6406006611496755	1895883373	11954148	1927506050		0.5319		0.3991	0.0691
SRX2037536	10738957	0	55.024366194839935	0	0	26757377	48628233	0	0	3759916	31136	0	0	0	0	1576394	5764453	22.08	10738957.0	37889276.0	77.92	48628233.0	warn	warn	48628233.0	Conventional base calls	fail	43.0	warn	pass	fail	pass	pass	pass	pass	20-50	50	10.883086274062158	Sanger / Illumina 1.9	49.15866759954037	fail	0.0	2.3 Gbp	SRX2037536_trimmed.fq.gz	22695615	48685855	4.4	48685855	1.7742198016241062	2391103046	14419112	2434292750		0.5157		0.4348	0.0495
SRX2037537	11557482	0	55.22644962096143	0	0	32292748	58473337	0	0	5331787	37440	0	0	0	0	2009384	7244496	19.77	11557482.0	46915855.0	80.23	58473337.0	warn	warn	58473337.0	Conventional base calls	fail	44.0	warn	pass	fail	pass	pass	pass	pass	20-50	50	9.583816845381332	Sanger / Illumina 1.9	49.15974073790248	fail	0.0	2.8 Gbp	SRX2037537_trimmed.fq.gz	26374386	58540743	4.4	58540743	1.7713446172010494	2875189235	17871805	2927037150		0.5041		0.446	0.0499
SRX2037538	2482851	0	67.5485771228469	0	0	33153430	49080871	0	0	1271375	34755	0	0	0	0	1956657	10181803	5.06	2482851.0	46598020.0	94.94	49080871.0	fail	warn	49080871.0	Conventional base calls	pass	45.0	warn	pass	fail	pass	pass	warn	pass	20-50	50	8.303137383901133	Sanger / Illumina 1.9	49.25594619133796	fail	0.0	2.4 Gbp	SRX2037538_trimmed.fq.gz	15954058	49097767	4.4	49097767	1.515070614107562	2417695058	15622595	2454888350		0.4866		0.4345	0.0789
SRX2037540	1981417	0	66.09282559737409	0	0	26823881	40585163	0	0	1173519	26883	0	0	0	0	1634044	8945419	4.88	1981417.0	38603746.0	95.12	40585163.0	fail	warn	40585163.0	Conventional base calls	pass	45.0	warn	pass	fail	pass	pass	warn	pass	20-50	50	10.580174608336874	Sanger / Illumina 1.9	49.26099902567842	fail	0.0	1.9 Gbp	SRX2037540_trimmed.fq.gz	12977131	40599173	4.4	40599173	1.5052341090790198	1999403020	12975310	2029958650		0.4772		0.4387	0.0842
SRX2037541	6502824	0	56.25724111406322	0	0	23671118	42076571	0	0	1217704	27120	0	0	0	0	1506666	9151139	15.45	6502824.0	35573747.0	84.55	42076571.0	fail	warn	42076571.0	Conventional base calls	fail	45.0	warn	pass	fail	pass	pass	warn	pass	20-50	50	12.903993057593857	Sanger / Illumina 1.9	49.20035888856057	fail	0.0	2 Gbp	SRX2037541_trimmed.fq.gz	16947758	42112459	4.4	42112459	1.6677735204206432	2070505928	13004307	2105622950		0.4643		0.4679	0.0678
SRX2037542	7797908	0	56.07027726169357	0	0	27023480	48195731	0	0	1468312	31355	0	0	0	0	1661556	10213120	16.18	7797908.0	40397823.0	83.82	48195731.0	fail	warn	48195731.0	Conventional base calls	fail	45.0	warn	pass	fail	pass	pass	warn	pass	20-50	50	11.323721400327685	Sanger / Illumina 1.9	49.175663255320266	fail	0.0	2.3 Gbp	SRX2037542_trimmed.fq.gz	20643988	48235348	4.4	48235348	1.7136848686154391	2370437307	14818326	2411767400		0.4668		0.4675	0.0657
SRX2037691	6825450	0	52.13605704271196	0	0	17483394	33534170	0	0	3066643	13248	0	0	0	0	1257781	4887654	20.35	3412725.0	13354360.0	79.65	16767085.0	fail	warn	16767085.0	Conventional base calls	fail	41.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	17.618045598682613	Sanger / Illumina 1.9	94.15492329167532	fail	0.0	1.5 Gbp	SRX2037691_val_2.fq.gz	138907446	17360891	4.4	17360891	9.12526823241462	1593442976	6740631	1753449991	0.0564		0.4014	0.5423	
SRX2037693	5405466	0	42.332836751980594	0	0	14314367	33813862	0	0	8828815	11948	0	0	0	0	1005248	4248018	15.99	2702733.0	14204198.0	84.01	16906931.0	fail	warn	16906931.0	Conventional base calls	fail	45.0	warn	pass	warn	pass	pass	pass	pass	20-101	100	14.012223585995663	Sanger / Illumina 1.9	94.13625015681438	fail	0.0	1.6 Gbp	SRX2037693_val_2.fq.gz	42897779	17495753	4.4	17495753	3.890682883593136	1698319922	6787296	1767071053	0.0476		0.3193	0.633	
SRX2037695	4789308	0	51.25656717062073	0	0	14964078	29194460	0	0	3721143	12889	0	0	0	0	1113731	4593311	16.4	2394654.0	12202576.0	83.6	14597230.0	fail	warn	14597230.0	Conventional base calls	fail	44.0	warn	pass	warn	pass	pass	pass	pass	20-101	100	15.32211004253266	Sanger / Illumina 1.9	94.618956610261	fail	0.0	1.3 Gbp	SRX2037695_val_2.fq.gz	111533401	15074813	4.4	15074813	8.513222461443693	1392937524	5754469	1522556113	0.0581		0.3677	0.5742	
SRX2037697	5021834	0	51.41795739758459	0	0	15806384	30740980	0	0	3917113	13596	0	0	0	0	1139158	4842895	16.34	2510917.0	12859573.0	83.66	15370490.0	fail	warn	15370490.0	Conventional base calls	fail	44.0	warn	pass	warn	pass	pass	pass	pass	20-101	100	15.113122469531689	Sanger / Illumina 1.9	94.59497283430782	fail	0.0	1.4 Gbp	SRX2037697_val_2.fq.gz	37829869	15868699	4.4	15868699	3.59040201789013	1545193840	6137257	1602738599	0.0613		0.3733	0.5654	
SRX2037699	7474110	0	51.90772783332152	0	0	16549935	31883374	0	0	2067439	11516	0	0	0	0	1254625	4525749	23.44	3737055.0	12204632.0	76.56	15941687.0	warn	warn	15941687.0	Conventional base calls	fail	40.0	warn	warn	fail	pass	pass	pass	pass	20-101	100	18.99894363485004	Sanger / Illumina 1.9	96.75552606195316	fail	0.0	1.5 Gbp	SRX2037699_val_1.fq.gz	128659259	16502828	4.4	16502828	8.72692454005249	1521326504	6363874	1666785628	0.0658		0.4177	0.5165	
SRX2037713	9752354	0	44.59904158441542	0	0	14817772	33224418	0	0	2465787	11584	0	0	0	0	1211576	4965345	29.35	4876177.0	11736032.0	70.65	16612209.0	fail	warn	16612209.0	Conventional base calls	fail	37.0	fail	warn	fail	pass	pass	pass	pass	20-101	100	17.752362305728965	Sanger / Illumina 1.9	94.41412301037148	fail	0.0	1.5 Gbp	SRX2037713_val_2.fq.gz	61252855	17264498	4.4	17264498	4.623493028213961	1663093789	7361983	1743714298	0.0712		0.3994	0.5294	
SRX2037715	9851914	0	43.06804959656168	0	0	14853116	34487552	0	0	3791205	12499	0	0	0	0	1101827	4876991	28.57	4925957.0	12317819.0	71.43	17243776.0	fail	warn	17243776.0	Conventional base calls	fail	38.0	fail	warn	fail	pass	pass	pass	pass	20-101	100	17.215360440882552	Sanger / Illumina 1.9	94.00242800648768	fail	0.0	1.6 Gbp	SRX2037715_val_2.fq.gz	157274675	17969097	4.4	17969097	9.7494092328635	1637938836	6926597	1814878797	0.0586		0.3995	0.5419	
SRX2037717	4658650	0	43.44547851549601	0	0	11315215	26044632	0	0	5792106	9747	0	0	0	0	794518	3474396	17.89	2329325.0	10692991.0	82.11	13022316.0	fail	warn	13022316.0	Conventional base calls	fail	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	15.934601592048043	Sanger / Illumina 1.9	94.51342080778872	fail	0.0	1.2 Gbp	SRX2037717_val_2.fq.gz	34099090	13464928	4.4	13464928	3.645259038522114	1310383746	5138299	1359957728	0.0535		0.3379	0.6086	
SRX2116174	2317034	0	29.081636583437287	0	0	2114057	7269388	0	0	2212107	1743	0	0	0	0	118585	505862	31.87	1158517.0	2476177.0	68.13	3634694.0		warn	3634694.0	Conventional base calls	fail	39.0	fail	warn	fail	pass	pass	pass	pass	20-151	151	35.64155464697586	Sanger / Illumina 1.9	146.9141974537609	fail	0.0	533.5 Mbp	SRX2116174_val_1.fq.gz	7626981	3645705	4.4	3645705	2.8363336478374976	534887397	1369423	550501455	0.0422		0.2864	0.6714	
SRX2116175	2964982	0	25.12709392449371	0	0	1959750	7799350	0	0	2267505	1744	0	0	0	0	107862	497507	38.02	1482491.0	2417184.0	61.98	3899675.0		warn	3899675.0	Conventional base calls	fail	37.0	warn	fail	fail	pass	pass	pass	pass	20-151	151	42.012231291089805	Sanger / Illumina 1.9	146.62738869264746	fail	0.0	571.3 Mbp	SRX2116175_val_1.fq.gz	16355062	3909093	4.4	3909093	4.260694825597855	565123310	1864259	590273043	0.0415		0.2666	0.6919	
SRX2116176	524232	0	54.69485761752719	0	0	3792618	6934140	0	0	2018791	2411	0	0	0	0	210598	385490	7.56	262116.0	3204954.0	92.44	3467070.0		warn	3467070.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-151	151	20.76855068331973	Sanger / Illumina 1.9	147.31701696244957	fail	0.0	510.4 Mbp	SRX2116176_val_1.fq.gz	8049011	3471822	4.4	3471822	3.7150569805397256	504769117	1421974	524245122	0.0239		0.3557	0.6203	
SRX21659709	1353868	0	68.45779388786075	0	0	14010097	20465306	0	0	3664125	7532	0	0	0	0	444335	985349	6.62	676934.0	9555719.0	93.38	10232653.0		warn	10232653.0	Conventional base calls	pass	49.0	fail	pass	fail	pass	pass	pass	pass	20-150	150	11.386471754181947	Sanger / Illumina 1.9	146.8397426356586	fail	0.0	1.5 Gbp	SRX21659709_val_1.fq.gz	4249171	10250710	4.4	10250710	1.998549628920013	1506876671	3992518	1537606500	0.0154		0.4545	0.5301	
SRX21659710	1524268	0	74.36047291402613	0	0	16654994	22397644	0	0	2675510	8985	0	0	0	0	532676	1001211	6.81	762134.0	10436688.0	93.19	11198822.0		warn	11198822.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	12.154069072832748	Sanger / Illumina 1.9	147.27436412508388	fail	0.0	1.6 Gbp	SRX21659710_val_2.fq.gz	412742	11218530	4.4	11218530	1.4183505919818966	1658911787	4397548	1682779500	0.0138		0.502	0.4842	
SRX21659711	3146570	0	69.17849627963508	0	0	34710067	50174648	0	0	8748838	18286	0	0	0	0	1034020	2516867	6.27	1573285.0	23514039.0	93.73	25087324.0		warn	25087324.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	8.105207301497112	Sanger / Illumina 1.9	146.6561907120903	fail	0.0	3.6 Gbp	SRX21659711_val_2.fq.gz	8653523	25122588	4.4	25122588	2.0478347214864967	3691217838	9780339	3768388200	0.016		0.4712	0.5128	
SRX22720559	2189128	0	82.73314594818667	0	0	30017058	36281780	0	0	413734	22603	0	0	0	0	1533992	2105265	6.03	1094564.0	17046326.0	93.97	18140890.0		warn	18140890.0	Conventional base calls	pass	48.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	21.08725783860488	Sanger / Illumina 1.9	99.22244718974648	fail	0.0	1.8 Gbp	SRX22720559_val_2.fq.gz	1154726	18141718	4.4	18141718	0.4967059349064956	1805160701	5742112	1814171800	0.0168		0.5836	0.3996	
SRX22720560	1940142	0	83.3685474820669	0	0	30199486	36224076	0	0	442224	23367	0	0	0	0	1511623	2107234	5.36	970071.0	17141967.0	94.64	18112038.0		warn	18112038.0	Conventional base calls	pass	49.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	23.122717521836385	Sanger / Illumina 1.9	99.26980420425356	fail	0.0	1.8 Gbp	SRX22720560_val_2.fq.gz	716346	18112321	4.4	18112321	0.4903642664018598	1802350465	6085623	1811232100	0.0182		0.573	0.4088	
SRX22720561	1887646	0	84.3209372445415	0	0	30521793	36197170	0	0	212298	20168	0	0	0	0	1627579	1927686	5.21	943823.0	17154762.0	94.79	18098585.0		warn	18098585.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	17.422074981038634	Sanger / Illumina 1.9	99.27459157718684	fail	0.0	1.8 Gbp	SRX22720561_val_2.fq.gz	1070459	18098862	4.4	18098862	0.4598536084754942	1801563373	5443810	1809886200	0.012		0.5657	0.4222	
SRX22720562	1865774	0	83.23214496514585	0	0	30021853	36070022	0	0	346665	20808	0	0	0	0	1594097	2220825	5.17	932887.0	17102124.0	94.83	18035011.0		warn	18035011.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	21.86828059130634	Sanger / Illumina 1.9	99.2688526777167	fail	0.0	1.7 Gbp	SRX22720562_val_2.fq.gz	1137430	18035347	4.4	18035347	0.4637148927603112	1795171441	5434976	1803534700	0.0163		0.5566	0.4271	
SRX22720563	2114412	0	83.08405994534549	0	0	29977116	36080466	0	0	294621	20359	0	0	0	0	1590127	2083831	5.86	1057206.0	16983027.0	94.14	18040233.0		warn	18040233.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	18-100	100	17.556651286566794	Sanger / Illumina 1.9	99.14400152148812	fail	0.0	1.7 Gbp	SRX22720563_val_2.fq.gz	686715	18044459	4.4	18044459	0.4558449771201231	1796220424	5643906	1804445900	0.0164		0.5715	0.412	
SRX22720564	1773506	0	84.10579155600844	0	0	30522345	36290420	0	0	349680	20152	0	0	0	0	1579687	2045050	4.89	886753.0	17258457.0	95.11	18145210.0		warn	18145210.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	18.554130277486102	Sanger / Illumina 1.9	99.264377320516	fail	0.0	1.8 Gbp	SRX22720564_val_2.fq.gz	637521	18145433	4.4	18145433	0.4745095363665337	1805933119	6006957	1814543300	0.0165		0.5821	0.4014	
SRX22720565	2066092	0	83.41058214447035	0	0	30114293	36103684	0	0	467744	22222	0	0	0	0	1514187	1919146	5.72	1033046.0	17018796.0	94.28	18051842.0		warn	18051842.0	Conventional base calls	pass	49.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	21.197336176869022	Sanger / Illumina 1.9	99.27492319066388	fail	0.0	1.7 Gbp	SRX22720565_val_2.fq.gz	1074829	18052198	4.4	18052198	0.4592134431496928	1796929988	5430021	1805219800	0.0152		0.559	0.4258	
