,0
Cap37_Clostridium_acetobutylicum,"['ZCP4_0049', 'ZCP4_0050', 'ZCP4_0098', 'ZCP4_0099', 'ZCP4_0181', 'ZCP4_0244', 'ZCP4_0245', 'ZCP4_0246', 'ZCP4_0326', 'ZCP4_0463', 'ZCP4_0464', 'ZCP4_0485', 'ZCP4_0605', 'ZCP4_0632', 'ZCP4_0633', 'ZCP4_0634', 'ZCP4_0659', 'ZCP4_0660', 'ZCP4_0663', 'ZCP4_0898', 'ZCP4_0899', 'ZCP4_0900', 'ZCP4_0968', 'ZCP4_0969', 'ZCP4_1034', 'ZCP4_1058', 'ZCP4_1064', 'ZCP4_1065', 'ZCP4_1250', 'ZCP4_1253', 'ZCP4_1254', 'ZCP4_1255', 'ZCP4_1297', 'ZCP4_1362', 'ZCP4_1363', 'ZCP4_1462', 'ZCP4_1463', 'ZCP4_1700', 'ZCP4_1771', 'ZCP4_1772', 'ZCP4_1788', 'ZCP4_1789', 'ZCP4_1790', 'ZCP4_1792', 'ZCP4_1796', 'ZCP4_1799', 'ZCP4_1800', 'ZCP4_1834', 'ZCP4_1835', 'ZCP4_1836', 'ZCP4_1837', 'ZCP4_1861', 'ZCP4_1863', 'ZCP4_1896', 'ZCP4_1923']"
PhoP_Yersinia_pestis,"['ZCP4_0852', 'ZCP4_0853', 'ZCP4_0854']"
BlaI_Bacillus_licheniformis,"['ZCP4_1412', 'ZCP4_1413']"
RamA_Salmonella_enterica,"['ZCP4_1408', 'ZCP4_1410']"
Zur_Corynebacterium_glutamicum,"['ZCP4_0509', 'ZCP4_0946', 'ZCP4_0947', 'ZCP4_0948', 'ZCP4_1193', 'ZCP4_1195', 'ZCP4_1196', 'ZCP4_1528', 'ZCP4_1529', 'ZCP4_1720', 'ZCP4_1721', 'ZCP4_1722', 'ZCP4_1858']"
HapR_Vibrio_cholerae,"['ZCP4_0103', 'ZCP4_1117', 'ZCP4_1118', 'ZCP4_1119']"
KdgR_Bacillus_subtilis,['ZCP4_0329']
PlaR_Escherichia_coli,['ZCP4_0790']
PapR2_Streptomyces_pristinaespiralis,"['ZCP4_0185', 'ZCP4_0186', 'ZCP4_0187', 'ZCP4_0556']"
HilC_Salmonella_enterica,"['ZCP4_0283', 'ZCP4_0284', 'ZCP4_0827', 'ZCP4_0829', 'ZCP4_0898', 'ZCP4_0899', 'ZCP4_0900', 'ZCP4_1340', 'ZCP4_1412', 'ZCP4_1413', 'ZCP4_1627', 'ZCP4_1628', 'ZCP4_1629', 'ZCP4_1785', 'ZCP4_1838', 'ZCP4_1839', 'ZCP4_1840', 'ZCP4_1841', 'ZCP4_1842', 'ZCP4_1923']"
Mta_Bacillus_subtilis,"['ZCP4_1041', 'ZCP4_1042', 'ZCP4_1750']"
