# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_B_Dfur_-O2_C_cds.txt" "Kiley_B_Dfur_-O2_C.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_B_Dfur_-O2_C.bam
ZMO1_ZMO0208	CP023715.1	203483	204091	-	609	5482
ZMO1_ZMO0209	CP023715.1	204284	204553	-	270	6906
ZMO1_ZMO0211	CP023715.1	204686	205060	-	375	8760
ZMO1_ZMO0213	CP023715.1	205298	208678	-	3381	182
ZMO1_ZMO0214	CP023715.1	208984	210438	-	1455	426
ZMO1_ZMO0215	CP023715.1	210663	211313	+	651	906
ZMO1_ZMO0216	CP023715.1	211393	212964	-	1572	638
ZMO1_ZMO0219	CP023715.1	213317	216148	+	2832	1041
ZMO1_ZMO0220	CP023715.1	216380	216718	+	339	1414
ZMO1_ZMO0221	CP023715.1	217047	217601	+	555	1058
ZMO1_ZMO0222	CP023715.1	217815	218114	+	300	202
ZMO1_ZMO0223	CP023715.1	218194	218955	+	762	392
ZMO1_ZMO0224	CP023715.1	218964	219611	-	648	567
ZMO1_ZMO0225	CP023715.1	219611	220732	-	1122	2238
ZMO1_ZMO0226	CP023715.1	221111	221860	+	750	683
ZMO1_ZMO0227	CP023715.1	221876	224641	+	2766	2047
ZMO1_ZMO0228	CP023715.1	224638	226185	+	1548	795
ZMO1_ZMO0229	CP023715.1	226190	227215	+	1026	214
ZMO1_ZMO0230	CP023715.1	227212	227997	+	786	136
ZMO1_ZMO0231	CP023715.1	228223	228771	+	549	801
ZMO1_ZMO0232	CP023715.1	228888	229637	-	750	2277
ZMO1_ZMO0233	CP023715.1	230210	230596	-	387	263
ZMO1_ZMO0234	CP023715.1	230689	232263	-	1575	7276
ZMO1_ZMO0236	CP023715.1	232800	233828	+	1029	883
ZMO1_ZMO2046	CP023715.1	234003	234263	-	261	0
ZMO1_ZMO0238	CP023715.1	234262	234816	+	555	11355
ZMO1_ZMO0239	CP023715.1	234819	236348	+	1530	47505
ZMO1_ZMO0240	CP023715.1	236382	237278	+	897	22693
