# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_A_DZM0422_Aerobic_A_cds.txt" "Kiley_A_DZM0422_Aerobic_A.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_A_DZM0422_Aerobic_A.bam
ZMO1_ZMO0143	CP023715.1	131416	132375	+	960	17395
ZMO1_ZMO0144	CP023715.1	132440	134032	+	1593	20424
ZMO1_ZMO0145	CP023715.1	134055	135728	+	1674	11732
ZMO1_ZMO0148	CP023715.1	136393	137199	-	807	9860
ZMO1_ZMO0149	CP023715.1	137384	138079	-	696	11930
ZMO1_ZMO0150	CP023715.1	138159	138785	-	627	402
ZMO1_ZMO0152	CP023715.1	139052	140479	-	1428	482776
ZMO1_ZMO2043	CP023715.1	140799	141038	+	240	6734
ZMO1_ZMO0153	CP023715.1	141493	142242	+	750	22878
ZMO1_ZMO0154	CP023715.1	142277	142780	+	504	6175
ZMO1_ZMO0155	CP023715.1	142822	143463	+	642	4741
ZMO1_ZMO0156	CP023715.1	143523	143885	-	363	6031
ZMO1_ZMO0157	CP023715.1	144094	145023	-	930	12712
ZMO1_ZMO0158	CP023715.1	145169	146212	+	1044	4382
ZMO1_ZMO0160	CP023715.1	146392	146892	+	501	6801
ZMO1_ZMO0161	CP023715.1	146900	147610	+	711	11307
ZMO1_ZMO0162	CP023715.1	147610	148137	+	528	5119
ZMO1_ZMO0164	CP023715.1	148147	149226	+	1080	16062
ZMO1_ZMO0165	CP023715.1	149280	150656	+	1377	43367
ZMO1_ZMO0166	CP023715.1	150783	151313	+	531	49045
ZMO1_ZMO2000	CP023715.1	152523	152939	-	417	636
ZMO1_ZMO0169	CP023715.1	153232	153975	-	744	39916
ZMO1_ZMO2044	CP023715.1	154131	154574	+	444	1804
ZMO1_ZMO0172	CP023715.1	157812	159626	+	1815	18624
ZMO1_ZMO0173	CP023715.1	160144	160545	-	402	3728
ZMO1_ZMO0174	CP023715.1	160738	161130	-	393	1196
ZMO1_ZMO0175	CP023715.1	161341	161622	-	282	618
ZMO1_ZMO0176	CP023715.1	161837	163828	+	1992	50915
ZMO1_ZMO0177	CP023715.1	163878	164891	+	1014	1138748
ZMO1_ZMO0178	CP023715.1	165114	166307	+	1194	213695
ZMO1_ZMO0179	CP023715.1	167076	167990	+	915	13477
ZMO1_ZMO0180	CP023715.1	168147	169280	-	1134	108295
ZMO1_ZMO0182	CP023715.1	169658	171052	+	1395	46324
ZMO1_ZMO0183	CP023715.1	171346	173028	-	1683	70546
ZMO1_ZMO0184	CP023715.1	173737	173976	+	240	153028
ZMO1_ZMO0186	CP023715.1	174197	175747	+	1551	26377
ZMO1_ZMO0187	CP023715.1	175840	177168	+	1329	72922
ZMO1_ZMO0188	CP023715.1	177747	180113	+	2367	12505
ZMO1_ZMO0189	CP023715.1	180139	181500	-	1362	9466
ZMO1_ZMO0190	CP023715.1	181591	182508	-	918	3830
ZMO1_ZMO0191	CP023715.1	182842	183621	-	780	2270
ZMO1_ZMO0192	CP023715.1	183652	185010	-	1359	4283
ZMO1_ZMO0193	CP023715.1	185346	188084	-	2739	80857
ZMO1_ZMO0195	CP023715.1	188615	189634	+	1020	2374
ZMO1_ZMO0197	CP023715.1	189846	192425	+	2580	6941
ZMO1_ZMO0198	CP023715.1	192536	193663	+	1128	23548
ZMO1_ZMO0199	CP023715.1	193716	194369	-	654	10927
ZMO1_ZMO0200	CP023715.1	194535	195560	-	1026	11348
ZMO1_ZMO0201	CP023715.1	195587	196171	-	585	9750
ZMO1_ZMO0202	CP023715.1	197164	199056	+	1893	58662
ZMO1_ZMO0203	CP023715.1	199098	199547	-	450	988
ZMO1_ZMO0204	CP023715.1	199614	200246	+	633	1432
ZMO1_ZMO0205	CP023715.1	200250	201173	-	924	13809
ZMO1_ZMO0206	CP023715.1	201170	202363	-	1194	28008
ZMO1_ZMO0207	CP023715.1	202348	203391	-	1044	29943
ZMO1_ZMO0208	CP023715.1	203483	204091	-	609	47588
ZMO1_ZMO0209	CP023715.1	204284	204553	-	270	35852
ZMO1_ZMO0211	CP023715.1	204686	205060	-	375	73360
ZMO1_ZMO0213	CP023715.1	205298	208678	-	3381	1027
ZMO1_ZMO0214	CP023715.1	208984	210438	-	1455	2555
ZMO1_ZMO0215	CP023715.1	210663	211313	+	651	6279
ZMO1_ZMO0216	CP023715.1	211393	212964	-	1572	4568
ZMO1_ZMO0219	CP023715.1	213317	216148	+	2832	11294
ZMO1_ZMO0220	CP023715.1	216380	216718	+	339	33935
ZMO1_ZMO0221	CP023715.1	217047	217601	+	555	15388
ZMO1_ZMO0222	CP023715.1	217815	218114	+	300	1170
ZMO1_ZMO0223	CP023715.1	218194	218955	+	762	4496
ZMO1_ZMO0224	CP023715.1	218964	219611	-	648	6429
