# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_A_DZM0422_Anaerobic_C_cds.txt" "Kiley_A_DZM0422_Anaerobic_C.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_A_DZM0422_Anaerobic_C.bam
ZMO1_ZMO0086	CP023715.1	76803	78968	-	2166	19023
ZMO1_ZMO0087	CP023715.1	79111	79593	-	483	3535
ZMO1_ZMO0088	CP023715.1	79719	80423	-	705	103
ZMO1_ZMO0089	CP023715.1	80632	81324	-	693	77
ZMO1_ZMO0090	CP023715.1	81761	82558	-	798	21381
ZMO1_ZMO0091	CP023715.1	82625	82780	+	156	23
ZMO1_ZMO0092	CP023715.1	82881	83645	+	765	3123
ZMO1_ZMO0094	CP023715.1	83861	84868	+	1008	10385
ZMO1_ZMO0095	CP023715.1	84951	85172	-	222	661
ZMO1_ZMO0096	CP023715.1	85618	86169	-	552	10599
ZMO1_ZMO2042	CP023715.1	86442	86648	+	207	2
ZMO1_ZMO0099	CP023715.1	86671	87939	+	1269	6816
ZMO1_ZMO0100	CP023715.1	88004	88384	-	381	530
ZMO1_ZMO0101	CP023715.1	88491	89555	+	1065	560
ZMO1_ZMO0102	CP023715.1	89582	89773	+	192	39
ZMO1_ZMO0103	CP023715.1	89985	91547	+	1563	5445
ZMO1_ZMO0105	CP023715.1	91652	93106	+	1455	29205
ZMO1_ZMO0106	CP023715.1	93103	93681	+	579	9762
ZMO1_ZMO0107	CP023715.1	93746	94555	-	810	9929
ZMO1_ZMO0108	CP023715.1	94613	94939	-	327	3645
ZMO1_ZMO0109	CP023715.1	95277	96716	+	1440	11031
ZMO1_ZMO0110	CP023715.1	96713	97702	+	990	6398
ZMO1_ZMO0111	CP023715.1	97849	99645	-	1797	18599
ZMO1_ZMO0112	CP023715.1	99841	100191	+	351	805
ZMO1_ZMO0113	CP023715.1	100924	102387	+	1464	4857
ZMO1_ZMO0114	CP023715.1	102404	103015	+	612	1963
ZMO1_ZMO0115	CP023715.1	102981	103817	+	837	2638
ZMO1_ZMO0116	CP023715.1	104017	104454	+	438	9570
ZMO1_ZMO0117	CP023715.1	104521	106158	+	1638	6938
ZMO1_ZMO0119	CP023715.1	106317	107483	+	1167	382
ZMO1_ZMO0120	CP023715.1	107644	108711	+	1068	19245
ZMO1_ZMO0121	CP023715.1	108979	110328	+	1350	4001
ZMO1_ZMO0122	CP023715.1	110563	110850	+	288	2952
ZMO1_ZMO0124	CP023715.1	111117	112700	-	1584	7763
ZMO1_ZMO0125	CP023715.1	112713	113186	-	474	2180
ZMO1_ZMO0127	CP023715.1	114593	115552	-	960	13749
ZMO1_ZMO0128	CP023715.1	115570	118062	-	2493	25192
ZMO1_ZMO0130	CP023715.1	118385	119179	-	795	12619
ZMO1_ZMO0131	CP023715.1	119337	120281	-	945	12515
ZMO1_ZMO0132	CP023715.1	120789	121607	+	819	1449
ZMO1_ZMO0133	CP023715.1	121838	122560	+	723	1573
ZMO1_ZMO2040	CP023715.1	122793	124106	+	1314	664
ZMO1_ZMO2041	CP023715.1	124244	125068	+	825	6283
ZMO1_ZMO0134	CP023715.1	125251	125751	+	501	121
ZMO1_ZMO0135	CP023715.1	125859	126560	+	702	450
ZMO1_ZMO0136	CP023715.1	126654	127370	+	717	352
ZMO1_ZMO0137	CP023715.1	127570	128826	+	1257	1001
ZMO1_ZMO0139	CP023715.1	128986	129816	-	831	6352
ZMO1_ZMO0140	CP023715.1	129882	130361	-	480	2939
ZMO1_ZMO0142	CP023715.1	130700	131398	+	699	6601
ZMO1_ZMO0143	CP023715.1	131416	132375	+	960	14426
ZMO1_ZMO0144	CP023715.1	132440	134032	+	1593	16321
ZMO1_ZMO0145	CP023715.1	134055	135728	+	1674	8662
ZMO1_ZMO0148	CP023715.1	136393	137199	-	807	11321
ZMO1_ZMO0149	CP023715.1	137384	138079	-	696	12840
ZMO1_ZMO0150	CP023715.1	138159	138785	-	627	766
ZMO1_ZMO0152	CP023715.1	139052	140479	-	1428	650034
ZMO1_ZMO2043	CP023715.1	140799	141038	+	240	6380
ZMO1_ZMO0153	CP023715.1	141493	142242	+	750	21987
ZMO1_ZMO0154	CP023715.1	142277	142780	+	504	5361
ZMO1_ZMO0155	CP023715.1	142822	143463	+	642	3921
ZMO1_ZMO0156	CP023715.1	143523	143885	-	363	6303
ZMO1_ZMO0157	CP023715.1	144094	145023	-	930	8801
ZMO1_ZMO0158	CP023715.1	145169	146212	+	1044	3102
ZMO1_ZMO0160	CP023715.1	146392	146892	+	501	4140
ZMO1_ZMO0161	CP023715.1	146900	147610	+	711	7166
ZMO1_ZMO0162	CP023715.1	147610	148137	+	528	3332
