regulator,gene_id
ZCP4_1387,ZCP4_1523
ZCP4_1465,ZCP4_1523
ZCP4_1194,ZCP4_1461
ZCP4_1387,ZCP4_1461
ZCP4_0128,ZCP4_1390
ZCP4_1194,ZCP4_1390
ZCP4_1387,ZCP4_1390
ZCP4_0128,ZCP4_1371
ZCP4_0210,ZCP4_1371
ZCP4_0375,ZCP4_1371
ZCP4_0530,ZCP4_1371
ZCP4_1042,ZCP4_1371
ZCP4_1046,ZCP4_1371
ZCP4_1194,ZCP4_1371
ZCP4_1194,ZCP4_1371
ZCP4_1382,ZCP4_1371
ZCP4_1718,ZCP4_1371
ZCP4_0018,ZCP4_1356
ZCP4_0128,ZCP4_1356
ZCP4_0210,ZCP4_1356
ZCP4_0375,ZCP4_1356
ZCP4_0523,ZCP4_1356
ZCP4_0900,ZCP4_1356
ZCP4_0900,ZCP4_1356
ZCP4_1046,ZCP4_1356
ZCP4_1194,ZCP4_1356
ZCP4_1382,ZCP4_1356
ZCP4_1718,ZCP4_1356
ZCP4_0375,ZCP4_1309
ZCP4_1194,ZCP4_1309
ZCP4_0018,ZCP4_1306
ZCP4_0375,ZCP4_1306
ZCP4_1194,ZCP4_1306
ZCP4_0900,ZCP4_1235
ZCP4_1194,ZCP4_1235
ZCP4_0128,ZCP4_1234
ZCP4_1194,ZCP4_1234
ZCP4_0018,ZCP4_0049
ZCP4_0128,ZCP4_0049
ZCP4_0375,ZCP4_0049
ZCP4_0523,ZCP4_0049
ZCP4_0530,ZCP4_0049
ZCP4_1194,ZCP4_0049
ZCP4_1382,ZCP4_0049
ZCP4_1718,ZCP4_0049
ZCP4_0128,ZCP4_1174
ZCP4_1174,ZCP4_1174
ZCP4_1387,ZCP4_1174
ZCP4_0018,ZCP4_0683
ZCP4_0168,ZCP4_0683
ZCP4_0375,ZCP4_0683
ZCP4_0812,ZCP4_0683
ZCP4_1174,ZCP4_0683
ZCP4_1315,ZCP4_0683
ZCP4_1718,ZCP4_0683
ZCP4_1718,ZCP4_0683
ZCP4_0210,ZCP4_1026
ZCP4_0375,ZCP4_1026
ZCP4_0523,ZCP4_1026
ZCP4_1171,ZCP4_1026
ZCP4_1718,ZCP4_1026
ZCP4_0018,ZCP4_1481
ZCP4_0128,ZCP4_1481
ZCP4_0210,ZCP4_1481
ZCP4_0375,ZCP4_1481
ZCP4_0523,ZCP4_1481
ZCP4_0530,ZCP4_1481
ZCP4_1171,ZCP4_1481
ZCP4_1382,ZCP4_1481
ZCP4_1387,ZCP4_1481
ZCP4_1718,ZCP4_1481
ZCP4_1046,ZCP4_1137
ZCP4_1137,ZCP4_1137
ZCP4_1137,ZCP4_1109
ZCP4_1465,ZCP4_1109
ZCP4_0530,ZCP4_1013
ZCP4_1046,ZCP4_1013
ZCP4_1137,ZCP4_1013
ZCP4_0128,ZCP4_0963
ZCP4_1137,ZCP4_0963
ZCP4_1387,ZCP4_0963
ZCP4_1137,ZCP4_0890
ZCP4_1387,ZCP4_0890
ZCP4_0018,ZCP4_0804
ZCP4_1046,ZCP4_0804
ZCP4_1137,ZCP4_0804
ZCP4_1137,ZCP4_0719
ZCP4_1137,ZCP4_0580
ZCP4_1387,ZCP4_0580
ZCP4_1137,ZCP4_0303
ZCP4_1137,ZCP4_0303
ZCP4_1465,ZCP4_0303
ZCP4_1465,ZCP4_0303
ZCP4_1137,ZCP4_0297
ZCP4_0375,ZCP4_0210
ZCP4_1137,ZCP4_0210
ZCP4_1137,ZCP4_0015
ZCP4_1137,ZCP4_1559
ZCP4_1137,ZCP4_1427
ZCP4_1137,ZCP4_1878
ZCP4_0168,ZCP4_0947
ZCP4_0207,ZCP4_0947
ZCP4_0210,ZCP4_0947
ZCP4_0389,ZCP4_0947
ZCP4_0661,ZCP4_0947
ZCP4_0921,ZCP4_0947
ZCP4_1005,ZCP4_0947
ZCP4_1315,ZCP4_0947
ZCP4_1609,ZCP4_0947
ZCP4_1637,ZCP4_0947
ZCP4_1718,ZCP4_0947
ZCP4_0168,ZCP4_0277
ZCP4_0900,ZCP4_0277
ZCP4_1465,ZCP4_0277
ZCP4_0128,ZCP4_1363
ZCP4_0168,ZCP4_1363
ZCP4_0210,ZCP4_1363
ZCP4_0530,ZCP4_1363
ZCP4_0812,ZCP4_1363
ZCP4_0900,ZCP4_1363
ZCP4_1382,ZCP4_1363
ZCP4_1637,ZCP4_1363
ZCP4_1718,ZCP4_1363
ZCP4_1056,ZCP4_0873
ZCP4_1382,ZCP4_0873
ZCP4_1718,ZCP4_0873
ZCP4_0018,ZCP4_1195
ZCP4_0128,ZCP4_1195
ZCP4_0375,ZCP4_1195
ZCP4_0523,ZCP4_1195
ZCP4_1046,ZCP4_1195
ZCP4_1382,ZCP4_1195
ZCP4_1718,ZCP4_1195
ZCP4_0375,ZCP4_1170
ZCP4_1046,ZCP4_1170
ZCP4_1718,ZCP4_1170
ZCP4_0018,ZCP4_1161
ZCP4_0375,ZCP4_1161
ZCP4_1042,ZCP4_1161
ZCP4_1046,ZCP4_1161
ZCP4_1718,ZCP4_1161
ZCP4_1046,ZCP4_1159
ZCP4_1046,ZCP4_1159
ZCP4_1046,ZCP4_1128
ZCP4_1718,ZCP4_1128
ZCP4_0375,ZCP4_1116
ZCP4_1046,ZCP4_1116
ZCP4_1465,ZCP4_1116
ZCP4_1046,ZCP4_1114
ZCP4_1046,ZCP4_1112
ZCP4_1387,ZCP4_1112
ZCP4_1046,ZCP4_1102
ZCP4_0265,ZCP4_1097
ZCP4_0530,ZCP4_1097
ZCP4_1042,ZCP4_1097
ZCP4_1046,ZCP4_1097
ZCP4_1387,ZCP4_1097
ZCP4_1387,ZCP4_1097
ZCP4_0018,ZCP4_1062
ZCP4_0530,ZCP4_1062
ZCP4_1046,ZCP4_1062
ZCP4_0375,ZCP4_1055
ZCP4_1046,ZCP4_1055
ZCP4_0530,ZCP4_1028
ZCP4_1046,ZCP4_1028
ZCP4_1465,ZCP4_1028
ZCP4_0530,ZCP4_1016
ZCP4_1046,ZCP4_1016
ZCP4_0128,ZCP4_1012
ZCP4_1046,ZCP4_1012
ZCP4_1382,ZCP4_1012
ZCP4_0900,ZCP4_0973
ZCP4_1046,ZCP4_0973
ZCP4_0900,ZCP4_0954
ZCP4_1046,ZCP4_0954
ZCP4_0018,ZCP4_0946
ZCP4_0128,ZCP4_0946
ZCP4_0523,ZCP4_0946
ZCP4_1046,ZCP4_0946
ZCP4_0900,ZCP4_0885
ZCP4_1042,ZCP4_0885
ZCP4_1046,ZCP4_0885
ZCP4_1387,ZCP4_0885
ZCP4_0018,ZCP4_0862
ZCP4_0128,ZCP4_0862
ZCP4_0530,ZCP4_0862
ZCP4_1046,ZCP4_0862
ZCP4_1046,ZCP4_0860
ZCP4_1046,ZCP4_0826
ZCP4_1046,ZCP4_0826
ZCP4_0018,ZCP4_0806
ZCP4_0375,ZCP4_0806
ZCP4_0900,ZCP4_0806
ZCP4_1046,ZCP4_0806
ZCP4_1718,ZCP4_0806
ZCP4_0900,ZCP4_0795
ZCP4_1046,ZCP4_0795
ZCP4_0900,ZCP4_0793
ZCP4_1046,ZCP4_0793
ZCP4_0375,ZCP4_0788
ZCP4_1046,ZCP4_0788
ZCP4_1387,ZCP4_0788
ZCP4_1718,ZCP4_0788
ZCP4_0900,ZCP4_0785
ZCP4_1046,ZCP4_0785
ZCP4_0375,ZCP4_0760
ZCP4_1046,ZCP4_0760
ZCP4_1387,ZCP4_0760
ZCP4_1046,ZCP4_0730
ZCP4_1387,ZCP4_0730
ZCP4_0375,ZCP4_0694
ZCP4_1046,ZCP4_0694
ZCP4_0900,ZCP4_0677
ZCP4_1046,ZCP4_0677
ZCP4_0018,ZCP4_0609
ZCP4_1046,ZCP4_0609
ZCP4_1387,ZCP4_0609
ZCP4_1718,ZCP4_0609
ZCP4_0018,ZCP4_0600
ZCP4_0265,ZCP4_0600
ZCP4_0530,ZCP4_0600
ZCP4_0900,ZCP4_0600
ZCP4_1046,ZCP4_0600
ZCP4_1382,ZCP4_0600
ZCP4_1387,ZCP4_0600
ZCP4_1387,ZCP4_0600
ZCP4_1718,ZCP4_0600
ZCP4_0018,ZCP4_0586
ZCP4_0375,ZCP4_0586
ZCP4_1046,ZCP4_0586
ZCP4_1387,ZCP4_0586
ZCP4_1387,ZCP4_0586
ZCP4_0128,ZCP4_0548
ZCP4_1046,ZCP4_0548
ZCP4_0900,ZCP4_0535
ZCP4_1046,ZCP4_0535
ZCP4_0018,ZCP4_0515
ZCP4_0128,ZCP4_0515
ZCP4_0523,ZCP4_0515
ZCP4_0523,ZCP4_0515
ZCP4_0530,ZCP4_0515
ZCP4_0900,ZCP4_0515
ZCP4_1046,ZCP4_0515
ZCP4_1382,ZCP4_0515
ZCP4_1585,ZCP4_0515
ZCP4_1718,ZCP4_0515
ZCP4_1718,ZCP4_0515
ZCP4_0018,ZCP4_0470
ZCP4_0095,ZCP4_0470
ZCP4_0375,ZCP4_0470
ZCP4_1046,ZCP4_0470
ZCP4_1046,ZCP4_0466
ZCP4_1387,ZCP4_0466
ZCP4_0018,ZCP4_0426
ZCP4_0375,ZCP4_0426
ZCP4_1046,ZCP4_0426
ZCP4_1387,ZCP4_0426
ZCP4_1387,ZCP4_0426
ZCP4_1046,ZCP4_0416
ZCP4_0095,ZCP4_0413
ZCP4_0900,ZCP4_0413
ZCP4_1046,ZCP4_0413
ZCP4_1718,ZCP4_0413
ZCP4_0265,ZCP4_0383
ZCP4_0389,ZCP4_0383
ZCP4_1046,ZCP4_0383
ZCP4_0018,ZCP4_0362
ZCP4_0375,ZCP4_0362
ZCP4_1046,ZCP4_0362
ZCP4_1387,ZCP4_0362
ZCP4_1387,ZCP4_0362
ZCP4_1046,ZCP4_0346
ZCP4_0018,ZCP4_0344
ZCP4_0900,ZCP4_0344
ZCP4_1046,ZCP4_0344
ZCP4_1465,ZCP4_0344
ZCP4_0071,ZCP4_0337
ZCP4_0207,ZCP4_0337
ZCP4_0389,ZCP4_0337
ZCP4_1046,ZCP4_0337
ZCP4_1431,ZCP4_0337
ZCP4_0128,ZCP4_0324
ZCP4_1046,ZCP4_0324
