,gene_id,database,kegg_id
6178,YAL016W,KEGG_pathway,map03015
6179,YAL016W,KEGG_pathway,map04071
6180,YAL016W,KEGG_pathway,map04111
6181,YAL016W,KEGG_pathway,map04113
6182,YAL016W,KEGG_pathway,map04114
6183,YAL016W,KEGG_pathway,map04151
6184,YAL016W,KEGG_pathway,map04152
6185,YAL016W,KEGG_pathway,map04261
6186,YAL016W,KEGG_pathway,map04350
6187,YAL016W,KEGG_pathway,map04390
6188,YAL016W,KEGG_pathway,map04391
6189,YAL016W,KEGG_pathway,map04530
6190,YAL016W,KEGG_pathway,map04728
6191,YAL016W,KEGG_pathway,map04730
6192,YAL016W,KEGG_pathway,map05142
6193,YAL016W,KEGG_pathway,map05160
6194,YAL016W,KEGG_pathway,map05165
6196,YAL015C,KEGG_pathway,map03410
6198,YAL014C,KEGG_pathway,map04130
6200,YAL013W,KEGG_pathway,map04130
6207,YAL012W,KEGG_pathway,map00260
6208,YAL012W,KEGG_pathway,map00270
6209,YAL012W,KEGG_pathway,map00450
6210,YAL012W,KEGG_pathway,map01100
6211,YAL012W,KEGG_pathway,map01130
6212,YAL012W,KEGG_pathway,map01230
6219,YAL011W,KEGG_pathway,map00260
6220,YAL011W,KEGG_pathway,map00270
6221,YAL011W,KEGG_pathway,map00450
6222,YAL011W,KEGG_pathway,map01100
6223,YAL011W,KEGG_pathway,map01130
6224,YAL011W,KEGG_pathway,map01230
6226,YAL010C,KEGG_pathway,map04139
6228,YAL009W,KEGG_pathway,map04139
6230,YAL007C,KEGG_pathway,map04139
6243,YAL005C,KEGG_pathway,map03040
6244,YAL005C,KEGG_pathway,map04010
6245,YAL005C,KEGG_pathway,map04141
6246,YAL005C,KEGG_pathway,map04144
6247,YAL005C,KEGG_pathway,map04213
6248,YAL005C,KEGG_pathway,map04612
6249,YAL005C,KEGG_pathway,map04915
6250,YAL005C,KEGG_pathway,map05134
6251,YAL005C,KEGG_pathway,map05145
6252,YAL005C,KEGG_pathway,map05162
6253,YAL005C,KEGG_pathway,map05164
6254,YAL005C,KEGG_pathway,map05169
6256,YAL002W,KEGG_pathway,map04138
6258,YAR002W,KEGG_pathway,map04138
6260,YAR002C-A,KEGG_pathway,map04138
6262,YAR003W,KEGG_pathway,map04934
6268,YAR007C,KEGG_pathway,map03030
6269,YAR007C,KEGG_pathway,map03420
6270,YAR007C,KEGG_pathway,map03430
6271,YAR007C,KEGG_pathway,map03440
6272,YAR007C,KEGG_pathway,map03460
6278,YAR008W,KEGG_pathway,map03030
6279,YAR008W,KEGG_pathway,map03420
6280,YAR008W,KEGG_pathway,map03430
6281,YAR008W,KEGG_pathway,map03440
6282,YAR008W,KEGG_pathway,map03460
6288,YAR009C,KEGG_pathway,map03030
6289,YAR009C,KEGG_pathway,map03420
6290,YAR009C,KEGG_pathway,map03430
6291,YAR009C,KEGG_pathway,map03440
6292,YAR009C,KEGG_pathway,map03460
6298,YAR010C,KEGG_pathway,map03030
6299,YAR010C,KEGG_pathway,map03420
6300,YAR010C,KEGG_pathway,map03430
6301,YAR010C,KEGG_pathway,map03440
6302,YAR010C,KEGG_pathway,map03460
6308,YAR014C,KEGG_pathway,map03030
6309,YAR014C,KEGG_pathway,map03420
6310,YAR014C,KEGG_pathway,map03430
6311,YAR014C,KEGG_pathway,map03440
6312,YAR014C,KEGG_pathway,map03460
6317,YAR015W,KEGG_pathway,map00230
6318,YAR015W,KEGG_pathway,map01100
6319,YAR015W,KEGG_pathway,map01110
6320,YAR015W,KEGG_pathway,map01130
6325,YAR018C,KEGG_pathway,map00230
6326,YAR018C,KEGG_pathway,map01100
6327,YAR018C,KEGG_pathway,map01110
6328,YAR018C,KEGG_pathway,map01130
6332,YAR019C,KEGG_pathway,map04111
6333,YAR019C,KEGG_pathway,map04113
6334,YAR019C,KEGG_pathway,map04392
6338,YAR020C,KEGG_pathway,map04111
6339,YAR020C,KEGG_pathway,map04113
6340,YAR020C,KEGG_pathway,map04392
6344,YAR023C,KEGG_pathway,map04111
6345,YAR023C,KEGG_pathway,map04113
6346,YAR023C,KEGG_pathway,map04392
6350,YAR027W,KEGG_pathway,map04111
6351,YAR027W,KEGG_pathway,map04113
6352,YAR027W,KEGG_pathway,map04392
6356,YAR028W,KEGG_pathway,map04111
6357,YAR028W,KEGG_pathway,map04113
6358,YAR028W,KEGG_pathway,map04392
6362,YAR029W,KEGG_pathway,map04111
6363,YAR029W,KEGG_pathway,map04113
6364,YAR029W,KEGG_pathway,map04392
6368,YAR031W,KEGG_pathway,map04111
6369,YAR031W,KEGG_pathway,map04113
6370,YAR031W,KEGG_pathway,map04392
6374,YAR033W,KEGG_pathway,map04111
6375,YAR033W,KEGG_pathway,map04113
6376,YAR033W,KEGG_pathway,map04392
6378,YAR035W,KEGG_pathway,map04146
6380,YAR042W,KEGG_pathway,map04146
6382,YAR050W,KEGG_pathway,map04146
6386,YAR071W,KEGG_pathway,map00730
6387,YAR071W,KEGG_pathway,map00740
6388,YAR071W,KEGG_pathway,map01100
6392,YBL113C,KEGG_pathway,map00730
6393,YBL113C,KEGG_pathway,map00740
6394,YBL113C,KEGG_pathway,map01100
6398,YBL112C,KEGG_pathway,map00730
6399,YBL112C,KEGG_pathway,map00740
6400,YBL112C,KEGG_pathway,map01100
6404,YBL108C-A,KEGG_pathway,map00730
6405,YBL108C-A,KEGG_pathway,map00740
6406,YBL108C-A,KEGG_pathway,map01100
6410,YBL107C,KEGG_pathway,map00730
6411,YBL107C,KEGG_pathway,map00740
6412,YBL107C,KEGG_pathway,map01100
6416,YBL106C,KEGG_pathway,map00730
6417,YBL106C,KEGG_pathway,map00740
6418,YBL106C,KEGG_pathway,map01100
6489,YBL105C,KEGG_pathway,map01521
6490,YBL105C,KEGG_pathway,map04010
6491,YBL105C,KEGG_pathway,map04011
6492,YBL105C,KEGG_pathway,map04012
6493,YBL105C,KEGG_pathway,map04014
6494,YBL105C,KEGG_pathway,map04015
6495,YBL105C,KEGG_pathway,map04020
6496,YBL105C,KEGG_pathway,map04022
6497,YBL105C,KEGG_pathway,map04066
6498,YBL105C,KEGG_pathway,map04070
6499,YBL105C,KEGG_pathway,map04071
6500,YBL105C,KEGG_pathway,map04072
6501,YBL105C,KEGG_pathway,map04139
6502,YBL105C,KEGG_pathway,map04150
6503,YBL105C,KEGG_pathway,map04151
6504,YBL105C,KEGG_pathway,map04261
6505,YBL105C,KEGG_pathway,map04270
6506,YBL105C,KEGG_pathway,map04310
6507,YBL105C,KEGG_pathway,map04360
6508,YBL105C,KEGG_pathway,map04370
6509,YBL105C,KEGG_pathway,map04371
6510,YBL105C,KEGG_pathway,map04510
6511,YBL105C,KEGG_pathway,map04530
6512,YBL105C,KEGG_pathway,map04540
6513,YBL105C,KEGG_pathway,map04650
6514,YBL105C,KEGG_pathway,map04664
6515,YBL105C,KEGG_pathway,map04666
6516,YBL105C,KEGG_pathway,map04670
6517,YBL105C,KEGG_pathway,map04713
6518,YBL105C,KEGG_pathway,map04720
6519,YBL105C,KEGG_pathway,map04723
6520,YBL105C,KEGG_pathway,map04724
6521,YBL105C,KEGG_pathway,map04725
6522,YBL105C,KEGG_pathway,map04726
6523,YBL105C,KEGG_pathway,map04727
6524,YBL105C,KEGG_pathway,map04728
6525,YBL105C,KEGG_pathway,map04730
6526,YBL105C,KEGG_pathway,map04745
6527,YBL105C,KEGG_pathway,map04750
6528,YBL105C,KEGG_pathway,map04911
6529,YBL105C,KEGG_pathway,map04912
6530,YBL105C,KEGG_pathway,map04916
6531,YBL105C,KEGG_pathway,map04918
6532,YBL105C,KEGG_pathway,map04919
6533,YBL105C,KEGG_pathway,map04921
6534,YBL105C,KEGG_pathway,map04925
6535,YBL105C,KEGG_pathway,map04926
6536,YBL105C,KEGG_pathway,map04930
6537,YBL105C,KEGG_pathway,map04931
6538,YBL105C,KEGG_pathway,map04933
6539,YBL105C,KEGG_pathway,map04960
6540,YBL105C,KEGG_pathway,map04961
6541,YBL105C,KEGG_pathway,map04970
6542,YBL105C,KEGG_pathway,map04971
6543,YBL105C,KEGG_pathway,map04972
6544,YBL105C,KEGG_pathway,map05031
6545,YBL105C,KEGG_pathway,map05032
6546,YBL105C,KEGG_pathway,map05110
6547,YBL105C,KEGG_pathway,map05130
6548,YBL105C,KEGG_pathway,map05143
6549,YBL105C,KEGG_pathway,map05146
6550,YBL105C,KEGG_pathway,map05161
6551,YBL105C,KEGG_pathway,map05164
6552,YBL105C,KEGG_pathway,map05200
6553,YBL105C,KEGG_pathway,map05205
6554,YBL105C,KEGG_pathway,map05206
6555,YBL105C,KEGG_pathway,map05214
6556,YBL105C,KEGG_pathway,map05223
6557,YBL105C,KEGG_pathway,map05225
6558,YBL105C,KEGG_pathway,map05231
6560,YBL104C,KEGG_pathway,map04150
6562,YBL103C,KEGG_pathway,map04150
6564,YBL102W,KEGG_pathway,map04150
6566,YBL101C,KEGG_pathway,map04150
6568,YBL100W-B,KEGG_pathway,map04150
6570,YBL100W-A,KEGG_pathway,map04150
6577,YBL099W,KEGG_pathway,map00190
6578,YBL099W,KEGG_pathway,map01100
6579,YBL099W,KEGG_pathway,map04714
6580,YBL099W,KEGG_pathway,map05010
6581,YBL099W,KEGG_pathway,map05012
6582,YBL099W,KEGG_pathway,map05016
6585,YBL098W,KEGG_pathway,map00380
6586,YBL098W,KEGG_pathway,map01100
6588,YBL097W,KEGG_pathway,map04111
6593,YBL095W,KEGG_pathway,map00230
6594,YBL095W,KEGG_pathway,map00920
6595,YBL095W,KEGG_pathway,map01100
6596,YBL095W,KEGG_pathway,map01120
6601,YBL093C,KEGG_pathway,map00230
6602,YBL093C,KEGG_pathway,map00920
6603,YBL093C,KEGG_pathway,map01100
6604,YBL093C,KEGG_pathway,map01120
6606,YBL092W,KEGG_pathway,map03010
6608,YBL091C,KEGG_pathway,map03010
6610,YBL090W,KEGG_pathway,map03010
6612,YBL089W,KEGG_pathway,map03010
6626,YBL088C,KEGG_pathway,map01524
6627,YBL088C,KEGG_pathway,map03440
6628,YBL088C,KEGG_pathway,map04064
6629,YBL088C,KEGG_pathway,map04068
6630,YBL088C,KEGG_pathway,map04110
6631,YBL088C,KEGG_pathway,map04115
6632,YBL088C,KEGG_pathway,map04210
6633,YBL088C,KEGG_pathway,map04214
6634,YBL088C,KEGG_pathway,map04218
6635,YBL088C,KEGG_pathway,map05165
6636,YBL088C,KEGG_pathway,map05166
6637,YBL088C,KEGG_pathway,map05202
6638,YBL088C,KEGG_pathway,map05206
6640,YBL087C,KEGG_pathway,map03010
6642,YBL086C,KEGG_pathway,map03010
6644,YBL085W,KEGG_pathway,map03010
