,S_mean_std,A_mean_std,count
0,0.012951021195904676,6.624783693165969,99
1,0.012951021195904678,3.0350355621368332,92
2,0.012951021195904681,3.07007851329003,99
3,0.01295102119590467,6.204963315492851,99
4,0.012951021195904678,2.9821365489325515,97
5,0.012951021195904673,4.4439189009157145,99
6,0.012951021195904681,15.5210808885726,99
7,0.01295102119590467,6.851494115788407,99
8,0.01295102119590467,3.810153877153379,92
9,0.012951021195904673,3.3644541022297605,99
10,0.012951021195904688,2.248557281303003,83
11,0.012951021195904666,3.175819561277655,99
12,0.012951021195904674,6.3867431832185355,99
13,0.012951021195904681,5.559760514680885,99
14,0.01295102119590469,3.2733639693684684,99
15,0.012951021195904678,9.350859735333568,90
16,0.012951021195904673,8.16024816246994,99
17,0.012951021195904676,2.46638414556398,70
18,0.012951021195904681,5.609623614675955,99
19,0.012951021195904685,9.761875491523925,99
20,0.012951021195904683,6.579436066823601,99
21,0.01295102119590467,4.063537744401642,96
22,0.012951021195904683,19.418939722767096,99
23,0.01295102119590467,5.267413156248933,99
24,0.012951021195904671,10.664108796966595,98
25,0.012951021195904674,4.594112168008968,81
26,0.012951021195904666,12.324951383617897,99
27,0.012951021195904683,2.382424403973487,98
28,0.012951021195904674,3.6609624715940092,99
29,0.012951021195904676,3.83606492217767,96
30,0.012951021195904685,2.8623281314763234,99
31,0.01295102119590469,18.17617801353826,99
32,0.012951021195904688,2.297926535354496,99
33,0.012951021195904676,5.56835084568197,99
34,0.012951021195904683,3.045315172197949,99
35,0.012951021195904666,9.302791341696802,97
36,0.012951021195904687,2.2173397923951397,93
37,0.012951021195904692,5.445726975510467,99
38,0.012951021195904676,8.873816659907568,99
39,0.012951021195904666,4.699530886961277,99
40,0.012951021195904668,6.793041892350236,99
41,0.012951021195904688,2.637927505695087,99
42,0.012951021195904688,2.3846612019993803,92
43,0.012951021195904688,3.1812000035296872,99
44,0.012951021195904664,8.916619364324248,98
45,0.012951021195904668,4.814102944583419,99
46,0.012951021195904671,2.3396003051504493,98
47,0.012951021195904683,10.489946004699833,99
48,0.012951021195904676,9.51181061480435,99
49,0.012951021195904678,4.408139342535912,95
50,0.012951021195904685,8.663950357138367,99
51,0.012951021195904683,7.778373220803332,99
52,0.012951021195904683,2.6612362641388594,80
53,0.01295102119590468,2.5451822204322294,99
54,0.01295102119590467,3.6980874132161943,96
55,0.012951021195904668,5.986398158697844,98
56,0.012951021195904697,6.867447824545021,99
57,0.01295102119590467,8.60457376472348,98
58,0.012951021195904668,8.999754999923674,99
59,0.01295102119590468,2.4359896094116427,68
60,0.012951021195904673,6.659989967047403,99
61,0.012951021195904678,4.501971222236249,95
62,0.012951021195904676,2.2837217663899345,99
63,0.012951021195904666,21.39454111238071,99
64,0.012951021195904678,8.924550855628027,98
65,0.01295102119590467,6.3542588391364285,99
66,0.012951021195904678,9.27356315225664,84
67,0.012951021195904676,2.650263472165645,99
68,0.012951021195904674,6.067079603920676,99
69,0.012951021195904678,2.206979832376396,98
70,0.012951021195904678,7.40417635342953,95
71,0.01295102119590468,10.81564040753329,99
72,0.012951021195904654,5.980114236231533,77
73,0.01295102119590467,5.163066080233986,92
74,0.012951021195904664,4.090331554908263,98
75,0.01295102119590467,4.675293130895631,74
76,0.012951021195904668,3.189152601557788,75
77,0.012951021195904676,4.491789293679464,72
78,0.012951021195904668,5.716537624273517,57
