,imodulon_size,explained_variance
0,55.0,0.051875154780135935
1,1.0,0.0015935896987304687
2,10.0,0.005241186051458291
3,1.0,0.0012456717435862519
4,1.0,0.0013232946512430344
5,9.0,0.0036073279105167666
6,6.0,0.0068009749086062055
7,7.0,0.0030722560385089137
8,7.0,0.00851245508382048
9,17.0,0.03465936663352431
10,1.0,0.001754341406321136
11,1.0,0.0010953908256599032
12,17.0,0.003458950870772304
13,83.0,0.012086754884663375
14,1.0,0.0030665185370457593
15,1.0,0.00484687066786238
16,28.0,0.021598341509511343
17,5.0,0.007073506021973208
18,3.0,0.007874261315554243
19,77.0,0.11859986735829253
20,1.0,0.004136467336131933
21,4.0,0.004828032968687723
22,1.0,0.0017310135736975374
23,10.0,0.01826380952515383
24,1.0,0.0024091968155801613
25,2.0,0.0031708689544920343
26,2.0,0.006505278346530474
27,5.0,0.013109179838075469
28,10.0,0.004179416158581972
29,1.0,0.006566425893659189
30,4.0,0.0032027967793775147
31,22.0,0.011986639988852299
32,66.0,0.0020608652218205847
33,1.0,0.00169666745792596
34,13.0,0.027493732594268794
35,3.0,0.010657193515127839
36,2.0,0.0031682056647222012
37,12.0,0.012410708521895741
38,1.0,0.0024264096684514236
39,1.0,0.008821647137349009
40,1.0,0.0019075960048405838
41,20.0,0.01374590168054568
42,1.0,0.004667076836862405
43,14.0,0.007768963190957323
44,2.0,0.0026941667943954917
45,19.0,0.028464936232088123
46,1.0,0.0006909611844440056
47,15.0,0.01842018518540034
48,4.0,0.0012669545808947635
49,44.0,0.007359364772758004
50,51.0,0.0007954913891270454
51,3.0,0.00047506201506597456
52,2.0,0.009570930182735249
53,23.0,0.01139259360061684
54,34.0,0.04897932442176367
55,37.0,0.008482827734345055
56,1.0,0.0021608770234406993
57,3.0,0.0037233450248066458
