task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
47	0d/afb83c	19907	bowtie_align (7)	CACHED	0	2024-11-08 17:19:26.817	8m 23s	8m 23s	390.9%	67 MB	504.1 MB	3.6 GB	23.2 GB
48	b9/b63cf4	29689	sam2bam (7)	CACHED	0	2024-11-08 19:22:34.555	8m 10s	8m 10s	331.0%	3.3 GB	4 GB	30.5 GB	9.6 GB
46	e4/050108	18581	bowtie_align (8)	CACHED	0	2024-11-08 17:27:49.999	7m 40s	7m 39s	390.9%	63 MB	504.1 MB	3.3 GB	21.2 GB
51	14/fa184e	31954	sam2bam (8)	CACHED	0	2024-11-08 19:30:48.032	7m 35s	7m 34s	325.9%	3.3 GB	4 GB	28 GB	8.9 GB
52	6f/1af7bf	32361	trim_galore (12)	CACHED	0	2024-11-08 14:35:09.537	17m 6s	17m 5s	469.4%	414.1 MB	2.9 GB	121.9 GB	117.9 GB
55	10/829fed	6640	trim_galore (14)	CACHED	0	2024-11-08 15:11:31.711	19m 19s	19m 19s	469.1%	476 MB	2.9 GB	136.4 GB	131.9 GB
56	b9/7627ed	21201	bowtie_align (9)	CACHED	0	2024-11-08 17:35:29.720	7m 26s	7m 26s	390.9%	65 MB	504.1 MB	3.2 GB	20.6 GB
59	47/30e002	31086	sam2bam (9)	CACHED	0	2024-11-08 19:38:26.284	7m 17s	7m 17s	327.5%	3.3 GB	4 GB	27.3 GB	8.7 GB
57	0d/d75f70	28808	bowtie_align (11)	CACHED	0	2024-11-08 17:51:20.102	8m 17s	8m 17s	390.9%	65 MB	504.1 MB	3.6 GB	23 GB
60	3a/3bd711	1447	sam2bam (11)	CACHED	0	2024-11-08 19:53:55.825	8m 3s	8m 3s	327.9%	3.3 GB	4 GB	30.3 GB	9.5 GB
62	eb/5cd908	767	trim_galore (15)	CACHED	0	2024-11-08 15:30:51.076	16m 49s	16m 49s	466.3%	439.7 MB	2.9 GB	119.3 GB	115.4 GB
64	da/1d8512	6094	trim_galore (16)	CACHED	0	2024-11-08 15:47:40.603	1m 46s	1m 46s	318.3%	447.3 MB	2.9 GB	17.6 GB	17.3 GB
67	b2/8ea435	25338	bowtie_align (13)	CACHED	0	2024-11-08 18:06:49.141	1m 3s	1m 3s	387.2%	53.1 MB	504.1 MB	241 MB	3 GB
66	8f/05c9fd	2385	bowtie_align (12)	CACHED	0	2024-11-08 17:59:37.275	7m 12s	7m 12s	390.8%	63 MB	504.1 MB	3.1 GB	20.2 GB
70	7c/c43e9c	7777	sam2bam (12)	CACHED	0	2024-11-08 20:02:02.873	7m 3s	7m 2s	326.7%	3.3 GB	4 GB	26.4 GB	8.1 GB
68	79/4ec9b8	9497	sam2bam (13)	CACHED	0	2024-11-08 20:09:09.328	56.1s	55.9s	261.8%	2.9 GB	3.8 GB	3.3 GB	556.2 MB
72	bb/5c6601	2477	trim_galore (17)	CACHED	0	2024-11-08 15:49:26.501	1m 43s	1m 43s	318.0%	451.1 MB	2.9 GB	18.2 GB	17.9 GB
74	88/3b231a	27872	trim_galore (18)	CACHED	0	2024-11-08 15:51:09.940	1m 36s	1m 36s	312.6%	482.3 MB	2.9 GB	15.9 GB	15.6 GB
76	7b/3b6837	1728	bowtie_align (14)	CACHED	0	2024-11-08 18:07:52.240	1m 6s	1m 6s	387.7%	53 MB	504.1 MB	240.4 MB	3.1 GB
78	91/1727d4	14891	sam2bam (14)	CACHED	0	2024-11-08 20:10:08.467	56.5s	56.2s	258.9%	3 GB	3.9 GB	3.4 GB	553.8 MB
77	42/7dd04e	12623	bowtie_align (15)	CACHED	0	2024-11-08 18:08:58.383	57.8s	57.5s	385.8%	54.9 MB	504.1 MB	213.9 MB	2.7 GB
81	95/3ed743	26589	sam2bam (15)	CACHED	0	2024-11-08 20:11:08.154	50.7s	50.4s	250.7%	2.6 GB	3.8 GB	2.9 GB	488.3 MB
84	b7/5990ea	25895	trim_galore (20)	CACHED	0	2024-11-08 15:54:29.191	1m 50s	1m 49s	309.8%	484.6 MB	2.9 GB	17.4 GB	17.1 GB
85	23/da41b2	32292	trim_galore (19)	CACHED	0	2024-11-08 15:52:46.330	1m 43s	1m 43s	301.9%	464.8 MB	2.9 GB	15.8 GB	15.5 GB
86	f8/acb8de	1799	bowtie_align (17)	CACHED	0	2024-11-08 18:10:53.154	1m 2s	1m 2s	387.6%	53 MB	504.1 MB	228.3 MB	3 GB
88	ed/74e285	10200	sam2bam (17)	CACHED	0	2024-11-08 20:12:54.761	54.3s	54.1s	259.1%	2.8 GB	3.8 GB	3.2 GB	528.1 MB
87	ab/60ebfe	23209	bowtie_align (16)	CACHED	0	2024-11-08 18:09:56.235	56.9s	56.6s	386.6%	59 MB	504.1 MB	208 MB	2.7 GB
91	6d/13436a	2881	sam2bam (16)	CACHED	0	2024-11-08 20:12:01.917	49.8s	49.5s	253.0%	2.6 GB	3.8 GB	2.9 GB	480.6 MB
94	99/bc1100	11412	trim_galore (21)	CACHED	0	2024-11-08 15:56:18.719	2m 3s	2m 2s	311.8%	501.8 MB	2.9 GB	20.3 GB	20 GB
92	85/81d95a	20849	trim_galore (22)	CACHED	0	2024-11-08 15:58:21.416	1m 33s	1m 33s	296.6%	474.6 MB	2.9 GB	13.8 GB	13.5 GB
97	40/ccdb3c	24290	bowtie_align (19)	CACHED	0	2024-11-08 18:13:07.010	49.3s	49s	385.5%	55 MB	504.1 MB	185.4 MB	2.3 GB
98	2f/a5f086	2435	sam2bam (19)	CACHED	0	2024-11-08 20:15:03.264	42.2s	41.9s	260.6%	2.2 GB	3.8 GB	2.6 GB	425.5 MB
96	6c/41b24c	12937	bowtie_align (18)	CACHED	0	2024-11-08 18:11:55.054	1m 12s	1m 12s	387.8%	57.1 MB	504.1 MB	259 MB	3.5 GB
101	f4/d7b81e	22100	sam2bam (18)	CACHED	0	2024-11-08 20:13:52.105	1m 8s	1m 8s	271.0%	3.3 GB	3.9 GB	4.2 GB	974.5 MB
102	34/17fcb0	10608	trim_galore (23)	CACHED	0	2024-11-08 15:59:54.562	1m 48s	1m 48s	322.2%	466.1 MB	2.9 GB	18.2 GB	17.9 GB
104	e8/b03e98	7446	trim_galore (24)	CACHED	0	2024-11-08 16:01:43.069	2m 14s	2m 14s	326.9%	490.9 MB	2.9 GB	24.7 GB	24.3 GB
