task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
164	27/b839dd	27363	bowtie_align (32)	CACHED	0	2024-11-08 18:26:43.638	1m 1s	1m 1s	387.9%	53 MB	504.1 MB	226 MB	3 GB
168	01/bab360	20172	sam2bam (32)	CACHED	0	2024-11-08 20:27:57.365	53.5s	53.2s	256.4%	2.9 GB	3.8 GB	3.3 GB	523.4 MB
170	29/d5f52b	9686	trim_galore (37)	CACHED	0	2024-11-08 16:22:25.924	1m 36s	1m 36s	310.0%	482.4 MB	2.9 GB	16.3 GB	16 GB
171	b7/dfc3b9	1295	trim_galore (38)	CACHED	0	2024-11-08 16:24:02.254	1m 26s	1m 26s	303.7%	476.7 MB	2.9 GB	14.3 GB	14 GB
172	55/b2f197	6222	bowtie_align (33)	CACHED	0	2024-11-08 18:27:44.766	58.4s	58.1s	387.8%	56.9 MB	504.1 MB	215.7 MB	2.8 GB
175	d6/807245	26592	sam2bam (33)	CACHED	0	2024-11-08 20:28:54.057	50.5s	50.3s	259.5%	2.7 GB	3.8 GB	3 GB	501.4 MB
173	40/3408b0	17415	bowtie_align (34)	CACHED	0	2024-11-08 18:28:43.165	51.3s	50.9s	386.8%	49 MB	504.1 MB	192 MB	2.4 GB
176	8d/789f9d	3802	sam2bam (34)	CACHED	0	2024-11-08 20:29:47.616	45.3s	45s	257.9%	2.3 GB	3.8 GB	2.6 GB	444.7 MB
178	c1/b3410b	23801	trim_galore (39)	CACHED	0	2024-11-08 16:25:28.565	1m 40s	1m 39s	313.3%	450.3 MB	2.9 GB	16.6 GB	16.3 GB
179	05/1d73b6	27786	bowtie_align (35)	CACHED	0	2024-11-08 18:29:34.430	59.7s	59.3s	387.3%	59 MB	504.1 MB	223.6 MB	2.8 GB
180	8b/3dccb0	15380	sam2bam (35)	CACHED	0	2024-11-08 20:30:35.926	52.1s	51.8s	260.1%	2.7 GB	3.8 GB	3.1 GB	515.7 MB
17	55/fabba3	7365	get_read_direction (1)	COMPLETED	0	2024-11-09 07:52:30.387	3.8s	3.5s	67.0%	28.9 MB	619 MB	93.5 MB	528 B
19	1e/fa1e0f	8629	get_read_direction (2)	COMPLETED	0	2024-11-09 07:52:34.208	3.5s	3.2s	72.6%	29.1 MB	619 MB	92.5 MB	528 B
12	de/43906b	9764	trim_galore (3)	FAILED	25	2024-11-09 07:52:37.759	1.5s	1.4s	-	-	-	-	-
30	b9/a19a6a	10676	get_read_direction (3)	COMPLETED	0	2024-11-09 07:52:39.260	3.6s	3.3s	72.8%	28.4 MB	619 MB	93.3 MB	528 B
21	ff/87c162	11916	trim_galore (5)	FAILED	25	2024-11-09 07:52:42.872	1.6s	1.5s	-	-	-	-	-
35	a3/2c4ea1	12806	get_read_direction (4)	COMPLETED	0	2024-11-09 07:52:44.470	3.7s	3.5s	68.5%	29 MB	619 MB	92.6 MB	528 B
38	6e/9af47a	15170	get_read_direction (5)	COMPLETED	0	2024-11-09 07:52:48.214	3.5s	3.2s	76.0%	29.1 MB	619 MB	93.8 MB	528 B
40	92/0c27aa	17303	get_read_direction (6)	COMPLETED	0	2024-11-09 07:52:51.741	3.9s	3.6s	67.8%	28.9 MB	619 MB	92.4 MB	528 B
49	42/1ebefb	19977	get_read_direction (7)	COMPLETED	0	2024-11-09 07:52:55.609	3.7s	3.4s	72.5%	29.1 MB	619 MB	93.6 MB	528 B
50	67/e27d73	22872	get_read_direction (8)	COMPLETED	0	2024-11-09 07:52:59.335	3.5s	3.2s	74.7%	29.1 MB	619 MB	90.8 MB	528 B
58	6c/5c8d64	24003	get_read_direction (9)	COMPLETED	0	2024-11-09 07:53:02.833	3.7s	3.4s	71.3%	28.9 MB	619 MB	93 MB	528 B
61	e8/31ccc2	25325	get_read_direction (10)	COMPLETED	0	2024-11-09 07:53:06.529	3.7s	3.4s	71.8%	30.6 MB	619 MB	93.1 MB	528 B
69	eb/543971	26589	get_read_direction (11)	COMPLETED	0	2024-11-09 07:53:10.253	3.5s	3.2s	71.8%	29.1 MB	619 MB	86.3 MB	528 B
