Sample	pe_sense	se_antisense	pe_antisense	failed	se_sense
SRX2036088		0.0101		0.9121	0.0778
SRX2036089		0.0122		0.9165	0.0713
SRX2036090		0.0082		0.926	0.0658
SRX2036091		0.0087		0.9217	0.0696
SRX2036300	0.0877		0.4587	0.4536	
SRX2036303	0.0902		0.4529	0.457	
SRX2036305	0.0793		0.4661	0.4546	
SRX2036307	0.0896		0.4862	0.4241	
SRX2037533		0.525		0.3995	0.0755
SRX2037535		0.5319		0.3991	0.0691
SRX2037536		0.5157		0.4348	0.0495
SRX2037537		0.5041		0.446	0.0499
SRX2037538		0.4866		0.4345	0.0789
SRX2037540		0.4772		0.4387	0.0842
SRX2037541		0.4643		0.4679	0.0678
SRX2037542		0.4668		0.4675	0.0657
SRX2037691	0.0564		0.4014	0.5423	
SRX2037693	0.0476		0.3193	0.633	
SRX2037695	0.0581		0.3677	0.5742	
SRX2037697	0.0613		0.3733	0.5654	
SRX2037699	0.0658		0.4177	0.5165	
SRX2037713	0.0712		0.3994	0.5294	
SRX2037715	0.0586		0.3995	0.5419	
SRX2037717	0.0535		0.3379	0.6086	
SRX2116174	0.0422		0.2864	0.6714	
SRX2116175	0.0415		0.2666	0.6919	
SRX2116176	0.0239		0.3557	0.6203	
SRX21659709	0.0154		0.4545	0.5301	
SRX21659710	0.0138		0.502	0.4842	
SRX21659711	0.016		0.4712	0.5128	
SRX22720559	0.0168		0.5836	0.3996	
SRX22720560	0.0182		0.573	0.4088	
SRX22720561	0.012		0.5657	0.4222	
SRX22720562	0.0163		0.5566	0.4271	
SRX22720563	0.0164		0.5715	0.412	
SRX22720564	0.0165		0.5821	0.4014	
SRX22720565	0.0152		0.559	0.4258	
SRX22720566	0.0153		0.5588	0.4259	
SRX22720567	0.0117		0.5766	0.4117	
SRX22720568	0.0124		0.5708	0.4168	
SRX22720569	0.0153		0.5786	0.4061	
SRX22720570	0.014		0.5808	0.4051	
SRX22720571	0.0177		0.5682	0.4141	
SRX22720572	0.0159		0.5404	0.4437	
SRX22720574	0.02		0.5577	0.4223	
SRX22720575	0.0204		0.5599	0.4197	
SRX22720576	0.0163		0.5777	0.406	
