Sample	Unassigned: Overlapping Length	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: No Features	Unassigned: Ambiguity
SRX14570272	564796.0	15915282.0	71019.0	1586512.0	1960478.0	10831.0
SRX14570273	568309.0	15993819.0	69102.0	1627320.0	1910829.0	11615.0
SRX14570274	685647.0	18091443.0	82159.0	1585896.0	2192860.0	12567.0
SRX14570275	670507.0	18601784.0	56797.0	1487746.0	2246101.0	12643.0
SRX14570276	598693.0	17124942.0	56726.0	1490452.0	1941896.0	11609.0
SRX14570277	826719.0	22431744.0	73104.0	1925648.0	2686800.0	15289.0
SRX14953908	1206827.0	24092674.0	3238586.0	50635782.0	1964661.0	15144.0
SRX14953909	2542948.0	48851756.0	1126049.0	8356810.0	4251309.0	35226.0
SRX14953910	1721380.0	35145872.0	2706232.0	23754532.0	2655272.0	23380.0
SRX14953911	2136571.0	44709576.0	1193918.0	10112890.0	3378149.0	31126.0
SRX14953912	526785.0	10369224.0	1642401.0	49440908.0	890850.0	6872.0
SRX14953913	2259157.0	46661107.0	1538792.0	13933374.0	6050841.0	29013.0
SRX14953914	351489.0	7488938.0	1670256.0	46606744.0	1099701.0	4502.0
SRX14953915	408042.0	8623423.0	1610161.0	45566792.0	1134521.0	5421.0
SRX14953916	1130815.0	23216920.0	2910506.0	35969866.0	2918940.0	14345.0
SRX14953917	2423333.0	46870374.0	1260656.0	11946946.0	4064335.0	30674.0
SRX14953918	2865279.0	56638519.0	144404.0	6941042.0	4616354.0	38028.0
SRX14953919	948886.0	18517968.0	2214898.0	49588752.0	1521822.0	12874.0
SRX14953920	519383.0	10462688.0	1784472.0	53599944.0	1193809.0	5928.0
SRX14953921	1224993.0	25040447.0	1768833.0	39766264.0	2584147.0	14358.0
SRX14953922	449974.0	9395645.0	1867285.0	61700706.0	1337798.0	5788.0
SRX14953923	989219.0	18946908.0	1832787.0	49242540.0	2656114.0	12690.0
SRX14953924	2031909.0	42116617.0	507578.0	5538202.0	4834664.0	26116.0
SRX14953925	317680.0	6074290.0	1066115.0	53288330.0	783198.0	3747.0
SRX14953926	1244443.0	23804789.0	1273223.0	24399752.0	3465457.0	14490.0
SRX14953927	633757.0	12534292.0	2838155.0	48976484.0	1812406.0	7034.0
SRX14953928	303934.0	7163477.0	2078981.0	62258212.0	1790287.0	5457.0
SRX14953929	366872.0	9435376.0	4034001.0	44728544.0	2693104.0	6655.0
