Sample	Unassigned: Overlapping Length	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: No Features	Unassigned: Ambiguity
SRX5329185	153186.0	3494126.0	1060920.0	39396438.0	899613.0	2583.0
SRX5329186	65215.0	1598452.0	622488.0	45258290.0	433633.0	1302.0
SRX5329187	1244443.0	23804789.0	1273223.0	24399880.0	3465461.0	14490.0
SRX5329188	1130814.0	23216903.0	2910500.0	35970112.0	2918941.0	14344.0
SRX5329189	366871.0	9435369.0	4033999.0	44728750.0	2693104.0	6655.0
SRX5329190	303934.0	7163475.0	2078981.0	62258306.0	1790287.0	5457.0
SRX5329191	449975.0	9395642.0	1867285.0	61700792.0	1337800.0	5788.0
SRX5329192	633755.0	12534295.0	2838153.0	48976566.0	1812401.0	7034.0
SRX5329193	1224994.0	25040439.0	1768831.0	39766352.0	2584146.0	14358.0
SRX5329194	948889.0	18517956.0	2214896.0	49588864.0	1521821.0	12874.0
SRX6700162	3869962.0	61689032.0	364932.0	3406460.0	4830683.0	41859.0
SRX6700163	3729355.0	56017804.0	135590.0	2728838.0	5222507.0	39602.0
SRX6700164	4372601.0	68234509.0	654175.0	3891454.0	5598440.0	44659.0
SRX6700165	4112318.0	68454596.0	155512.0	3338362.0	8471648.0	44050.0
SRX6700166	3628822.0	58241784.0	620232.0	4141428.0	6300348.0	34566.0
SRX6700168	3908146.0	65047579.0	336629.0	3202220.0	6898412.0	42162.0
SRX6700169	3343311.0	57042023.0	643296.0	3058396.0	6051298.0	34238.0
SRX6700170	3867803.0	66985338.0	269256.0	3267368.0	7531782.0	42363.0
SRX6700171	2944063.0	65559582.0	740651.0	4075516.0	15157853.0	52421.0
SRX6700172	2916707.0	59396997.0	346724.0	3544634.0	14076109.0	51217.0
SRX6700173	2432713.0	50428646.0	568473.0	3197144.0	13283319.0	42779.0
SRX6700174	4511310.0	67467324.0	711289.0	3548152.0	5519178.0	48787.0
SRX6700175	3908453.0	60475496.0	523015.0	3200616.0	4760846.0	42306.0
SRX6700176	4961043.0	67768966.0	232937.0	3352858.0	5979141.0	49493.0
SRX6700177	3127787.0	47915265.0	158857.0	2738146.0	4480875.0	29920.0
SRX6700178	2962729.0	48300995.0	174929.0	2970848.0	3946657.0	30918.0
SRX6700179	3352799.0	55247065.0	5610600.0	11669748.0	4601602.0	32322.0
SRX6700180	3089184.0	55319605.0	11445156.0	21157462.0	4941913.0	30742.0
SRX6700181	3318897.0	56536828.0	319532.0	2051134.0	5209182.0	32821.0
SRX6700182	3100329.0	57500553.0	8300555.0	13659434.0	5154032.0	29611.0
SRX6700183	1881718.0	44078266.0	673231.0	2304522.0	11229305.0	33744.0
SRX6700184	2648613.0	57836811.0	1909503.0	3626516.0	13932787.0	47612.0
SRX6700185	2320507.0	57253600.0	1382665.0	3056010.0	13103199.0	43233.0
SRX6922015	916181.0	14462756.0	8090.0	2427200.0	1078476.0	12445.0
SRX6922016	518679.0	9070476.0	4029.0	1492164.0	539216.0	7612.0
SRX6922017	1062874.0	17246743.0	4904.0	1872692.0	1243264.0	15433.0
SRX6922018	821333.0	13237039.0	5406.0	1130642.0	985727.0	11843.0
SRX6922019	1364206.0	22815635.0	6680.0	2355050.0	2420413.0	13510.0
SRX6922020	843834.0	13610696.0	4826.0	1604996.0	1645154.0	9008.0
SRX6922021	1044425.0	16925139.0	6900.0	1920292.0	2002825.0	11163.0
SRX6922023	862772.0	14511626.0	6288.0	1406078.0	947912.0	12794.0
SRX6922024	975218.0	15704698.0	7956.0	1302216.0	1129946.0	13670.0
SRX6922025	973691.0	15346355.0	7988.0	1346758.0	1137007.0	13625.0
SRX6922026	1174247.0	18919672.0	11428.0	2310378.0	1420389.0	18422.0
SRX6922027	1165557.0	19020019.0	10228.0	2290368.0	1429799.0	18723.0
SRX6922028	980950.0	15861451.0	6439.0	1886598.0	1156497.0	15203.0
SRX6922029	967223.0	15373944.0	9445.0	1342648.0	1138442.0	13492.0
SRX7101023	3532548.0	61165316.0	2462914.0	5323250.0	4096756.0	46218.0
SRX7101024	3512263.0	60582158.0	742286.0	1254858.0	4167365.0	46006.0
SRX7101025	3604570.0	62191080.0	903645.0	1232112.0	4243991.0	47370.0
SRX7101026	2912555.0	55597451.0	999268.0	1271018.0	2926006.0	27746.0
SRX7101027	3281156.0	63057772.0	910047.0	1340272.0	3127063.0	30354.0
SRX7101028	3315306.0	67442571.0	619807.0	1591478.0	3451443.0	32939.0
SRX7101029	3911594.0	69920818.0	385401.0	1962386.0	5424313.0	51390.0
SRX7101030	3511264.0	62318591.0	361453.0	1691310.0	4411463.0	43041.0
SRX7101031	3386899.0	59590676.0	390090.0	1985392.0	4488571.0	42268.0
SRX7101032	3620654.0	63612704.0	563744.0	2135118.0	6459302.0	35640.0
SRX7101033	3967613.0	63952976.0	321947.0	2410444.0	4912426.0	29022.0
SRX7101034	3924367.0	64122414.0	2341222.0	4765110.0	5044214.0	29757.0
SRX7101035	2855067.0	42154006.0	542014.0	10076612.0	12624770.0	34641.0
SRX7101036	2024321.0	30566091.0	562382.0	9838433.0	36134431.0	24028.0
SRX7101037	1655420.0	27206699.0	82917.0	11170552.0	31148555.0	22087.0
SRX7101038	2055534.0	32214415.0	173734.0	8029365.0	37311141.0	26313.0
SRX7101039	1854938.0	32020682.0	193755.0	9518792.0	37306203.0	19358.0
SRX7101040	1973500.0	33283512.0	205614.0	8498145.0	38998256.0	20712.0
SRX7101041	1509753.0	26510459.0	861887.0	9444515.0	31276009.0	16022.0
SRX7551986	647341.0	11018536.0	7681.0	979324.0	840918.0	11292.0
SRX7551987	636045.0	10529610.0	12685.0	938602.0	707198.0	10882.0
SRX7551988	421604.0	6981791.0	62357.0	507886.0	541930.0	6434.0
SRX7551989	582274.0	9484033.0	38311.0	709464.0	760735.0	9161.0
SRX7551990	576213.0	9925061.0	30751.0	725964.0	788591.0	9370.0
SRX7551991	539973.0	8739588.0	12043.0	580922.0	656998.0	8208.0
SRX8694706	244426.0	6596554.0	34520.0	306500.0	474404.0	3486.0
SRX8694707	275928.0	7577579.0	31854.0	386484.0	505332.0	4349.0
SRX8694708	293615.0	7512899.0	55385.0	353384.0	535250.0	4321.0
SRX8694709	275221.0	7374490.0	66200.0	271676.0	494156.0	3943.0
SRX8694710	424252.0	9287092.0	70425.0	363540.0	479714.0	5625.0
SRX8694711	326602.0	7256928.0	112559.0	244094.0	390899.0	4526.0
SRX8694712	383245.0	8613101.0	37503.0	484722.0	387757.0	6316.0
SRX8694713	273591.0	6784710.0	42754.0	319630.0	310937.0	5384.0
SRX8694714	319308.0	7318381.0	37566.0	319450.0	362716.0	5445.0
SRX8694715	369360.0	7610183.0	59966.0	349736.0	469629.0	5510.0
SRX8694716	338665.0	7009862.0	167626.0	322714.0	414571.0	4830.0
SRX8694717	412415.0	8475477.0	95150.0	411714.0	511707.0	6083.0
SRX8694718	284429.0	7472103.0	40973.0	358632.0	352964.0	5353.0
SRX8694719	328018.0	6817792.0	387303.0	357726.0	395747.0	4942.0
SRX8694720	280615.0	6556875.0	72754.0	288162.0	293849.0	4665.0
SRX8694721	356410.0	7191146.0	51568.0	325304.0	420480.0	4260.0
SRX8694722	371905.0	8166369.0	48464.0	399578.0	405565.0	4729.0
SRX8694723	277189.0	7685466.0	21339.0	284540.0	334338.0	5586.0
SRX8694724	291827.0	7384755.0	43588.0	355230.0	354212.0	4978.0
SRX8694725	290079.0	7700424.0	103887.0	338336.0	333532.0	5130.0
SRX8694726	306930.0	9347514.0	51394.0	377208.0	351036.0	6254.0
SRX8694727	312498.0	9662157.0	48296.0	370138.0	406272.0	6787.0
SRX8694728	317417.0	9400302.0	53952.0	331988.0	372897.0	6616.0
SRX8694729	743734.0	22575878.0	83497.0	696222.0	972141.0	15046.0
