	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_DZM0422_Aerobic_A	1502.0	1629.0	5153.0	8471.0	15698.0	24757.0	71102.0	58692.0	93755.0	139993.0	309935.0	448840.0	584208.0	518061.0	705421.0	815826.0	969745.0	1024379.0	1072256.0	1130061.0	1133712.0	1154783.0	1146398.0	1132403.0	1111242.0	7951931.0	14579850.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_DZM0422_Aerobic_B	1203.0	1344.0	3157.0	5249.0	9415.0	15144.0	48212.0	40246.0	68866.0	103276.0	235911.0	391102.0	552079.0	473255.0	643721.0	739291.0	886570.0	938599.0	990995.0	1043620.0	1061238.0	1075259.0	1076457.0	1071149.0	1056132.0	7730962.0	14089317.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_DZM0422_Aerobic_C	1477.0	1599.0	4918.0	7988.0	15094.0	23111.0	72514.0	51994.0	83755.0	119228.0	262509.0	387106.0	509722.0	428063.0	587529.0	683085.0	830653.0	889946.0	948710.0	1015361.0	1039456.0	1066933.0	1070879.0	1065982.0	1054153.0	8017206.0	14726048.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_DZM0422_Anaerobic_A	1659.0	1740.0	5010.0	8259.0	14341.0	21660.0	63913.0	50987.0	82102.0	120695.0	267063.0	401038.0	542013.0	465996.0	639004.0	734783.0	894293.0	951571.0	1006520.0	1072786.0	1089163.0	1122521.0	1132399.0	1128552.0	1131427.0	8744956.0	15558069.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_DZM0422_Anaerobic_B	1309.0	1358.0	4023.0	7150.0	12899.0	19760.0	59596.0	48146.0	78065.0	115145.0	257281.0	383920.0	518217.0	452610.0	613563.0	704341.0	842175.0	894318.0	939361.0	986253.0	996240.0	1012298.0	1011266.0	997613.0	983298.0	6998052.0	12565721.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_DZM0422_Anaerobic_C	1142.0	1385.0	4067.0	7261.0	12465.0	19138.0	57998.0	45269.0	72989.0	100849.0	226843.0	357037.0	504861.0	412097.0	565690.0	625083.0	759754.0	793744.0	835598.0	882202.0	892031.0	913562.0	917931.0	909720.0	901888.0	6783202.0	12496798.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_WT_Aerobic_A	721.0	1236.0	3222.0	5614.0	10820.0	17836.0	54149.0	46595.0	76968.0	112421.0	250133.0	390912.0	536969.0	468833.0	641975.0	723812.0	868644.0	909859.0	946302.0	990853.0	996779.0	1013062.0	1002499.0	993628.0	967183.0	7621300.0	13054801.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_WT_Aerobic_B	644.0	1100.0	3256.0	5764.0	10987.0	17125.0	52854.0	44697.0	73040.0	103544.0	230071.0	361803.0	500492.0	415442.0	563606.0	626884.0	752703.0	774066.0	805061.0	846022.0	853162.0	865390.0	860665.0	855612.0	834860.0	6775613.0	11775660.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_WT_Aerobic_C	790.0	1284.0	3895.0	6602.0	11906.0	18297.0	58470.0	45398.0	75502.0	109604.0	250583.0	383378.0	522147.0	431691.0	588661.0	664817.0	805339.0	854493.0	908206.0	967229.0	978579.0	995558.0	997730.0	997259.0	969974.0	7620329.0	13122836.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_WT_Anaerobic_A	935.0	1797.0	6447.0	10771.0	18562.0	27889.0	73240.0	64827.0	98148.0	143173.0	299235.0	433768.0	581937.0	542811.0	720717.0	810970.0	941676.0	975702.0	990504.0	1024679.0	1013557.0	1017269.0	1000879.0	978953.0	946032.0	6570537.0	10930608.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_WT_Anaerobic_B	784.0	1170.0	4124.0	6903.0	11513.0	16806.0	50453.0	43639.0	73247.0	107180.0	237285.0	384270.0	570099.0	487569.0	660890.0	739257.0	899706.0	968566.0	1019826.0	1084791.0	1093176.0	1104779.0	1099412.0	1098541.0	1057527.0	7491554.0	12490093.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_A_WT_Anaerobic_C	475.0	889.0	2822.0	4361.0	7473.0	11738.0	34476.0	29688.0	48311.0	72681.0	165685.0	263626.0	366581.0	333769.0	465282.0	560814.0	694044.0	775354.0	840848.0	910730.0	934430.0	954387.0	962309.0	955123.0	928151.0	6712811.0	11222210.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_B_Dfur_-O2_A	12.0	39.0	48.0	35.0	22.0	189.0	848.0	1361.0	1804.0	2452.0	3574.0	6609.0	10432.0	10572.0	15977.0	22103.0	30106.0	40698.0	49881.0	60812.0	70115.0	86253.0	93752.0	89498.0	94218.0	1235774.0	2194633.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_B_Dfur_-O2_B	9.0	39.0	63.0	45.0	46.0	208.0	1095.0	1756.0	2252.0	3055.0	4400.0	7516.0	12077.0	11918.0	17646.0	23908.0	32849.0	43417.0	52321.0	62891.0	72249.0	87245.0	94175.0	88064.0	92398.0	1280126.0	2287706.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_B_Dfur_-O2_C	11.0	27.0	40.0	32.0	43.0	243.0	1137.0	1602.0	2134.0	2967.0	4319.0	7577.0	12155.0	11532.0	16776.0	22817.0	30410.0	39808.0	47086.0	55155.0	62854.0	75828.0	82804.0	76416.0	79272.0	1091228.0	1991565.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Kiley_B_DrsuR_-O2_A	28.0	22.0	27.0	25.0	39.0	162.0	724.0	1183.0	1622.0	2334.0	3768.0	6385.0	10249.0	11090.0	16831.0	23637.0	32492.0	42545.0	52498.0	63769.0	74743.0	86796.0	90347.0	90935.0	97335.0	1017841.0	1984495.0
