Sample	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed
SRX5252043	51740805	9722851	4.4	9722851	5.983030986680881	923254111	3843610	982007951
SRX5252044	8684102	9764983	4.4	9764983	2.0874199977695	965675826	3643912	986263283
SRX5252045	8143973	12777515	4.4	12777515	1.407006877718282	1272371183	4469549	1290529015
SRX5252046	6842135	8329302	4.4	8329302	1.5863467774536948	827914209	2931403	841259502
SRX5252047	35418733	7183329	4.4	7183329	5.558277594366535	685190023	2785400	725516229
SRX5252048	8627075	10188598	4.4	10188598	2.134578513769767	1007082552	3741079	1029048398
SRX5252049	8400728	12100915	4.4	12100915	1.5064128016209297	1203781152	4243330	1222192415
SRX5252050	7193467	9665305	4.4	9665305	1.4030628824511286	962499164	3338243	976195805
SRX5252051	35334313	8288440	4.4	8288440	4.967474919500193	795548096	3247222	837132440
SRX5252052	7703187	11145865	4.4	11145865	1.4522546839985364	1109383864	3954071	1125732365
SRX5252053	8183224	15401510	4.4	15401510	1.2675696174345152	1535834799	5422855	1555552510
SRX5252054	7613404	11250696	4.4	11250696	1.5540410623801795	1118661412	3997243	1136320296
SRX5252055	7706230	13551555	4.4	13551555	1.395842954868089	1349602054	4869858	1368707055
SRX5252056	8315678	15779162	4.4	15779162	1.2272273275273546	1574137097	5509354	1593695362
SRX5252057	6974906	14080833	4.4	14080833	1.4986690006757468	1400850600	5208688	1422164133
SRX5252058	7429838	15804604	4.4	15804604	1.3110183426661153	1575337677	5633900	1596265004
SRX5252059	7492071	15471581	4.4	15471581	1.3621339245507393	1541344572	5389244	1562629681
SRX5252060	7647273	10959515	4.4	10959515	1.510034842321991	1090196273	3899226	1106911015
SRX5252061	6656254	13313508	4.4	13313508	1.2920570507178213	1327290478	4734040	1344664308
SRX5329169	3499969	28716903	4.4	28716903	0.6314136660210191	2853558055	9609319	2871690300
SRX5329170	12336150	30836014	4.4	30836014	0.8902543305370143	3056149505	9282577	3083601400
SRX5329171	5230213	33390854	4.4	33390854	0.7291686220424312	3314737837	10980595	3339085400
SRX5329172	5448613	35368087	4.4	35368087	0.7827684884398752	3509123676	11551743	3536808700
SRX5329173	27381049	30923166	4.4	30923166	1.3307919053307802	3051164301	7888710	3092316600
SRX5329174	66258936	36900020	4.4	36900020	4.32417892998432	3530439711	12073240	3690002000
SRX5329175	4517730	33120928	4.4	33120928	0.6727380343932392	3289811092	11019476	3312092800
SRX5329176	4840479	33943858	4.4	33943858	0.7283152374724169	3369663971	11601748	3394385800
SRX5329177	19254832	32706613	4.4	32706613	1.1934406353846545	3231627899	10006056	3270661300
SRX5329178	16463154	28689523	4.4	28689523	1.002389827115634	2840194214	7365911	2868952300
SRX5329179	4120876	31484834	4.4	31484834	0.6583170805347107	3127756396	10599016	3148483400
SRX5329180	20371155	36930468	4.4	36930468	0.9955232627975362	3656281660	10159015	3693046800
SRX5329181	5316228	31802803	4.4	31802803	0.7761874637276469	3155595363	10428067	3180280300
SRX5329182	4834643	27609958	4.4	27609958	0.7301169382438032	2740837302	8876127	2760995800
SRX5329183	19845786	38199489	4.4	38199489	1.0858783477443898	3778468902	12097202	3819948900
SRX5329184	22297468	40683603	4.4	40683603	1.0440762584375822	4025883516	11086903	4068360300
SRX5329185	3555929	22561485	4.4	22561485	0.8292449278050624	2237439503	7779061	2256148500
SRX5329186	3472403	24039789	4.4	24039789	0.6860092241242217	2387487383	8174791	2403978900
SRX5329187	21716236	27226711	4.4	27226711	1.3024675657665739	2687209192	8174988	2722671100
SRX5329188	16969380	33164008	4.4	33164008	0.9822234393382127	3283826334	9314085	3316400800
SRX5329189	19845655	31343712	4.4	31343712	2.608708949342056	3052604578	10948835	3134371200
SRX5329190	22291026	36903184	4.4	36903184	1.0475048982223323	3651662134	9455623	3690318400
SRX5329191	5359905	37478678	4.4	37478678	0.7492401146059634	3719787271	12789133	3747867800
SRX5329192	20724289	34294248	4.4	34294248	3.029113366183157	3325543635	12900032	3429424800
SRX5329193	21994945	35305646	4.4	35305646	1.0707238439993423	3492762003	9706840	3530564600
SRX5329194	19193417	36487288	4.4	36487288	0.9612736907166134	3613654530	9646124	3648728800
SRX6700162	45342321	37358855	4.4	37358855	4.356176873159794	4502161087	17310679	4707215730
SRX6700163	200243203	34246837	4.4	34246837	6.943490822603512	4015482788	12799396	4315101462
SRX6700164	215759316	41675613	4.4	41675613	7.4378340553933455	4860557108	17960504	5251127238
SRX6700165	58574107	42557864	4.4	42557864	3.6591564683164863	5166076251	18884442	5362290864
SRX6700166	61885922	36763815	4.4	36763815	5.279267710072293	4387692303	17588898	4632240690
SRX6700168	179102520	39959781	4.4	39959781	6.23216974325355	4721146872	16877977	5034932406
SRX6700169	83701166	35372372	4.4	35372372	4.570477001045129	4253216420	16379644	4456918872
SRX6700170	195322550	41221985	4.4	41221985	6.801618964264698	4840696054	18075992	5193970110
SRX6700171	58711765	44531620	4.4	44531620	4.278876839879561	5370897020	19973729	5610984120
SRX6700172	63116606	40413883	4.4	40413883	4.093445192568234	4883704919	17905714	5092149258
SRX6700173	175346849	35211323	4.4	35211323	6.279590417773752	4158024713	14261727	4436626698
SRX6700174	228514603	41194230	4.4	41194230	6.660009277227756	4844786998	15908131	5190472980
SRX6700175	57208165	36758439	4.4	36758439	4.210824440432123	4436536314	16615783	4631563314
SRX6700176	53392983	41437418	4.4	41437418	4.788528138106773	4971100123	20125844	5221114668
SRX6700177	139545714	29425882	4.4	29425882	6.263906671393182	3475416699	12022951	3707661132
SRX6700178	161889422	29428781	4.4	29428781	6.740898732423968	3458072101	11556013	3708026406
SRX6700179	55324692	40557986	4.4	40557986	3.620302961429022	4925297668	17315485	5110306236
SRX6700180	250393802	48302062	4.4	48302062	6.740763017003356	5675812943	19937754	6086059812
SRX6700181	45347468	33933614	4.4	33933614	3.9856015420495527	4105225575	15138467	4275635364
SRX6700182	61517044	44142686	4.4	44142686	4.663894727117205	5302573617	20413515	5561978436
SRX6700183	131467871	30265252	4.4	30265252	6.5028077177653865	3565442268	13273390	3813421752
SRX6700184	209427136	40303368	4.4	40303368	6.625248878723824	4741779365	16846385	5078224368
SRX6700185	54156098	38994162	4.4	38994162	4.435032062752335	4695359560	17483769	4913264412
SRX6922015	3649769	9479933	4.4	9479933	1.365377301013977	1402574422	3330856	1421989950
SRX6922016	2792522	5830798	4.4	5830798	1.3709467097528218	862629130	2016147	874619700
SRX6922017	22926289	10739613	4.4	10739613	2.0988685532709606	1577130396	3384872	1610941950
SRX6922018	17562226	8107854	4.4	8107854	2.200035422443473	1189421751	2601805	1216178100
SRX6922019	3280997	14503864	4.4	14503864	1.0250334669437053	2153279181	4999616	2175579600
SRX6922020	10248303	8870399	4.4	8870399	1.6439194373706678	1308686518	3067167	1330559850
SRX6922021	2717720	10970213	4.4	10970213	1.0407267388518346	1628406459	3768739	1645531950
SRX6922023	21049610	8890888	4.4	8890888	2.3286498866404948	1302577552	2836861	1333633200
SRX6922024	19015385	9580513	4.4	9580513	2.218980271028632	1405188496	3136468	1437076950
SRX6922025	3152386	9433735	4.4	9433735	1.2123693673113918	1397904493	3349174	1415060250
SRX6922026	12968060	11954856	4.4	11954856	1.4889105593018714	1766528833	3430379	1793228400
SRX6922027	50759227	11997303	4.4	11997303	3.571513364295292	1735322658	3111032	1799595450
SRX6922028	41753756	9979435	4.4	9979435	3.5871492390768283	1443218666	2595047	1496915250
SRX6922029	3051624	9439806	4.4	9439806	1.0164998447355098	1401577558	3279208	1415970900
SRX7101023	63628141	38601924	4.4	38601924	4.707782839964801	4634863285	17820560	4863842424
SRX7101024	110722357	35458017	4.4	35458017	5.938443152474326	4202397715	16880773	4467710142
SRX7101025	381811929	36397642	4.4	36397642	10.339701837635962	4111913527	13647270	4586102892
SRX7101026	196487829	32142905	4.4	32142905	7.168519524401795	3759680557	12554856	4050006030
SRX7101027	107112676	36165886	4.4	36165886	4.798419243298321	4338242391	15815209	4556901636
SRX7101028	91323508	38587949	4.4	38587949	4.996346653232848	4619155124	17157201	4862081574
SRX7101029	233626021	41120555	4.4	41120555	7.17635083877344	4809369563	16735989	5181189930
SRX7101030	59741976	36471868	4.4	36471868	3.823583647956778	4419744288	15340471	4595455368
SRX7101031	202847121	35245167	4.4	35245167	6.865902813564233	4135983779	13709073	4440891042
SRX7101032	208679646	38476340	4.4	38476340	6.632430949876424	4526477338	15375151	4848018840
SRX7101033	64639578	38077568	4.4	38077568	4.809904338528383	4567005249	17364126	4797773568
SRX7101034	69900943	40397480	4.4	40397480	5.137644134992485	4828572156	18865750	5090082480
SRX7101035	185592443	34433857	4.4	34433857	6.901708088207468	4039223921	15525438	4338665982
SRX7101036	451341599	79431504	4.4	79431504	7.255560332177617	8729229598	32180367	9412132554
SRX7101037	437198183	71594379	4.4	71594379	7.2418603328399636	7653456043	27856035	8250980529
SRX7101038	457821280	80131547	4.4	80131547	6.917494425832683	8900141665	31065902	9561562197
SRX7101039	450866701	81185554	4.4	81185554	7.24512133761931	8878296917	32999361	9571784304
SRX7101040	470193781	83253400	4.4	83253400	7.517294076751792	9165933193	35034406	9910969950
SRX7101041	241423447	69879896	4.4	69879896	5.464782984916902	7828027826	28197443	8280541446
SRX7551986	4458627	6757618	4.4	6757618	1.2589743900883417	1000881198	2217195	1013642700
SRX7551987	833636	6423648	4.4	6423648	0.913650000747239	954743751	2218441	963547200
SRX7551988	401421	4264158	4.4	4264158	1.0722495117050854	632765338	1505424	639623700
SRX7551989	4018576	5796894	4.4	5796894	1.4000801118668031	857359926	1914095	869534100
SRX7551990	576719	6033161	4.4	6033161	1.2106825371752332	894017786	2153642	904974150
SRX7551991	3950128	5273755	4.4	5273755	1.4480914136764664	779607931	1739375	791063250
SRX8694706	433986	3830848	4.4	3830848	0.6923633270405577	570648692	1216212	574627200
SRX8694707	238333	4391994	4.4	4391994	0.5909693865702002	654905799	1526039	658799100
SRX8694708	208387	4378565	4.4	4378565	0.6280692418634872	652659687	1537155	656784750
SRX8694709	362379	4243471	4.4	4243471	0.6533767600469835	632361772	1335971	636520650
SRX8694710	236403	5316375	4.4	5316375	0.6634943296262334	792165173	1870491	797456250
SRX8694711	386043	4168553	4.4	4168553	0.6400177711546429	621281028	1301772	625282950
SRX8694712	760620	4957862	4.4	4957862	0.664688932447091	738736146	1537320	743679300
SRX8694713	200199	3869558	4.4	3869558	0.7005194563995853	576367649	1372377	580433700
SRX8694714	202921	4182219	4.4	4182219	0.6529831810975625	623236472	1494618	627332850
SRX8694715	478194	4433007	4.4	4433007	0.6857130310569478	660391394	1400440	664951050
SRX8694716	590939	4130502	4.4	4130502	0.7489998390833205	614934682	1309778	619575300
SRX8694717	237398	4957663	4.4	4957663	0.7358346059423563	738177420	1779673	743649450
SRX8694718	199514	4258353	4.4	4258353	0.632581501189153	634712317	1513293	638752950
SRX8694719	555525	4146953	4.4	4146953	0.7186878333722776	617572403	1323404	622042950
SRX8694720	173754	3749418	4.4	3749418	0.7270826210005571	558323495	1335452	562412700
SRX8694721	527323	4175584	4.4	4175584	0.7270832854358417	621783604	1315832	626337600
SRX8694722	587288	4699736	4.4	4699736	0.722554628600415	699866676	1469479	704960400
SRX8694723	193352	4305060	4.4	4305060	0.5590283681683105	642149024	1506996	645759000
SRX8694724	198126	4218356	4.4	4218356	0.6492211657811716	628645431	1506324	632753400
SRX8694725	518759	4386738	4.4	4386738	0.7005952942710506	653400708	1378499	658010700
SRX8694726	545009	5221117	4.4	5221117	0.5231985160774345	779070029	1589469	783167550
SRX8694727	231689	5404286	4.4	5404286	0.6292816479364711	805541673	1922999	810642900
SRX8694728	218515	5242710	4.4	5242710	0.6377555373715756	781391149	1869617	786406500
SRX8694729	1000428	12544733	4.4	12544733	0.6116680734987876	1870200131	3884025	1881709950
