Sample	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed
SRX14570266	1382326	14187455	4.4	14187455	0.457197573490101	2118388545	4605407	2128118250
SRX14570267	1153709	13669394	4.4	13669394	0.46159671257799234	2040944479	4123628	2050409100
SRX14570268	1271335	11117167	4.4	11117167	0.4730898318489473	1659685922	3371203	1667575050
SRX14570269	1082420	8346938	4.4	8346938	0.5684192215157223	1244923860	2791489	1252040700
SRX14570270	1219026	10824161	4.4	10824161	0.46778363083599117	1616029102	3295295	1623624150
SRX14570271	1221622	9455497	4.4	9455497	0.542946464545086	1410623807	3172136	1418324550
SRX14570272	1245108	10055568	4.4	10055568	0.5720035572994651	1499707469	3341604	1508335200
SRX14570273	1149722	10091692	4.4	10091692	0.47924352031354106	1506499233	3050961	1513753800
SRX14570274	1162001	11326591	4.4	11326591	0.495672234184731	1690567235	3467821	1698988650
SRX14570275	1380221	11539321	4.4	11539321	0.5583325050061437	1721233983	3849544	1730898150
SRX14570276	1640256	10613454	4.4	10613454	0.5516772705033944	1583235298	3528986	1592018100
SRX14570277	1999478	13980920	4.4	13980920	0.5273803154584963	2086078107	4280120	2097138000
SRX14953908	5481706	40683603	4.4	40683603	0.727595144412357	4038759108	13791589	4068360300
SRX14953909	19259442	32706613	4.4	32706613	1.1935803013292756	3231623331	10006040	3270661300
SRX14953910	4517910	33120928	4.4	33120928	0.6727434388311826	3289810913	11019475	3312092800
SRX14953911	12344238	30836014	4.4	30836014	0.8905171401206394	3056141401	9282583	3083601400
SRX14953912	12315764	31484834	4.4	31484834	0.8063678214088725	3123095043	8078586	3148483400
SRX14953913	5448690	35368087	4.4	35368087	0.7827706938178478	3509123598	11551743	3536808700
SRX14953914	3536301	28689523	4.4	28689523	0.6692732744284385	2849751169	9732599	2868952300
SRX14953915	11407427	28716903	4.4	28716903	0.7974440001416586	2848790178	7311431	2871690300
SRX14953916	16978493	33164008	4.4	33164008	0.9824972904360655	3283817252	9314065	3316400800
SRX14953917	5230337	33390854	4.4	33390854	0.7291723655825035	3314737712	10980596	3339085400
SRX14953918	33034397	36900020	4.4	36900020	3.703361271890909	3553347895	13006240	3690002000
SRX14953919	19199312	36487288	4.4	36487288	0.9614355279022108	3613648625	9646128	3648728800
SRX14953920	4840853	33943858	4.4	33943858	0.7283248415663299	3369663645	11601746	3394385800
SRX14953921	22000771	35305646	4.4	35305646	1.070888321941482	3492756196	9706822	3530564600
SRX14953922	21284267	37478678	4.4	37478678	1.0526263759890357	3708416755	9603641	3747867800
SRX14953923	6013684	36930468	4.4	36930468	0.692598886101308	3667468799	12275822	3693046800
SRX14953924	4834760	27609958	4.4	27609958	0.7301211396265073	2740837186	8876127	2760995800
SRX14953925	27388235	30923166	4.4	30923166	1.3310241260548807	3051157120	7888698	3092316600
SRX14953926	21721595	27226711	4.4	27226711	1.3026637334197289	2687203851	8174986	2722671100
SRX14953927	20725209	34294248	4.4	34294248	3.029131824088984	3325543002	12900026	3429424800
SRX14953928	5427440	36903184	4.4	36903184	0.7054101618982254	3664286519	12495515	3690318400
SRX14953929	39904713	31343712	4.4	31343712	3.0090481625150205	3040056461	8926469	3134371200
SRX14953930	5316592	31802803	4.4	31802803	0.7761989721472036	3155594997	10428069	3180280300
SRX14953931	12286861	22561485	4.4	22561485	1.0932969616140071	2231482097	5840336	2256148500
SRX14953932	12589346	24039789	4.4	24039789	0.9294795807068024	2381634407	5845863	2403978900
SRX18804540	878606	10587948	4.4	10587948	0.5351327754915306	1579693263	3306346	1588192200
