Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures
SRX14570268	1409494	0	81.84839702968658	0	0	18196313	22231728	0	0	25585	12663	0	0	0	0	658686	1928987
SRX14570269	1112394	0	81.04605925085764	0	0	13527944	16691674	0	0	44355	8921	0	0	0	0	488954	1509106
SRX14570270	1351732	0	82.29874299114425	0	0	17814246	21645830	0	0	38912	11289	0	0	0	0	605340	1824311
SRX14570271	1232046	0	79.99829494112628	0	0	15126428	18908438	0	0	108197	9977	0	0	0	0	573975	1857815
SRX14570272	1586512	0	79.14539210911298	0	0	15915282	20108918	0	0	71019	10831	0	0	0	0	564796	1960478
SRX14570273	1627320	0	79.25188917850132	0	0	15993819	20180994	0	0	69102	11615	0	0	0	0	568309	1910829
SRX14570274	1585896	0	79.87190345568315	0	0	18091443	22650572	0	0	82159	12567	0	0	0	0	685647	2192860
SRX14570275	1487746	0	80.61242929646227	0	0	18601784	23075578	0	0	56797	12643	0	0	0	0	670507	2246101
SRX14570276	1490452	0	80.68547597147763	0	0	17124942	21224318	0	0	56726	11609	0	0	0	0	598693	1941896
SRX14570277	1925648	0	80.22997997375042	0	0	22431744	27959304	0	0	73104	15289	0	0	0	0	826719	2686800
SRX14953908	50635782	0	29.687718143235266	0	0	24092674	81153674	0	0	3238586	15144	0	0	0	0	1206827	1964661
SRX14953909	8356810	0	74.96728643431848	0	0	48851756	65164098	0	0	1126049	35226	0	0	0	0	2542948	4251309
SRX14953910	23754532	0	53.245941758490225	0	0	35145872	66006668	0	0	2706232	23380	0	0	0	0	1721380	2655272
SRX14953911	10112890	0	72.62501049750797	0	0	44709576	61562230	0	0	1193918	31126	0	0	0	0	2136571	3378149
SRX14953912	49440908	0	16.49127248992637	0	0	10369224	62877040	0	0	1642401	6872	0	0	0	0	526785	890850
SRX14953913	13933374	0	66.21199761313255	0	0	46661107	70472284	0	0	1538792	29013	0	0	0	0	2259157	6050841
SRX14953914	46606744	0	13.087599916325349	0	0	7488938	57221630	0	0	1670256	4502	0	0	0	0	351489	1099701
SRX14953915	45566792	0	15.036912999778895	0	0	8623423	57348360	0	0	1610161	5421	0	0	0	0	408042	1134521
SRX14953916	35969866	0	35.09134148809928	0	0	23216920	66161392	0	0	2910506	14345	0	0	0	0	1130815	2918940
SRX14953917	11946946	0	70.37982790580104	0	0	46870374	66596318	0	0	1260656	30674	0	0	0	0	2423333	4064335
SRX14953918	6941042	0	79.49977026716748	0	0	56638519	71243626	0	0	144404	38028	0	0	0	0	2865279	4616354
