Sample	per_tile_sequence_quality	sequence_length_distribution	Total Sequences	File type	per_sequence_gc_content	%GC	overrepresented_sequences	adapter_content	per_base_sequence_content	per_base_sequence_quality	basic_statistics	per_base_n_content	per_sequence_quality_scores	Sequence length	median_sequence_length	total_deduplicated_percentage	Encoding	avg_sequence_length	sequence_duplication_levels	Sequences flagged as poor quality	Total Bases	Filename
SRX18804544	pass	warn	12988299.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	16.44223272694144	Sanger / Illumina 1.9	148.80481870643723	fail	0.0	1.9 Gbp	SRX18804544_val_1.fq.gz
SRX18804545	pass	warn	11629682.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	18.22714570637622	Sanger / Illumina 1.9	148.83203994743795	fail	0.0	1.7 Gbp	SRX18804545_val_1.fq.gz
SRX18804546	pass	warn	8887036.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	17.58538623931797	Sanger / Illumina 1.9	148.71768258843557	fail	0.0	1.3 Gbp	SRX18804546_val_1.fq.gz
SRX18804547	pass	warn	10433938.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	13.749113826487813	Sanger / Illumina 1.9	148.79897925404578	fail	0.0	1.5 Gbp	SRX18804547_val_1.fq.gz
SRX18804548	pass	warn	10641261.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	21.40017494672171	Sanger / Illumina 1.9	148.80379458787826	fail	0.0	1.5 Gbp	SRX18804548_val_2.fq.gz
SRX18804549	pass	warn	9525001.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	18.254217516542806	Sanger / Illumina 1.9	148.66863877494606	fail	0.0	1.4 Gbp	SRX18804549_val_2.fq.gz
SRX18804550	pass	warn	8739462.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	23.845553759585005	Sanger / Illumina 1.9	148.59549100390848	fail	0.0	1.3 Gbp	SRX18804550_val_1.fq.gz
SRX18804551	pass	warn	8169144.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	19.556513632112686	Sanger / Illumina 1.9	148.73426187615252	fail	0.0	1.2 Gbp	SRX18804551_val_1.fq.gz
SRX18804552	pass	warn	8199473.0	Conventional base calls	warn	50.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	22.290865859582055	Sanger / Illumina 1.9	147.95507979598202	fail	0.0	1.2 Gbp	SRX18804552_val_1.fq.gz
SRX18804553	pass	warn	8505338.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	21.169567433150778	Sanger / Illumina 1.9	148.31990192512043	fail	0.0	1.2 Gbp	SRX18804553_val_1.fq.gz
SRX18804554	pass	warn	7873984.0	Conventional base calls	warn	50.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	21.231807161147117	Sanger / Illumina 1.9	148.0840002976892	fail	0.0	1.1 Gbp	SRX18804554_val_1.fq.gz
SRX19817112	pass	warn	10915150.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	43.81295032943928	Sanger / Illumina 1.9	146.78995634508001	fail	0.0	1.6 Gbp	SRX19817112_val_1.fq.gz
SRX19817113	pass	warn	9796353.0	Conventional base calls	warn	49.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	43.62572875572765	Sanger / Illumina 1.9	146.50690261978104	fail	0.0	1.4 Gbp	SRX19817113_val_1.fq.gz
SRX19817114	pass	warn	10415459.0	Conventional base calls	pass	48.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	43.8177055553699	Sanger / Illumina 1.9	146.48436588344308	fail	0.0	1.5 Gbp	SRX19817114_val_1.fq.gz
SRX19817115	pass	warn	10669560.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	50.395937787415356	Sanger / Illumina 1.9	147.04317881899536	warn	0.0	1.5 Gbp	SRX19817115_val_1.fq.gz
SRX19817116	pass	warn	10438218.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	44.84507313982245	Sanger / Illumina 1.9	147.09963348150038	fail	0.0	1.5 Gbp	SRX19817116_val_1.fq.gz
SRX19817117	pass	warn	11171894.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	44.66740659576154	Sanger / Illumina 1.9	147.04250487876092	fail	0.0	1.6 Gbp	SRX19817117_val_1.fq.gz
SRX2036088	pass	warn	46848459.0	Conventional base calls	warn	52.0	fail	pass	fail	pass	pass	pass	pass	18-50	49	7.644980530574844	Sanger / Illumina 1.9	46.2406110732479	fail	0.0	2.1 Gbp	SRX2036088_trimmed.fq.gz
SRX2036089	pass	warn	43849209.0	Conventional base calls	warn	52.0	fail	pass	fail	pass	pass	pass	pass	18-50	49	8.257397753293102	Sanger / Illumina 1.9	46.20303146175339	fail	0.0	2 Gbp	SRX2036089_trimmed.fq.gz
SRX2036090	fail	warn	42895167.0	Conventional base calls	warn	52.0	fail	pass	fail	pass	pass	pass	pass	18-50	49	7.506275250336366	Sanger / Illumina 1.9	46.08381375458918	fail	0.0	1.9 Gbp	SRX2036090_trimmed.fq.gz
SRX2036091	fail	warn	40935915.0	Conventional base calls	warn	52.0	fail	pass	fail	pass	pass	pass	pass	18-50	49	7.485651452538954	Sanger / Illumina 1.9	46.00267596314874	fail	0.0	1.8 Gbp	SRX2036091_trimmed.fq.gz
SRX2036300	fail	warn	13438905.0	Conventional base calls	pass	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	14.718282504105778	Sanger / Illumina 1.9	95.10791987888894	fail	0.0	1.2 Gbp	SRX2036300_val_2.fq.gz
SRX2036303	fail	warn	12310695.0	Conventional base calls	pass	43.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	15.249819482605579	Sanger / Illumina 1.9	95.24838069662192	fail	0.0	1.1 Gbp	SRX2036303_val_2.fq.gz
SRX2036305	fail	warn	15048040.0	Conventional base calls	warn	43.0	warn	pass	warn	pass	pass	pass	pass	20-101	100	13.578176076447694	Sanger / Illumina 1.9	95.09941347843308	fail	0.0	1.4 Gbp	SRX2036305_val_2.fq.gz
SRX2036307	fail	warn	15731002.0	Conventional base calls	warn	43.0	warn	pass	warn	pass	pass	pass	pass	20-101	100	13.785498719957562	Sanger / Illumina 1.9	95.26327032442053	fail	0.0	1.5 Gbp	SRX2036307_val_2.fq.gz
SRX2037533	warn	warn	36872669.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-50	50	11.989921163931978	Sanger / Illumina 1.9	49.21141439476486	fail	0.0	1.8 Gbp	SRX2037533_trimmed.fq.gz
SRX2037535	warn	warn	38527589.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-50	50	12.101082072773293	Sanger / Illumina 1.9	49.20217343473011	fail	0.0	1.8 Gbp	SRX2037535_trimmed.fq.gz
SRX2037536	warn	warn	48628233.0	Conventional base calls	fail	43.0	warn	pass	fail	pass	pass	pass	pass	20-50	50	10.883086274062158	Sanger / Illumina 1.9	49.15866759954037	fail	0.0	2.3 Gbp	SRX2037536_trimmed.fq.gz
SRX2037537	warn	warn	58473337.0	Conventional base calls	fail	44.0	warn	pass	fail	pass	pass	pass	pass	20-50	50	9.583816845381333	Sanger / Illumina 1.9	49.159740737902474	fail	0.0	2.8 Gbp	SRX2037537_trimmed.fq.gz
SRX2037538	fail	warn	49080871.0	Conventional base calls	pass	45.0	warn	pass	fail	pass	pass	warn	pass	20-50	50	8.303137383901133	Sanger / Illumina 1.9	49.25594619133796	fail	0.0	2.4 Gbp	SRX2037538_trimmed.fq.gz
SRX2037540	fail	warn	40585163.0	Conventional base calls	pass	45.0	warn	pass	fail	pass	pass	warn	pass	20-50	50	10.580174608336874	Sanger / Illumina 1.9	49.26099902567842	fail	0.0	1.9 Gbp	SRX2037540_trimmed.fq.gz
SRX2037541	fail	warn	42076571.0	Conventional base calls	fail	45.0	warn	pass	fail	pass	pass	warn	pass	20-50	50	12.903993057593857	Sanger / Illumina 1.9	49.20035888856057	fail	0.0	2 Gbp	SRX2037541_trimmed.fq.gz
SRX2037542	fail	warn	48195731.0	Conventional base calls	fail	45.0	warn	pass	fail	pass	pass	warn	pass	20-50	50	11.323721400327685	Sanger / Illumina 1.9	49.175663255320266	fail	0.0	2.3 Gbp	SRX2037542_trimmed.fq.gz
SRX2037691	fail	warn	16767085.0	Conventional base calls	fail	41.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	17.618045598682613	Sanger / Illumina 1.9	94.15492329167533	fail	0.0	1.5 Gbp	SRX2037691_val_2.fq.gz
SRX2037693	fail	warn	16906931.0	Conventional base calls	fail	45.0	warn	pass	warn	pass	pass	pass	pass	20-101	100	14.012223585995665	Sanger / Illumina 1.9	94.13625015681438	fail	0.0	1.6 Gbp	SRX2037693_val_2.fq.gz
SRX2037695	fail	warn	14597230.0	Conventional base calls	fail	44.0	warn	pass	warn	pass	pass	pass	pass	20-101	100	15.32211004253266	Sanger / Illumina 1.9	94.618956610261	fail	0.0	1.3 Gbp	SRX2037695_val_2.fq.gz
SRX2037697	fail	warn	15370490.0	Conventional base calls	fail	44.0	warn	pass	warn	pass	pass	pass	pass	20-101	100	15.113122469531687	Sanger / Illumina 1.9	94.59497283430782	fail	0.0	1.4 Gbp	SRX2037697_val_2.fq.gz
SRX2037699	warn	warn	15941687.0	Conventional base calls	fail	40.0	warn	warn	fail	pass	pass	pass	pass	20-101	100	18.998943634850036	Sanger / Illumina 1.9	96.75552606195316	fail	0.0	1.5 Gbp	SRX2037699_val_1.fq.gz
SRX2037713	fail	warn	16612209.0	Conventional base calls	fail	37.0	fail	warn	fail	pass	pass	pass	pass	20-101	100	17.752362305728965	Sanger / Illumina 1.9	94.41412301037147	fail	0.0	1.5 Gbp	SRX2037713_val_2.fq.gz
SRX2037715	fail	warn	17243776.0	Conventional base calls	fail	38.0	fail	warn	fail	pass	pass	pass	pass	20-101	100	17.215360440882552	Sanger / Illumina 1.9	94.00242800648768	fail	0.0	1.6 Gbp	SRX2037715_val_2.fq.gz
SRX2037717	fail	warn	13022316.0	Conventional base calls	fail	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	15.934601592048045	Sanger / Illumina 1.9	94.51342080778872	fail	0.0	1.2 Gbp	SRX2037717_val_2.fq.gz
SRX2116174		warn	3634694.0	Conventional base calls	fail	39.0	fail	warn	fail	pass	pass	pass	pass	20-151	151	35.64155464697586	Sanger / Illumina 1.9	146.9141974537609	fail	0.0	533.5 Mbp	SRX2116174_val_1.fq.gz
SRX2116175		warn	3899675.0	Conventional base calls	fail	37.0	warn	fail	fail	pass	pass	pass	pass	20-151	151	42.012231291089805	Sanger / Illumina 1.9	146.62738869264746	fail	0.0	571.3 Mbp	SRX2116175_val_1.fq.gz
SRX2116176		warn	3467070.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-151	151	20.76855068331973	Sanger / Illumina 1.9	147.31701696244957	fail	0.0	510.4 Mbp	SRX2116176_val_1.fq.gz
SRX21659709		warn	10232653.0	Conventional base calls	pass	49.0	fail	pass	fail	pass	pass	pass	pass	20-150	150	11.386471754181947	Sanger / Illumina 1.9	146.8397426356586	fail	0.0	1.5 Gbp	SRX21659709_val_1.fq.gz
SRX21659710		warn	11198822.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	12.154069072832748	Sanger / Illumina 1.9	147.27436412508388	fail	0.0	1.6 Gbp	SRX21659710_val_2.fq.gz
SRX21659711		warn	25087324.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	8.105207301497112	Sanger / Illumina 1.9	146.6561907120903	fail	0.0	3.6 Gbp	SRX21659711_val_2.fq.gz
SRX22720559		warn	18140890.0	Conventional base calls	pass	48.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	21.087257838604877	Sanger / Illumina 1.9	99.22244718974648	fail	0.0	1.8 Gbp	SRX22720559_val_2.fq.gz
SRX22720560		warn	18112038.0	Conventional base calls	pass	49.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	23.122717521836382	Sanger / Illumina 1.9	99.26980420425355	fail	0.0	1.8 Gbp	SRX22720560_val_2.fq.gz
SRX22720561		warn	18098585.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	17.422074981038634	Sanger / Illumina 1.9	99.27459157718684	fail	0.0	1.8 Gbp	SRX22720561_val_2.fq.gz
SRX22720562		warn	18035011.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	21.86828059130634	Sanger / Illumina 1.9	99.2688526777167	fail	0.0	1.7 Gbp	SRX22720562_val_2.fq.gz
SRX22720563		warn	18040233.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	18-100	100	17.556651286566794	Sanger / Illumina 1.9	99.14400152148811	fail	0.0	1.7 Gbp	SRX22720563_val_2.fq.gz
SRX22720564		warn	18145210.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	18.554130277486106	Sanger / Illumina 1.9	99.26437732051599	fail	0.0	1.8 Gbp	SRX22720564_val_2.fq.gz
SRX22720565		warn	18051842.0	Conventional base calls	pass	49.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	21.197336176869022	Sanger / Illumina 1.9	99.27492319066387	fail	0.0	1.7 Gbp	SRX22720565_val_2.fq.gz
SRX22720566		warn	18113583.0	Conventional base calls	pass	48.0	pass	pass	fail	pass	pass	pass	pass	18-100	100	22.55909565461601	Sanger / Illumina 1.9	99.15635266639406	fail	0.0	1.8 Gbp	SRX22720566_val_2.fq.gz
SRX22720567		warn	18023406.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	22.410830830405423	Sanger / Illumina 1.9	99.26194860172379	fail	0.0	1.7 Gbp	SRX22720567_val_2.fq.gz
SRX22720568		warn	18036550.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	21.67032604420819	Sanger / Illumina 1.9	99.22603979142353	fail	0.0	1.7 Gbp	SRX22720568_val_1.fq.gz
SRX22720569		warn	18089369.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	21.65173935928488	Sanger / Illumina 1.9	99.24027742482339	fail	0.0	1.8 Gbp	SRX22720569_val_1.fq.gz
SRX22720570		warn	18117784.0	Conventional base calls	pass	49.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	22.18861874743908	Sanger / Illumina 1.9	99.27252825179944	fail	0.0	1.8 Gbp	SRX22720570_val_2.fq.gz
SRX22720571		warn	18133602.0	Conventional base calls	pass	49.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	20.944095939679823	Sanger / Illumina 1.9	99.27418137885678	fail	0.0	1.8 Gbp	SRX22720571_val_2.fq.gz
SRX22720572		warn	18064867.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	18.693562603121958	Sanger / Illumina 1.9	99.25589609931808	fail	0.0	1.7 Gbp	SRX22720572_val_2.fq.gz
SRX22720574		warn	18081200.0	Conventional base calls	pass	48.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	22.004213696504674	Sanger / Illumina 1.9	99.2664541070283	fail	0.0	1.7 Gbp	SRX22720574_val_2.fq.gz
SRX22720575		warn	18013353.0	Conventional base calls	pass	48.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	22.159334173257335	Sanger / Illumina 1.9	99.26579887708857	fail	0.0	1.7 Gbp	SRX22720575_val_2.fq.gz
SRX22720576		warn	18044288.0	Conventional base calls	pass	49.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	22.531700805731482	Sanger / Illumina 1.9	99.26964976395854	fail	0.0	1.7 Gbp	SRX22720576_val_2.fq.gz
SRX22720577		warn	18083534.0	Conventional base calls	pass	49.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	21.088426052966376	Sanger / Illumina 1.9	99.26997245118127	fail	0.0	1.7 Gbp	SRX22720577_val_2.fq.gz
SRX22720578		warn	18034333.0	Conventional base calls	pass	49.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	20.794377371759854	Sanger / Illumina 1.9	99.22988213647824	fail	0.0	1.7 Gbp	SRX22720578_val_1.fq.gz
SRX22720579		warn	18094287.0	Conventional base calls	pass	49.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	22.197777932657683	Sanger / Illumina 1.9	99.22937444288354	fail	0.0	1.8 Gbp	SRX22720579_val_1.fq.gz
SRX3316529		warn	34187657.0	Conventional base calls	warn	47.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.117572133863929	Sanger / Illumina 1.9	98.97489968382449	fail	0.0	3.3 Gbp	SRX3316529_val_1.fq.gz
SRX3316530		warn	27267106.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.335588173902373	Sanger / Illumina 1.9	98.60987014903598	fail	0.0	2.6 Gbp	SRX3316530_val_2.fq.gz
SRX3316531		warn	27384912.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.351460897016915	Sanger / Illumina 1.9	98.7057940518487	fail	0.0	2.7 Gbp	SRX3316531_val_2.fq.gz
SRX3316532		warn	31276617.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.355486839428648	Sanger / Illumina 1.9	98.78018335550804	fail	0.0	3 Gbp	SRX3316532_val_2.fq.gz
SRX3316533		warn	31008374.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.828693381040228	Sanger / Illumina 1.9	98.66884519646209	fail	0.0	3 Gbp	SRX3316533_val_2.fq.gz
SRX3316534		warn	26720386.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.512410415081515	Sanger / Illumina 1.9	98.7304645973303	fail	0.0	2.6 Gbp	SRX3316534_val_2.fq.gz
SRX3316535		warn	28096774.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.920584585751138	Sanger / Illumina 1.9	98.41545324740841	fail	0.0	2.7 Gbp	SRX3316535_val_2.fq.gz
SRX3316536		warn	27088389.0	Conventional base calls	warn	47.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	11.777627276988909	Sanger / Illumina 1.9	98.75076875188111	fail	0.0	2.6 Gbp	SRX3316536_val_2.fq.gz
SRX3316537		warn	27615590.0	Conventional base calls	warn	46.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	10.507576342398695	Sanger / Illumina 1.9	98.71907245146673	fail	0.0	2.7 Gbp	SRX3316537_val_2.fq.gz
SRX3316538		warn	26824681.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.643166095693362	Sanger / Illumina 1.9	98.94331753656269	fail	0.0	2.6 Gbp	SRX3316538_val_1.fq.gz
SRX3316539		warn	24670955.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.944525778378734	Sanger / Illumina 1.9	98.97409565215453	fail	0.0	2.4 Gbp	SRX3316539_val_1.fq.gz
SRX3316540		warn	29475617.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.738942807655288	Sanger / Illumina 1.9	98.70789371431988	fail	0.0	2.9 Gbp	SRX3316540_val_2.fq.gz
SRX3316541		warn	30191895.0	Conventional base calls	warn	47.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.535861180855822	Sanger / Illumina 1.9	98.81673740585015	fail	0.0	2.9 Gbp	SRX3316541_val_2.fq.gz
SRX3316542		warn	26983182.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.023269273471632	Sanger / Illumina 1.9	98.76679414607217	fail	0.0	2.6 Gbp	SRX3316542_val_2.fq.gz
SRX3316543		warn	30129879.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.655952829967264	Sanger / Illumina 1.9	98.7159301237154	fail	0.0	2.9 Gbp	SRX3316543_val_2.fq.gz
SRX3316544		warn	23851713.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	10.083736878310862	Sanger / Illumina 1.9	98.56514003836958	fail	0.0	2.3 Gbp	SRX3316544_val_2.fq.gz
SRX3316545		warn	23142305.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	9.320683515796228	Sanger / Illumina 1.9	98.72500003780955	fail	0.0	2.2 Gbp	SRX3316545_val_2.fq.gz
SRX3316546		warn	27559711.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	8.55237479388874	Sanger / Illumina 1.9	98.75984062387302	fail	0.0	2.7 Gbp	SRX3316546_val_2.fq.gz
SRX3316547		warn	21680779.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	9.330987716531478	Sanger / Illumina 1.9	98.82216049524789	fail	0.0	2.1 Gbp	SRX3316547_val_2.fq.gz
SRX3316548		warn	23576668.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.388752347917329	Sanger / Illumina 1.9	98.97716564528966	fail	0.0	2.3 Gbp	SRX3316548_val_1.fq.gz
SRX3316549		warn	22880613.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.684030138305317	Sanger / Illumina 1.9	98.95760144188445	fail	0.0	2.2 Gbp	SRX3316549_val_1.fq.gz
SRX3316550		warn	27570773.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.624948317150691	Sanger / Illumina 1.9	98.794966321764	fail	0.0	2.7 Gbp	SRX3316550_val_2.fq.gz
SRX3316551		warn	29274630.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.976307045763946	Sanger / Illumina 1.9	98.76782080593333	fail	0.0	2.8 Gbp	SRX3316551_val_2.fq.gz
SRX3316552		warn	26696675.0	Conventional base calls	warn	47.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.333706305073106	Sanger / Illumina 1.9	98.81938803240479	fail	0.0	2.6 Gbp	SRX3316552_val_2.fq.gz
SRX3316553		warn	24895673.0	Conventional base calls	warn	47.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	9.417297516315546	Sanger / Illumina 1.9	98.69197454513481	fail	0.0	2.4 Gbp	SRX3316553_val_2.fq.gz
SRX3316554		warn	25638923.0	Conventional base calls	warn	47.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.72461463987725	Sanger / Illumina 1.9	98.81313470148493	fail	0.0	2.5 Gbp	SRX3316554_val_2.fq.gz
SRX3316555		warn	22534298.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	10.616333557583618	Sanger / Illumina 1.9	98.77505409753611	fail	0.0	2.2 Gbp	SRX3316555_val_2.fq.gz
SRX3316556		warn	23901637.0	Conventional base calls	warn	47.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.48978234053104	Sanger / Illumina 1.9	98.79875985063282	fail	0.0	2.3 Gbp	SRX3316556_val_2.fq.gz
SRX3316557		warn	26348637.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.32845709247164	Sanger / Illumina 1.9	98.73428208070118	fail	0.0	2.6 Gbp	SRX3316557_val_2.fq.gz
SRX3316558		warn	22398675.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.414282306830513	Sanger / Illumina 1.9	98.88488403889963	fail	0.0	2.2 Gbp	SRX3316558_val_1.fq.gz
SRX3316559		warn	25816043.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.52338058361978	Sanger / Illumina 1.9	99.19072555000005	fail	0.0	2.5 Gbp	SRX3316559_val_1.fq.gz
SRX3316560		warn	26109608.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.212409427277917	Sanger / Illumina 1.9	98.97425162415307	fail	0.0	2.5 Gbp	SRX3316560_val_1.fq.gz
SRX3316561		warn	26850148.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.964302687204327	Sanger / Illumina 1.9	98.99695971880676	fail	0.0	2.6 Gbp	SRX3316561_val_1.fq.gz
SRX3316625		warn	24988709.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	7.9798955462224095	Sanger / Illumina 1.9	98.99206429591861	fail	0.0	2.4 Gbp	SRX3316625_val_1.fq.gz
SRX3316626		warn	24387637.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	10.088616404305931	Sanger / Illumina 1.9	98.96943414402962	fail	0.0	2.4 Gbp	SRX3316626_val_1.fq.gz
SRX3316627		warn	25340420.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.219537505920659	Sanger / Illumina 1.9	99.00271708203731	fail	0.0	2.5 Gbp	SRX3316627_val_1.fq.gz
SRX3316628		warn	25322597.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.243127374847685	Sanger / Illumina 1.9	98.79920317809426	fail	0.0	2.5 Gbp	SRX3316628_val_2.fq.gz
SRX3316629		warn	23458398.0	Conventional base calls	warn	48.0	pass	pass	fail	pass	pass	pass	pass	20-100	100	9.345354977150778	Sanger / Illumina 1.9	98.84537042981367	fail	0.0	2.3 Gbp	SRX3316629_val_2.fq.gz
SRX3316630		warn	30224370.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.206321810417554	Sanger / Illumina 1.9	99.00173164899715	fail	0.0	3 Gbp	SRX3316630_val_1.fq.gz
SRX3316631		warn	28121194.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.193566546991091	Sanger / Illumina 1.9	98.98791224867621	fail	0.0	2.7 Gbp	SRX3316631_val_1.fq.gz
SRX3316632		warn	23665284.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.458896084722047	Sanger / Illumina 1.9	98.99023464075056	fail	0.0	2.3 Gbp	SRX3316632_val_1.fq.gz
SRX3316633		warn	23686120.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	10.01155548739519	Sanger / Illumina 1.9	98.95762632292667	fail	0.0	2.3 Gbp	SRX3316633_val_1.fq.gz
SRX3316634		warn	24683487.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.258125004335561	Sanger / Illumina 1.9	98.97740039727775	fail	0.0	2.4 Gbp	SRX3316634_val_1.fq.gz
SRX3316735		warn	28662558.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	12.048815587989434	Sanger / Illumina 1.9	98.72817534289857	fail	0.0	2.8 Gbp	SRX3316735_val_2.fq.gz
SRX3316736		warn	31293423.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.503612326662127	Sanger / Illumina 1.9	98.78100289635941	fail	0.0	3 Gbp	SRX3316736_val_2.fq.gz
SRX3316737		warn	32642950.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.231645377761048	Sanger / Illumina 1.9	98.85288370076847	fail	0.0	3.2 Gbp	SRX3316737_val_2.fq.gz
