Sample	per_tile_sequence_quality	sequence_length_distribution	Total Sequences	File type	per_sequence_gc_content	%GC	overrepresented_sequences	adapter_content	per_base_sequence_content	per_base_sequence_quality	basic_statistics	per_base_n_content	per_sequence_quality_scores	Sequence length	median_sequence_length	total_deduplicated_percentage	Encoding	avg_sequence_length	sequence_duplication_levels	Sequences flagged as poor quality	Total Bases	Filename
Kiley_B_WT_+O2_Ctrl_C	pass	warn	3909283.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	14.523527965175411	Sanger / Illumina 1.9	142.93336169318005	fail	0.0	560.3 Mbp	Kiley_B_WT_+O2_Ctrl_C_val_2.fq.gz
Kiley_B_WT_+O2_Paraquat_A	pass	warn	3953633.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	15.288393942956729	Sanger / Illumina 1.9	143.54584757867005	fail	0.0	569.2 Mbp	Kiley_B_WT_+O2_Paraquat_A_val_2.fq.gz
Kiley_B_WT_+O2_Paraquat_B	pass	warn	3260660.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	15.251529683273368	Sanger / Illumina 1.9	143.0596228984316	fail	0.0	467.8 Mbp	Kiley_B_WT_+O2_Paraquat_B_val_2.fq.gz
Kiley_B_WT_+O2_Paraquat_C	pass	warn	4808759.0	Conventional base calls	warn	47.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	9.719820829928942	Sanger / Illumina 1.9	142.86338221566103	fail	0.0	688.9 Mbp	Kiley_B_WT_+O2_Paraquat_C_val_2.fq.gz
Kiley_B_WT_-O2_Ctrl_A	pass	warn	4162430.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	8.894692732465776	Sanger / Illumina 1.9	143.87281467796456	fail	0.0	600.6 Mbp	Kiley_B_WT_-O2_Ctrl_A_val_2.fq.gz
Kiley_B_WT_-O2_Ctrl_B	pass	warn	3116951.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	13.729010366189765	Sanger / Illumina 1.9	143.75450400086496	fail	0.0	449.3 Mbp	Kiley_B_WT_-O2_Ctrl_B_val_2.fq.gz
Kiley_B_WT_-O2_Ctrl_C	pass	warn	4108839.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	8.736982723424369	Sanger / Illumina 1.9	143.87353142822096	fail	0.0	592.8 Mbp	Kiley_B_WT_-O2_Ctrl_C_val_2.fq.gz
Kiley_B_WT_-O2_NoFe_A	pass	warn	4139046.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	9.08967545381341	Sanger / Illumina 1.9	142.94212869342357	fail	0.0	593.4 Mbp	Kiley_B_WT_-O2_NoFe_A_val_1.fq.gz
Kiley_B_WT_-O2_NoFe_B	pass	warn	4960365.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	9.019475510742705	Sanger / Illumina 1.9	143.5158936892749	fail	0.0	714.1 Mbp	Kiley_B_WT_-O2_NoFe_B_val_1.fq.gz
Kiley_B_WT_-O2_NoFe_C	pass	warn	4387293.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	8.598624528270125	Sanger / Illumina 1.9	144.2502112350372	fail	0.0	634.8 Mbp	Kiley_B_WT_-O2_NoFe_C_val_1.fq.gz
Kiley_B_WT_-O2_NoFe_DIP_A	pass	warn	3217597.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	11.917501866222187	Sanger / Illumina 1.9	144.08622894663316	fail	0.0	465 Mbp	Kiley_B_WT_-O2_NoFe_DIP_A_val_2.fq.gz
Kiley_B_WT_-O2_NoFe_DIP_B	pass	warn	4306634.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	9.117266510110168	Sanger / Illumina 1.9	143.24726155043592	fail	0.0	618.6 Mbp	Kiley_B_WT_-O2_NoFe_DIP_B_val_2.fq.gz
Kiley_B_WT_-O2_NoFe_DIP_C	pass	warn	5863653.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	7.333843051258605	Sanger / Illumina 1.9	143.4563916043463	fail	0.0	843.6 Mbp	Kiley_B_WT_-O2_NoFe_DIP_C_val_2.fq.gz
Kiley_B_WT_-O2_Peroxide_A	pass	warn	4198447.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	21-150	147	7.05578803739833	Sanger / Illumina 1.9	142.78237929405802	fail	0.0	601.2 Mbp	Kiley_B_WT_-O2_Peroxide_A_val_1.fq.gz
Kiley_B_WT_-O2_Peroxide_C	pass	warn	3818506.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	21-150	147	7.8879988752032055	Sanger / Illumina 1.9	142.6287160475851	fail	0.0	546.2 Mbp	Kiley_B_WT_-O2_Peroxide_C_val_1.fq.gz
SRX10341586	pass	warn	9088425.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	20.355745845586146	Sanger / Illumina 1.9	148.70563062356788	fail	0.0	1.3 Gbp	SRX10341586_val_1.fq.gz
SRX10341587	pass	warn	8905755.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	21.440695948776295	Sanger / Illumina 1.9	148.69729551284536	fail	0.0	1.3 Gbp	SRX10341587_val_1.fq.gz
SRX10341588	pass	warn	7450199.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	20.35216779710347	Sanger / Illumina 1.9	148.63190177873102	fail	0.0	1.1 Gbp	SRX10341588_val_2.fq.gz
SRX10341589	pass	warn	8221261.0	Conventional base calls	warn	49.0	fail	pass	fail	pass	pass	pass	pass	20-150	150	18.335433752078924	Sanger / Illumina 1.9	148.73499892534733	fail	0.0	1.2 Gbp	SRX10341589_val_2.fq.gz
SRX10341590	pass	warn	12509896.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	22.558093715821297	Sanger / Illumina 1.9	148.8118224963661	fail	0.0	1.8 Gbp	SRX10341590_val_1.fq.gz
SRX10341591	pass	warn	12596381.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	23.78307300042187	Sanger / Illumina 1.9	148.82539056257508	fail	0.0	1.8 Gbp	SRX10341591_val_1.fq.gz
SRX10341592	pass	warn	8067787.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	19.12706885717432	Sanger / Illumina 1.9	148.6212057903859	fail	0.0	1.2 Gbp	SRX10341592_val_1.fq.gz
SRX10341593	pass	warn	8308643.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	19.461433503834378	Sanger / Illumina 1.9	148.5850104523687	fail	0.0	1.2 Gbp	SRX10341593_val_1.fq.gz
SRX10341594	pass	warn	9603527.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	18.394888472944892	Sanger / Illumina 1.9	148.5533009903549	fail	0.0	1.4 Gbp	SRX10341594_val_1.fq.gz
SRX10341595	pass	warn	9396693.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	18.189032518173008	Sanger / Illumina 1.9	148.6245799453063	fail	0.0	1.4 Gbp	SRX10341595_val_1.fq.gz
SRX10341596	pass	warn	9111564.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	19.268976648254228	Sanger / Illumina 1.9	148.66208841862934	fail	0.0	1.3 Gbp	SRX10341596_val_1.fq.gz
SRX10341597	pass	warn	7312482.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	20.5181622355053	Sanger / Illumina 1.9	148.57385700231467	fail	0.0	1 Gbp	SRX10341597_val_1.fq.gz
SRX11348531		warn	10885417.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	18.21347273500298	Sanger / Illumina 1.9	148.737141535322	fail	0.0	1.6 Gbp	SRX11348531_val_1.fq.gz
SRX11348532		warn	12812744.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	16.977256150299098	Sanger / Illumina 1.9	148.5745303269932	fail	0.0	1.9 Gbp	SRX11348532_val_1.fq.gz
SRX1432806	pass	warn	14545282.0	Conventional base calls	warn	51.0	warn	pass	fail	pass	pass	pass	pass	20-50	50	8.403132578082905	Sanger / Illumina 1.9	49.419323736727826	fail	0.0	718.8 Mbp	SRX1432806_trimmed.fq.gz
SRX14563846		warn	23071688.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-151	151	6.507817432684136	Sanger / Illumina 1.9	146.87425553778294	fail	0.0	3.3 Gbp	SRX14563846_val_1.fq.gz
SRX14563847		warn	21441879.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-151	151	7.002143104388788	Sanger / Illumina 1.9	147.27103011820932	fail	0.0	3.1 Gbp	SRX14563847_val_1.fq.gz
SRX14563848		warn	24084203.0	Conventional base calls	warn	49.0	warn	pass	warn	pass	pass	pass	pass	20-151	151	13.152286544366223	Sanger / Illumina 1.9	144.2752598041131	fail	0.0	3.4 Gbp	SRX14563848_val_2.fq.gz
SRX14563849		warn	23339702.0	Conventional base calls	pass	49.0	warn	pass	warn	pass	pass	pass	pass	20-151	151	12.474235431290676	Sanger / Illumina 1.9	146.52216677830762	fail	0.0	3.4 Gbp	SRX14563849_val_2.fq.gz
SRX14570260	pass	warn	12121307.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	15.514861789179518	Sanger / Illumina 1.9	148.5010462980601	fail	0.0	1.8 Gbp	SRX14570260_val_1.fq.gz
SRX14570261	pass	warn	9352030.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	17.053433856545038	Sanger / Illumina 1.9	148.6177511192757	fail	0.0	1.3 Gbp	SRX14570261_val_1.fq.gz
SRX14570262	pass	warn	10697417.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	16.093100913827733	Sanger / Illumina 1.9	148.63784771594862	fail	0.0	1.5 Gbp	SRX14570262_val_1.fq.gz
SRX14570263	fail	warn	12040155.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	15.220486492406533	Sanger / Illumina 1.9	148.66044182986016	fail	0.0	1.7 Gbp	SRX14570263_val_1.fq.gz
SRX14570264	fail	warn	12711059.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	14.778143996604513	Sanger / Illumina 1.9	148.7075740109459	fail	0.0	1.8 Gbp	SRX14570264_val_1.fq.gz
SRX14570265	fail	warn	13786146.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	15.294514756602867	Sanger / Illumina 1.9	148.8052185868335	fail	0.0	2 Gbp	SRX14570265_val_1.fq.gz
SRX14570266	fail	warn	14185946.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	16.14738117741145	Sanger / Illumina 1.9	148.76112787966343	fail	0.0	2.1 Gbp	SRX14570266_val_1.fq.gz
