Sample	Unique Reads	Duplicate Reads
SRX2116175	1638341.0	2261334.0
SRX2116176	720061.0	2747009.0
SRX21659709	1165139.0	9067514.0
SRX21659710	1361113.0	9837709.0
SRX21659711	2033380.0	23053944.0
SRX22720559	3825417.0	14315473.0
SRX22720560	4187996.0	13924042.0
SRX22720561	3153150.0	14945435.0
SRX22720562	3943947.0	14091064.0
SRX22720563	3167261.0	14872972.0
SRX22720564	3366686.0	14778524.0
SRX22720565	3826510.0	14225332.0
SRX22720566	4086261.0	14027322.0
SRX22720567	4039196.0	13984210.0
SRX22720568	3908580.0	14127970.0
SRX22720569	3916664.0	14172705.0
SRX22720570	4020087.0	14097697.0
SRX22720571	3797920.0	14335682.0
SRX22720572	3376968.0	14687899.0
SRX22720574	3978626.0	14102574.0
SRX22720575	3991640.0	14021713.0
SRX22720576	4065685.0	13978603.0
SRX22720577	3813533.0	14270001.0
SRX22720578	3750128.0	14284205.0
SRX22720579	4016530.0	14077757.0
SRX3316529	3117085.0	31070572.0
SRX3316530	2545545.0	24721561.0
SRX3316531	2560890.0	24824022.0
SRX3316532	2926080.0	28350537.0
SRX3316533	2737635.0	28270739.0
SRX3316534	2541753.0	24178633.0
SRX3316535	2787365.0	25309409.0
SRX3316536	3190370.0	23898019.0
SRX3316537	2901730.0	24713860.0
SRX3316538	2318502.0	24506179.0
SRX3316539	2206700.0	22464255.0
SRX3316540	2870614.0	26605003.0
SRX3316541	2577139.0	27614756.0
SRX3316542	2434766.0	24548416.0
SRX3316543	2608029.0	27521850.0
SRX3316544	2405144.0	21446569.0
SRX3316545	2157022.0	20985283.0
SRX3316546	2357010.0	25202701.0
SRX3316547	2023031.0	19657748.0
SRX3316548	1977789.0	21598879.0
SRX3316549	1986960.0	20893653.0
SRX3316550	2377965.0	25192808.0
SRX3316551	2627781.0	26646849.0
SRX3316552	2224823.0	24471852.0
SRX3316553	2344500.0	22551173.0
SRX3316554	2236898.0	23402025.0
SRX3316555	2392317.0	20141981.0
SRX3316556	2268214.0	21633423.0
SRX3316557	2457922.0	23890715.0
SRX3316558	2108675.0	20290000.0
SRX3316559	2200400.0	23615643.0
SRX3316560	2144228.0	23965380.0
SRX3316561	2675431.0	24174717.0
SRX3316625	1994073.0	22994636.0
SRX3316626	2460376.0	21927261.0
SRX3316627	2082866.0	23257554.0
SRX3316628	2340600.0	22981997.0
SRX3316629	2192271.0	21266127.0
SRX3316630	2480310.0	27744060.0
SRX3316631	2304129.0	25817065.0
SRX3316632	2001822.0	21663462.0
SRX3316633	2371350.0	21314770.0
SRX3316634	2285229.0	22398258.0
SRX3316735	3453499.0	25209059.0
SRX3316736	2974006.0	28319417.0
SRX3316737	3013482.0	29629468.0
SRX3316738	2727935.0	26919638.0
SRX3316739	2525238.0	22946046.0
SRX3316740	3200086.0	16580391.0
SRX3316741	3199168.0	34921688.0
SRX3316742	2980920.0	26363898.0
SRX3316743	3072833.0	26178252.0
SRX3316744	1837051.0	6032989.0
SRX3316745	3157795.0	19809024.0
SRX3316746	3764479.0	18315508.0
SRX3316747	4101963.0	22956194.0
SRX3316748	2405552.0	24143013.0
SRX3316749	3277227.0	21787217.0
SRX3316750	3494757.0	23939865.0
SRX3316751	2149239.0	19668874.0
SRX3316752	1822531.0	15848594.0
SRX3316753	2156145.0	20559684.0
SRX3316754	2062756.0	18202196.0
SRX3316755	2583138.0	23438534.0
SRX3316756	2044078.0	17218339.0
SRX3316757	2031468.0	18671454.0
SRX3316758	2374689.0	23857883.0
SRX3411505	738231.0	7075784.0
SRX3411506	678990.0	4203374.0
SRX3411507	688360.0	5233403.0
SRX3411508	981860.0	3887381.0
SRX3411509	1175487.0	4218329.0
SRX3411510	675524.0	4849248.0
SRX3411511	692747.0	5907419.0
SRX3411512	552452.0	3618847.0
SRX3411513	681569.0	4589670.0
SRX3411514	991253.0	3488196.0
SRX3411515	776899.0	3343869.0
SRX3411516	889419.0	4815697.0
SRX3411517	892326.0	4573786.0
SRX3411518	1155799.0	1859036.0
SRX3411519	1451912.0	1794687.0
SRX3411520	1167456.0	2287126.0
SRX3411521	1679413.0	3567467.0
SRX3411522	1719294.0	2322658.0
SRX3411523	1950151.0	2571672.0
SRX3411524	2054798.0	4170569.0
SRX3411525	1703178.0	2640680.0
SRX3541437	2843309.0	37497533.0
SRX3541438	2376142.0	29855558.0
SRX3541439	2219977.0	30499075.0
SRX3541440	2659643.0	27946999.0
SRX3541441	2028843.0	29241737.0
SRX3541442	3040809.0	31941466.0
SRX3541443	1920749.0	26449108.0
SRX3541444	1951567.0	26572920.0
SRX3541445	2863653.0	29976306.0
SRX3541446	2970210.0	33595810.0
SRX3541447	1932262.0	28621702.0
SRX3541448	2360382.0	24509075.0
SRX3541449	1910057.0	34529045.0
SRX3541450	2570053.0	27836804.0
SRX3541451	3554478.0	27949726.0
SRX3541452	1603920.0	20772762.0
SRX3541453	1334854.0	22483569.0
SRX5252024	2793442.0	10904710.0
SRX5252025	2682942.0	9340324.0
SRX5252026	2456450.0	6560382.0
SRX5252027	2429674.0	8909417.0
SRX5252028	2845953.0	12216166.0
SRX5252029	2448016.0	7504049.0
SRX5252030	2705108.0	8692098.0
SRX5252031	2005335.0	7824039.0
SRX5252032	2730791.0	10964464.0
SRX5252033	2864469.0	12862068.0
SRX5252034	2404142.0	8315192.0
SRX5252035	2335314.0	9830813.0
SRX5252036	2652909.0	8411751.0
SRX5252037	2481817.0	7937443.0
SRX5252038	2168995.0	6957952.0
SRX5252039	2268204.0	5324860.0
SRX5252040	2705532.0	12516891.0
SRX5252041	2496601.0	7163557.0
SRX5252042	2484500.0	8002106.0
SRX5252043	2328499.0	7371110.0
SRX5252044	2463148.0	7258232.0
SRX5252045	2735613.0	10011436.0
SRX5252046	2287927.0	6009094.0
SRX5252047	2003189.0	5158867.0
SRX5252048	2561335.0	7566960.0
SRX5252049	2784736.0	9281300.0
SRX5252050	2470862.0	7166232.0
SRX5252051	2211641.0	6057514.0
SRX5252052	2570925.0	8549049.0
SRX5252053	2810602.0	12574198.0
SRX5252054	2637680.0	8588501.0
SRX5252055	2621968.0	10909125.0
SRX5252056	2812798.0	12951934.0
SRX5252057	2752890.0	11315845.0
SRX5252058	2468688.0	13327343.0
SRX5252059	2225276.0	13238587.0
SRX5252060	2683492.0	8248366.0
SRX5252061	2704807.0	10597018.0
SRX5329169	2006045.0	26668237.0
SRX5329170	2339815.0	28441388.0
SRX5329171	2463348.0	30834850.0
SRX5329172	2723559.0	32512677.0
SRX5329173	1583453.0	29183311.0
SRX5329174	2560381.0	33061551.0
SRX5329175	2284336.0	30719079.0
SRX5329176	1734585.0	32048610.0
SRX5329177	2446742.0	30135340.0
SRX5329178	1972166.0	26638740.0
SRX5329179	2090155.0	29348458.0
SRX5329180	3058077.0	33782093.0
SRX5329181	3609509.0	28062206.0
SRX5329182	2783493.0	24744131.0
SRX5329183	3591509.0	34504870.0
SRX5329184	2912685.0	37664202.0
SRX5329185	1632653.0	20870780.0
SRX5329186	1378506.0	22611184.0
SRX5329187	2719730.0	24381413.0
SRX5329188	2275743.0	30805064.0
SRX5329189	2149040.0	28483334.0
SRX5329190	2695848.0	34104372.0
SRX5329191	2491258.0	34887383.0
SRX5329192	2749761.0	30651341.0
SRX5329193	2965724.0	32233836.0
SRX5329194	2714539.0	33688111.0
SRX6700162	3316187.0	33785277.0
SRX6700163	3042191.0	30894657.0
SRX6700164	3408578.0	37989341.0
SRX6700165	3723277.0	38564966.0
SRX6700166	3580112.0	32903478.0
SRX6700168	3384290.0	36333284.0
SRX6700169	3338227.0	31748054.0
SRX6700170	3683794.0	37298161.0
SRX6700171	4742261.0	39522782.0
SRX6700172	4686447.0	35479747.0
SRX6700173	4535118.0	30441419.0
SRX6700174	3510727.0	37392293.0
SRX6700175	3436181.0	33019185.0
SRX6700176	3554218.0	37618001.0
SRX6700177	2980431.0	26244994.0
SRX6700178	2947433.0	26246105.0
SRX6700179	3333645.0	36923423.0
SRX6700180	3366058.0	44625973.0
SRX6700181	2825589.0	30908608.0
SRX6700182	3192223.0	40680034.0
SRX6700183	2967950.0	27132443.0
SRX6700184	3800930.0	36199991.0
SRX6700185	3763809.0	34815798.0
SRX6922015	1739831.0	7712743.0
SRX6922016	1184611.0	4631477.0
SRX6922017	1810642.0	8912313.0
SRX6922018	1668367.0	6427628.0
SRX6922019	2610686.0	11877061.0
SRX6922020	1878222.0	6981035.0
SRX6922021	2139420.0	8815952.0
SRX6922023	1824219.0	7049516.0
SRX6922024	1858341.0	7708511.0
SRX6922025	1819870.0	7592842.0
SRX6922026	2552431.0	9374837.0
SRX6922027	2553634.0	9413713.0
SRX6922028	1917750.0	8035819.0
SRX6922029	1654916.0	7767681.0
SRX7101023	3364087.0	34949414.0
SRX7101024	3052232.0	32100236.0
SRX7101025	3041848.0	33069536.0
SRX7101026	2502477.0	29364545.0
SRX7101027	2489048.0	33384284.0
SRX7101028	2809107.0	35417665.0
SRX7101029	3991676.0	36836275.0
SRX7101030	3318445.0	32850116.0
SRX7101031	3304658.0	31637290.0
SRX7101032	3221984.0	34991597.0
SRX7101033	3244015.0	34553199.0
SRX7101034	3390931.0	36722611.0
SRX7101035	6496415.0	27647140.0
SRX7101036	9113831.0	70035855.0
SRX7101037	9496623.0	61789607.0
SRX7101038	9019185.0	70791317.0
SRX7101039	9021102.0	71892626.0
SRX7101040	8724942.0	74254797.0
SRX7101041	8354465.0	61264180.0
SRX7551986	1504745.0	5247801.0
SRX7551987	1480773.0	4936738.0
SRX7551988	1001438.0	3259563.0
SRX7551989	1258573.0	4533416.0
SRX7551990	1369468.0	4658507.0
SRX7551991	1289726.0	3979140.0
SRX8694706	881299.0	2948646.0
SRX8694707	994835.0	3395928.0
SRX8694708	703948.0	3673479.0
SRX8694709	688195.0	3554648.0
SRX8694710	944348.0	4370976.0
SRX8694711	767513.0	3400291.0
SRX8694712	982012.0	3974310.0
SRX8694713	802809.0	3065694.0
SRX8694714	801397.0	3380036.0
SRX8694715	879916.0	3552276.0
SRX8694716	814471.0	3314663.0
SRX8694717	914180.0	4042093.0
SRX8694718	655648.0	3601579.0
SRX8694719	617138.0	3528626.0
SRX8694720	557544.0	3190916.0
SRX8694721	598582.0	3576002.0
SRX8694722	599078.0	4099227.0
SRX8694723	639213.0	3665016.0
SRX8694724	632158.0	3585137.0
SRX8694725	635309.0	3750385.0
SRX8694726	625407.0	4594761.0
SRX8694727	682302.0	4720772.0
SRX8694728	867980.0	4373606.0
SRX8694729	1379620.0	11163639.0
