Sample	Not aligned	Aligned
SRX21659709	676934.0	9555719.0
SRX21659710	762134.0	10436688.0
SRX21659711	1573285.0	23514039.0
SRX22720559	1094564.0	17046326.0
SRX22720560	970071.0	17141967.0
SRX22720561	943823.0	17154762.0
SRX22720562	932887.0	17102124.0
SRX22720563	1057206.0	16983027.0
SRX22720564	886753.0	17258457.0
SRX22720565	1033046.0	17018796.0
SRX22720566	1221216.0	16892367.0
SRX22720567	902805.0	17120601.0
SRX22720568	999989.0	17036561.0
SRX22720569	935784.0	17153585.0
SRX22720570	1035299.0	17082485.0
SRX22720571	958581.0	17175021.0
SRX22720572	720254.0	17344613.0
SRX22720574	1049225.0	17031975.0
SRX22720575	1007413.0	17005940.0
SRX22720576	905716.0	17138572.0
SRX22720577	982292.0	17101242.0
SRX22720578	920091.0	17114242.0
SRX22720579	1006463.0	17087824.0
SRX3316529	1217858.0	32969799.0
SRX3316530	944374.0	26322732.0
SRX3316531	946816.0	26438096.0
SRX3316532	1819233.0	29457384.0
SRX3316533	1303632.0	29704742.0
SRX3316534	1539895.0	25180491.0
SRX3316535	1479851.0	26616923.0
SRX3316536	1551534.0	25536855.0
SRX3316537	1107430.0	26508160.0
SRX3316538	1392905.0	25431776.0
SRX3316539	915754.0	23755201.0
SRX3316540	1713904.0	27761713.0
SRX3316541	1057513.0	29134382.0
SRX3316542	1109099.0	25874083.0
SRX3316543	1163558.0	28966321.0
SRX3316544	1060474.0	22791239.0
SRX3316545	1018044.0	22124261.0
SRX3316546	1092173.0	26467538.0
SRX3316547	792712.0	20888067.0
SRX3316548	814764.0	22761904.0
SRX3316549	715783.0	22164830.0
SRX3316550	1016331.0	26554442.0
SRX3316551	986643.0	28287987.0
SRX3316552	950312.0	25746363.0
SRX3316553	1104470.0	23791203.0
SRX3316554	1005095.0	24633828.0
SRX3316555	970503.0	21563795.0
SRX3316556	815458.0	23086179.0
SRX3316557	1033973.0	25314664.0
SRX3316558	968259.0	21430416.0
SRX3316559	1254125.0	24561918.0
SRX3316560	1021873.0	25087735.0
SRX3316561	1418998.0	25431150.0
SRX3316625	1102802.0	23885907.0
SRX3316626	1424060.0	22963577.0
SRX3316627	1028607.0	24311813.0
SRX3316628	1112340.0	24210257.0
SRX3316629	883732.0	22574666.0
SRX3316630	1333834.0	28890536.0
SRX3316631	991560.0	27129634.0
SRX3316632	907342.0	22757942.0
SRX3316633	1329772.0	22356348.0
SRX3316634	1052363.0	23631124.0
SRX3316735	5309121.0	23353437.0
SRX3316736	4621982.0	26671441.0
SRX3316737	5387467.0	27255483.0
SRX3316738	4424273.0	25223300.0
SRX3316739	4174468.0	21296816.0
SRX3316740	6029660.0	13750817.0
SRX3316741	5118326.0	33002530.0
SRX3316742	4259946.0	25084872.0
SRX3316743	4560959.0	24690126.0
SRX3316744	2830743.0	5039297.0
SRX3316745	7560777.0	15406042.0
SRX3316746	7477105.0	14602882.0
SRX3316747	6115426.0	20942731.0
SRX3316748	4099946.0	22448619.0
SRX3316749	5722516.0	19341928.0
SRX3316750	4227992.0	23206630.0
SRX3316751	3952998.0	17865115.0
SRX3316752	2902341.0	14768784.0
SRX3316753	3863308.0	18852521.0
SRX3316754	3403864.0	16861088.0
SRX3316755	4498099.0	21523573.0
SRX3316756	3322164.0	15940253.0
SRX3316757	3521283.0	17181639.0
SRX3316758	4273421.0	21959151.0
SRX3411505	2667435.0	5146580.0
SRX3411506	2007032.0	2875332.0
SRX3411507	2530335.0	3391428.0
SRX3411508	1574090.0	3295151.0
SRX3411509	1936955.0	3456861.0
SRX3411510	3620986.0	1903786.0
SRX3411511	3461835.0	3138331.0
SRX3411512	2030294.0	2141005.0
SRX3411513	2624434.0	2646805.0
SRX3411514	3476623.0	1002826.0
SRX3411515	3503305.0	617463.0
SRX3411516	4489363.0	1215753.0
SRX3411517	4298881.0	1167231.0
SRX3411518	2355373.0	659462.0
SRX3411519	2789419.0	457180.0
SRX3411520	2387505.0	1067077.0
SRX3411521	3831795.0	1415085.0
SRX3411522	3393520.0	648432.0
SRX3411523	3895738.0	626085.0
