Sample	Reads passing filters
SRX3316631	28245148.0
SRX3316632	23753411.0
SRX3316633	23800514.0
SRX3316634	24759153.0
SRX3316735	28944636.0
SRX3316736	31479998.0
SRX3316737	32774790.0
SRX3316738	29745062.0
SRX3316739	25601885.0
SRX3316740	20011316.0
SRX3316741	38532596.0
SRX3316742	29438406.0
SRX3316743	29430860.0
SRX3316744	29759866.0
SRX3316745	24501164.0
SRX3316746	29756511.0
SRX3316747	27181796.0
SRX3316748	26691015.0
SRX3316749	25086705.0
SRX3316750	27652663.0
SRX3316751	21827042.0
SRX3316752	17747942.0
SRX3316753	22830102.0
SRX3316754	20338269.0
SRX3316755	26217919.0
SRX3316756	19360018.0
SRX3316757	20774807.0
SRX3316758	26464630.0
SRX3411505	8664510.0
SRX3411506	7763121.0
SRX3411507	7260175.0
SRX3411508	5873659.0
SRX3411509	7911166.0
SRX3411510	8069344.0
SRX3411511	7666246.0
SRX3411512	6574423.0
SRX3411513	7543296.0
SRX3411514	5670715.0
SRX3411515	4973875.0
SRX3411516	6094701.0
SRX3411517	5926984.0
SRX3411518	7846792.0
SRX3411519	3491011.0
SRX3411520	3637888.0
SRX3411521	6139479.0
SRX3411522	4440321.0
SRX3411523	4696244.0
SRX3411524	6481251.0
SRX3411525	4547533.0
SRX3541437	40341679.0
SRX3541438	32233246.0
SRX3541439	32720362.0
SRX3541440	30607899.0
SRX3541441	31270936.0
SRX3541442	34984365.0
SRX3541443	28370403.0
SRX3541444	28524609.0
SRX3541445	32841095.0
SRX3541446	36566911.0
SRX3541447	30554514.0
SRX3541448	26870527.0
SRX3541449	36439716.0
SRX3541450	30407552.0
SRX3541451	31506637.0
SRX3541452	22377044.0
SRX3541453	23818597.0
SRX5252024	13716389.0
SRX5252025	12062223.0
SRX5252026	9026043.0
SRX5252027	11343588.0
SRX5252028	15096381.0
SRX5252029	10012861.0
SRX5252030	11433816.0
SRX5252031	9833718.0
SRX5252032	13730958.0
SRX5252033	15771444.0
SRX5252034	10729389.0
SRX5252035	12168129.0
SRX5252036	11099660.0
SRX5252037	10478056.0
SRX5252038	9138625.0
SRX5252039	7625402.0
SRX5252040	15234277.0
SRX5252041	9695034.0
SRX5252042	10518723.0
SRX5252043	9722851.0
SRX5252044	9764983.0
SRX5252045	12777515.0
SRX5252046	8329302.0
SRX5252047	7183329.0
SRX5252048	10188598.0
SRX5252049	12100915.0
SRX5252050	9665305.0
SRX5252051	8288440.0
SRX5252052	11145865.0
SRX5252053	15401510.0
SRX5252054	11250696.0
SRX5252055	13551555.0
SRX5252056	15779162.0
SRX5252057	14080833.0
SRX5252058	15804604.0
SRX5252059	15471581.0
SRX5252060	10959515.0
SRX5252061	13313508.0
SRX5329169	28716903.0
SRX5329170	30836014.0
SRX5329171	33390854.0
SRX5329172	35368087.0
SRX5329173	30923166.0
SRX5329174	36900020.0
SRX5329175	33120928.0
SRX5329176	33943858.0
SRX5329177	32706613.0
SRX5329178	28689523.0
SRX5329179	31484834.0
SRX5329180	36930468.0
SRX5329181	31802803.0
SRX5329182	27609958.0
SRX5329183	38199489.0
SRX5329184	40683603.0
SRX5329185	22561485.0
SRX5329186	24039789.0
SRX5329187	27226711.0
SRX5329188	33164008.0
SRX5329189	31343712.0
SRX5329190	36903184.0
SRX5329191	37478678.0
SRX5329192	34294248.0
SRX5329193	35305646.0
SRX5329194	36487288.0
SRX6700162	37358855.0
SRX6700163	34246837.0
SRX6700164	41675613.0
SRX6700165	42557864.0
SRX6700166	36763815.0
SRX6700168	39959781.0
SRX6700169	35372372.0
SRX6700170	41221985.0
SRX6700171	44531620.0
SRX6700172	40413883.0
SRX6700173	35211323.0
SRX6700174	41194230.0
SRX6700175	36758439.0
SRX6700176	41437418.0
SRX6700177	29425882.0
SRX6700178	29428781.0
SRX6700179	40557986.0
SRX6700180	48302062.0
SRX6700181	33933614.0
SRX6700182	44142686.0
SRX6700183	30265252.0
SRX6700184	40303368.0
SRX6700185	38994162.0
SRX6922015	9479933.0
SRX6922016	5830798.0
SRX6922017	10739613.0
SRX6922018	8107854.0
SRX6922019	14503864.0
SRX6922020	8870399.0
SRX6922021	10970213.0
SRX6922023	8890888.0
SRX6922024	9580513.0
SRX6922025	9433735.0
SRX6922026	11954856.0
SRX6922027	11997303.0
SRX6922028	9979435.0
SRX6922029	9439806.0
SRX7101023	38601924.0
SRX7101024	35458017.0
SRX7101025	36397642.0
SRX7101026	32142905.0
SRX7101027	36165886.0
SRX7101028	38587949.0
SRX7101029	41120555.0
SRX7101030	36471868.0
SRX7101031	35245167.0
SRX7101032	38476340.0
SRX7101033	38077568.0
SRX7101034	40397480.0
SRX7101035	34433857.0
SRX7101036	79431504.0
SRX7101037	71594379.0
SRX7101038	80131547.0
SRX7101039	81185554.0
SRX7101040	83253400.0
SRX7101041	69879896.0
SRX7551986	6757618.0
SRX7551987	6423648.0
SRX7551988	4264158.0
SRX7551989	5796894.0
SRX7551990	6033161.0
SRX7551991	5273755.0
SRX8694706	3830848.0
SRX8694707	4391994.0
SRX8694708	4378565.0
SRX8694709	4243471.0
SRX8694710	5316375.0
SRX8694711	4168553.0
SRX8694712	4957862.0
SRX8694713	3869558.0
SRX8694714	4182219.0
SRX8694715	4433007.0
SRX8694716	4130502.0
SRX8694717	4957663.0
SRX8694718	4258353.0
SRX8694719	4146953.0
SRX8694720	3749418.0
SRX8694721	4175584.0
SRX8694722	4699736.0
SRX8694723	4305060.0
SRX8694724	4218356.0
SRX8694725	4386738.0
SRX8694726	5221117.0
SRX8694727	5404286.0
SRX8694728	5242710.0
SRX8694729	12544733.0
