Sample	not_aligned_percentage	not_aligned	reads_aligned	reads_aligned_percentage	reads_processed
SRX8694717	4.15	205857.0	4750416.0	95.85	4956273.0
SRX8694718	4.21	179316.0	4077911.0	95.79	4257227.0
SRX8694719	4.31	178863.0	3966901.0	95.69	4145764.0
SRX8694720	3.84	144081.0	3604379.0	96.16	3748460.0
SRX8694721	3.9	162652.0	4011932.0	96.1	4174584.0
SRX8694722	4.25	199789.0	4498516.0	95.75	4698305.0
SRX8694723	3.31	142270.0	4161959.0	96.69	4304229.0
SRX8694724	4.21	177615.0	4039680.0	95.79	4217295.0
SRX8694725	3.86	169168.0	4216526.0	96.14	4385694.0
SRX8694726	3.61	188604.0	5031564.0	96.39	5220168.0
SRX8694727	3.43	185069.0	5218005.0	96.57	5403074.0
SRX8694728	3.17	165994.0	5075592.0	96.83	5241586.0
SRX8694729	2.78	348111.0	12195148.0	97.22	12543259.0
