# Program:featureCounts v2.0.6; Command:"featureCounts" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX2037535_cds.txt" "SRX2037535.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX2037535.bam
ZCP4_0257	CP006818.1	295811	296335	+	525	4325
ZCP4_0258	CP006818.1	296378	296812	-	435	3053
ZCP4_0259	CP006818.1	296809	297213	-	405	5579
ZCP4_0260	CP006818.1	297346	297636	-	291	2112
ZCP4_0261	CP006818.1	297670	298053	-	384	4111
ZCP4_0262	CP006818.1	298071	298343	-	273	2654
ZCP4_0263	CP006818.1	298343	299011	-	669	12100
ZCP4_0264	CP006818.1	299014	299532	-	519	9128
ZCP4_0265	CP006818.1	299708	300784	+	1077	264
ZCP4_0266	CP006818.1	300999	301625	+	627	38135
ZCP4_0267	CP006818.1	301688	302110	-	423	13599
ZCP4_0268	CP006818.1	302507	303040	+	534	5402
ZCP4_0269	CP006818.1	303045	304265	+	1221	7773
ZCP4_0270	CP006818.1	304262	306001	-	1740	8798
ZCP4_0271	CP006818.1	306250	308496	-	2247	8497
ZCP4_0272	CP006818.1	308894	309673	-	780	76735
ZCP4_0273	CP006818.1	310008	310880	-	873	4833
ZCP4_0274	CP006818.1	310880	311716	-	837	4332
ZCP4_0275	CP006818.1	311725	312684	-	960	13367
ZCP4_0276	CP006818.1	312779	313819	-	1041	3348
ZCP4_0277	CP006818.1	314085	315671	+	1587	829
ZCP4_0278	CP006818.1	315757	316221	-	465	29245
ZCP4_0279	CP006818.1	316452	317078	+	627	1774
ZCP4_0280	CP006818.1	317101	318138	+	1038	1408
ZCP4_0281	CP006818.1	318226	318780	+	555	1210
ZCP4_0283	CP006818.1	319021	322233	-	3213	6371
ZCP4_0284	CP006818.1	322981	324822	+	1842	17070
ZCP4_0286	CP006818.1	325337	326563	-	1227	19796
ZCP4_0287	CP006818.1	326823	327440	+	618	3156
ZCP4_0288	CP006818.1	327561	328808	-	1248	2750
ZCP4_0289	CP006818.1	328864	330039	-	1176	4158
ZCP4_0290	CP006818.1	330199	330963	-	765	3581
ZCP4_0291	CP006818.1	331008	331925	-	918	7753
ZCP4_0292	CP006818.1	332006	332608	-	603	5808
ZCP4_0293	CP006818.1	332595	332783	-	189	18363
ZCP4_0294	CP006818.1	332820	334838	-	2019	29438
