Sample	Unassigned_MultiMapping	Unassigned_rRNA	Unassigned_Duplicate	Unassigned_Ambiguity	Unassigned_Secondary	Unassigned_Read_Type	Unassigned_Overlapping_Length	Unassigned_Unmapped	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_NonSplit	Unassigned_NoFeatures	Total	Unassigned_Chimera	percent_assigned	Unassigned_FragmentLength	Assigned	reads_aligned	not_aligned	not_aligned_percentage	reads_aligned_percentage	reads_processed	per_sequence_gc_content	per_base_sequence_quality	per_sequence_quality_scores	sequence_length_distribution	total_deduplicated_percentage	Encoding	sequence_duplication_levels	Total Sequences	Sequence length	per_base_sequence_content	%GC	per_tile_sequence_quality	per_base_n_content	Sequences flagged as poor quality	File type	median_sequence_length	adapter_content	Filename	Total Bases	basic_statistics	overrepresented_sequences	avg_sequence_length	quality_trimmed	cutadapt_version	r_processed	r_with_adapters	r_written	bp_written	percent_trimmed	bp_processed	pe_antisense	pe_sense	failed	se_sense	se_antisense
SRX18804551	0	91419	0	8070	0	0	550534	4211526	0	0	0	1021161	16338288	0	63.99433037	0	10455578	6063381	2105763	25.78	74.22	8169144	pass	pass	pass	warn	20.12000117	Sanger / Illumina 1.9	fail	8169144	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX18804551_val_2.fq.gz	1.2 Gbp	pass	warn	148.7215685	684446	4.4	8170000	2634925	8170000	1219669077	0.47579951	1225500000	0.3342	0.0275	0.6383		
SRX18804552	0	134409	0	5770	0	0	331302	5905634	0	0	0	1347472	16398946	0	52.89583245	0	8674359	5246656	2952817	36.01	63.99	8199473	warn	pass	pass	warn	19.97021474	Sanger / Illumina 1.9	fail	8199473	20-150	fail	50	pass	pass	0	Conventional base calls	150	pass	SRX18804552_val_2.fq.gz	1.2 Gbp	pass	pass	147.980833	822226	4.4	8200431	2832591	8200431	1217703425	1.004924822	1230064650	0.3292	0.0533	0.6174		
SRX18804553	0	99202	0	7007	0	0	436471	4684064	0	0	0	1294617	17010676	0	61.6631285	0	10489315	6163306	2342032	27.54	72.46	8505338	warn	pass	pass	warn	20.39859487	Sanger / Illumina 1.9	fail	8505338	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX18804553_val_2.fq.gz	1.2 Gbp	pass	warn	148.3335963	1027975	4.4	8506333	2689058	8506333	1266236298	0.761287855	1275949950	0.3367	0.0365	0.6268		
SRX18804554	0	70334	0	7106	0	0	308436	4244500	0	0	0	1008331	15747968	0	64.19406618	0	10109261	5751734	2122250	26.95	73.05	7873984	pass	pass	pass	warn	19.5334965	Sanger / Illumina 1.9	fail	7873984	20-150	fail	50	pass	pass	0	Conventional base calls	150	pass	SRX18804554_val_2.fq.gz	1.1 Gbp	pass	pass	148.1307465	877181	4.4	7874773	2500151	7874773	1170505099	0.906764847	1181215950	0.3011	0.0336	0.6653		
SRX19817112	0	408895	0	5685	0	0	237214	15826574	0	0	0	271458	21830300	0	23.27257985	0	5080474	3001863	7913287	72.5	27.5	10915150	warn	pass	pass	warn	45.78507901	Sanger / Illumina 1.9	fail	10915150	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX19817112_val_2.fq.gz	1.6 Gbp	pass	warn	146.774547	2694834	4.4	11150484	4043471	11150484	1609413577	3.776160329	1672572600	0.3511	0.0166	0.6323		
SRX19817113	0	452818	0	5203	0	0	223967	14020068	0	0	0	254321	19592706	0	23.66354602	0	4636329	2786319	7010034	71.56	28.44	9796353	warn	pass	pass	warn	46.04151796	Sanger / Illumina 1.9	fail	9796353	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX19817113_val_2.fq.gz	1.4 Gbp	pass	warn	146.4833741	1250678	4.4	10078022	4082860	10078022	1442962234	4.547259108	1511703300	0.3651	0.0165	0.6183		
SRX19817114	0	562478	0	6532	0	0	288167	13815920	0	0	0	356794	20830918	0	27.8481582	0	5801027	3507499	6907960	66.32	33.68	10415459	warn	pass	pass	warn	46.2264758	Sanger / Illumina 1.9	fail	10415459	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX19817114_val_2.fq.gz	1.5 Gbp	pass	warn	146.4610907	1530769	4.4	10715450	4355983	10715450	1533637558	4.584031593	1607317500	0.3628	0.018	0.6192		
SRX19817115	0	318634	0	5545	0	0	241529	15653776	0	0	0	261192	21339120	0	22.76778049	0	4858444	2842672	7826888	73.36	26.64	10669560	warn	pass	pass	warn	52.60156439	Sanger / Illumina 1.9	warn	10669560	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX19817115_val_2.fq.gz	1.5 Gbp	pass	warn	146.9994113	2881717	4.4	10910360	3921266	10910360	1575737365	3.716139828	1636554000	0.3422	0.017	0.6408		
SRX19817116	0	310747	0	5390	0	0	253916	15144736	0	0	0	273164	20876436	0	23.41627182	0	4888483	2865850	7572368	72.54	27.46	10438218	warn	pass	pass	warn	47.87627001	Sanger / Illumina 1.9	fail	10438218	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX19817116_val_2.fq.gz	1.5 Gbp	pass	pass	147.0830005	2472213	4.4	10668318	3810382	10668318	1542442474	3.612267401	1600247700	0.3483	0.0192	0.6325		
SRX19817117	0	425330	0	7333	0	0	327012	14818228	0	0	0	350498	22343788	0	28.71217271	0	6415387	3762780	7409114	66.32	33.68	11171894	warn	pass	pass	warn	48.24963864	Sanger / Illumina 1.9	fail	11171894	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX19817117_val_2.fq.gz	1.6 Gbp	pass	pass	147.0188261	1279456	4.4	11431887	4492280	11431887	1651070546	3.715484825	1714783050	0.3492	0.0175	0.6333		
SRX2036088	0	38124513	0	2043	0	0	146069	2979086	0	0	0	3377427	46848459	0	4.737233726	0	2219321	43869373	2979086	6.36	93.64	46848459	warn	pass	pass	warn	7.644980531	Sanger / Illumina 1.9	fail	46848459	18-50	fail	52	pass	pass	0	Conventional base calls	49	pass	SRX2036088_trimmed.fq.gz	2.1 Gbp	pass	fail	46.24061107	21687237	4.4	47122765	22025321	47122765	2168269096	7.97360486	2356138250			0.072	0.9209	0.0072
SRX2036089	0	35845495	0	2101	0	0	151156	2888433	0	0	0	2802030	43849209	0	4.92595887	0	2159994	40960776	2888433	6.59	93.41	43849209	warn	pass	pass	warn	8.257397753	Sanger / Illumina 1.9	fail	43849209	18-50	fail	52	pass	pass	0	Conventional base calls	49	pass	SRX2036089_trimmed.fq.gz	2 Gbp	pass	fail	46.20303146	18654466	4.4	44021704	20715667	44021704	2027828530	7.871420425	2201085200			0.0651	0.9272	0.0077
SRX2036090	0	35968153	0	1702	0	0	145533	2375431	0	0	0	2332749	42895167	0	4.82944617	0	2071599	40519736	2375431	5.54	94.46	42895167	warn	pass	pass	warn	7.50627525	Sanger / Illumina 1.9	fail	42895167	18-50	fail	52	fail	pass	0	Conventional base calls	49	pass	SRX2036090_trimmed.fq.gz	1.9 Gbp	pass	fail	46.08381375	16750465	4.4	43140551	20787123	43140551	1978759725	8.264513126	2157027550			0.0607	0.9335	0.0058
SRX2036091	0	33922103	0	1617	0	0	127466	2592628	0	0	0	2608937	40935915	0	4.111704844	0	1683164	38343287	2592628	6.33	93.67	40935915	warn	pass	pass	warn	7.485651453	Sanger / Illumina 1.9	fail	40935915	18-50	fail	52	fail	pass	0	Conventional base calls	49	pass	SRX2036091_trimmed.fq.gz	1.8 Gbp	pass	fail	46.00267596	14239930	4.4	41135979	19115369	41135979	1885123910	8.346709823	2056798950			0.0641	0.9293	0.0065
SRX2036300	0	1436427	0	10088	0	0	1373462	7571320	0	0	0	3642176	26877810	0	47.78788525	0	12844337	9653245	3785660	28.17	71.83	13438905	warn	pass	pass	warn	13.63107462	Sanger / Illumina 1.9	fail	13438905	20-101	fail	44	warn	pass	0	Conventional base calls	100	pass	SRX2036300_val_1.fq.gz	1.3 Gbp	pass	warn	97.64551026	90407957	4.4	13813229	5397229	13813229	1288176329	7.66662104	1395136129	0.4392	0.0865	0.4743		
SRX2036303	0	1338265	0	8989	0	0	1336807	7358820	0	0	0	3321132	24621390	0	45.72193934	0	11257377	8631285	3679410	29.89	70.11	12310695	warn	pass	pass	warn	13.90428577	Sanger / Illumina 1.9	fail	12310695	20-101	fail	43	warn	pass	0	Conventional base calls	100	pass	SRX2036303_val_1.fq.gz	1.2 Gbp	pass	warn	97.61116428	80706729	4.4	12645131	4983667	12645131	1181689851	7.475062814	1277158231	0.4473	0.0916	0.461		
SRX2036305	0	2147157	0	10957	0	0	1592902	8801230	0	0	0	3767079	30096080	0	45.77591168	0	13776755	10647425	4400615	29.24	70.76	15048040	pass	pass	pass	warn	12.65716993	Sanger / Illumina 1.9	fail	15048040	20-101	fail	44	warn	pass	0	Conventional base calls	100	pass	SRX2036305_val_1.fq.gz	1.4 Gbp	pass	warn	97.59946864	28767988	4.4	15473052	5951235	15473052	1514462714	3.091643868	1562778252	0.4498	0.0819	0.4682		
SRX2036307	0	727617	0	12159	0	0	1695512	9697796	0	0	0	4277935	31462004	0	47.83860875	0	15050985	10882104	4848898	30.82	69.18	15731002	pass	pass	pass	warn	13.79844403	Sanger / Illumina 1.9	fail	15731002	20-101	fail	44	warn	pass	0	Conventional base calls	100	pass	SRX2036307_val_1.fq.gz	1.5 Gbp	pass	warn	97.47493287	96294550	4.4	16122699	6472836	16122699	1510101996	7.26425575	1628392599	0.4047	0.0917	0.5035		
SRX2037533	0	907149	0	21237	0	0	1293138	5440221	0	0	0	5504166	36872669	0	64.29357745	0	23706758	31432448	5440221	14.75	85.25	36872669	warn	pass	pass	warn	11.98992116	Sanger / Illumina 1.9	fail	36872669	20-50	fail	45	warn	pass	0	Conventional base calls	50	pass	SRX2037533_trimmed.fq.gz	1.8 Gbp	pass	warn	49.21141439	14358083	4.4	36895710	11506480	36895710	1814776611	1.626687168	1844785500			0.5031	0.0654	0.4315
SRX2037535	0	791497	0	22739	0	0	1345553	5722119	0	0	0	5485548	38527589	0	65.30419799	0	25160133	32805470	5722119	14.85	85.15	38527589	warn	pass	pass	warn	12.10108207	Sanger / Illumina 1.9	fail	38527589	20-50	fail	45	warn	pass	0	Conventional base calls	50	pass	SRX2037535_trimmed.fq.gz	1.8 Gbp	pass	warn	49.20217343	15383107	4.4	38550121	11954148	38550121	1895883373	1.640600661	1927506050			0.5114	0.0642	0.4244
SRX2037536	0	3739956	0	29551	0	0	1440544	14750174	0	0	0	4974996	48628233	0	48.72274919	0	23693012	33878059	14750174	30.33	69.67	48628233	fail	pass	pass	warn	10.88308627	Sanger / Illumina 1.9	fail	48628233	20-50	fail	43	warn	pass	0	Conventional base calls	50	pass	SRX2037536_trimmed.fq.gz	2.3 Gbp	pass	warn	49.1586676	22695615	4.4	48685855	14419112	48685855	2391103046	1.774219802	2434292750			0.4987	0.0609	0.4403
SRX2037537	0	5309573	0	35684	0	0	1835817	16467614	0	0	0	6283417	58473337	0	48.81067759	0	28541232	42005723	16467614	28.16	71.84	58473337	fail	pass	pass	warn	9.583816845	Sanger / Illumina 1.9	fail	58473337	20-50	fail	44	warn	pass	0	Conventional base calls	50	pass	SRX2037537_trimmed.fq.gz	2.8 Gbp	pass	warn	49.15974074	26374386	4.4	58540743	17871805	58540743	2875189235	1.771344617	2927037150			0.4865	0.0626	0.4509
SRX2037538	0	1263746	0	31993	0	0	1749342	8485132	0	0	0	8913031	49080871	0	58.3478378	0	28637627	40595739	8485132	17.29	82.71	49080871	pass	pass	pass	warn	8.303137384	Sanger / Illumina 1.9	fail	49080871	20-50	fail	45	fail	warn	0	Conventional base calls	50	pass	SRX2037538_trimmed.fq.gz	2.4 Gbp	pass	warn	49.25594619	15954058	4.4	49097767	15622595	49097767	2417695058	1.515070614	2454888350			0.4662	0.0595	0.4743
SRX2037540	0	1165212	0	24732	0	0	1449302	6807265	0	0	0	7940687	40585163	0	57.15873311	0	23197965	33777898	6807265	16.77	83.23	40585163	pass	pass	pass	warn	10.58017461	Sanger / Illumina 1.9	fail	40585163	20-50	fail	45	fail	warn	0	Conventional base calls	50	pass	SRX2037540_trimmed.fq.gz	1.9 Gbp	pass	warn	49.26099903	12977131	4.4	40599173	12975310	40599173	1999403020	1.505234109	2029958650			0.4557	0.0605	0.4838
SRX2037541	0	1207297	0	24466	0	0	1363318	10283616	0	0	0	8312383	42076571	0	49.63686561	0	20885491	31792955	10283616	24.44	75.56	42076571	fail	pass	pass	warn	12.90399306	Sanger / Illumina 1.9	fail	42076571	20-50	fail	45	fail	warn	0	Conventional base calls	50	pass	SRX2037541_trimmed.fq.gz	2 Gbp	pass	warn	49.20035889	16947758	4.4	42112459	13004307	42112459	2070505928	1.66777352	2105622950			0.4512	0.0593	0.4895
SRX2037542	0	1453378	0	28179	0	0	1508913	12155635	0	0	0	9248715	48195731	0	49.38385725	0	23800911	36040096	12155635	25.22	74.78	48195731	fail	pass	pass	warn	11.3237214	Sanger / Illumina 1.9	fail	48195731	20-50	fail	45	fail	warn	0	Conventional base calls	50	pass	SRX2037542_trimmed.fq.gz	2.3 Gbp	pass	warn	49.17566326	20643988	4.4	48235348	14818326	48235348	2370437307	1.713684869	2411767400			0.4522	0.0576	0.4902
SRX2037691	0	3049651	0	9968	0	0	1079188	11483508	0	0	0	3978940	33534170	0	41.54841166	0	13932915	11025331	5741754	34.24	65.76	16767085	fail	pass	pass	warn	18.27705049	Sanger / Illumina 1.9	fail	16767085	20-101	fail	42	warn	pass	0	Conventional base calls	100	warn	SRX2037691_val_1.fq.gz	1.6 Gbp	pass	warn	96.7163894	50854861	4.4	17360891	7048201	17360891	1679834256	4.198336729	1753449991	0.5292	0.0522	0.4187		
SRX2037693	0	8784548	0	9022	0	0	845578	9307020	0	0	0	3538876	33813862	0	33.50347263	0	11328818	12253421	4653510	27.52	72.48	16906931	fail	pass	pass	warn	14.08967289	Sanger / Illumina 1.9	fail	16906931	20-101	fail	45	warn	pass	0	Conventional base calls	100	pass	SRX2037693_val_1.fq.gz	1.6 Gbp	pass	warn	96.9466048	137197825	4.4	17495753	6810165	17495753	1605590076	9.138340913	1767071053	0.6376	0.039	0.3233		
SRX2037695	0	3699776	0	9635	0	0	957204	8867002	0	0	0	3796317	29194460	0	40.63964876	0	11864526	10163729	4433501	30.37	69.63	14597230	fail	pass	pass	warn	15.41133084	Sanger / Illumina 1.9	fail	14597230	20-101	fail	45	warn	pass	0	Conventional base calls	100	pass	SRX2037695_val_1.fq.gz	1.4 Gbp	pass	warn	97.27198064	34722891	4.4	15074813	5808478	15074813	1468599948	3.543788274	1522556113	0.557	0.0492	0.3938		
SRX2037697	0	3894799	0	10256	0	0	971741	9278222	0	0	0	4036323	30740980	0	40.82380913	0	12549639	10731379	4639111	30.18	69.82	15370490	fail	pass	pass	warn	15.13737771	Sanger / Illumina 1.9	fail	15370490	20-101	fail	45	warn	pass	0	Conventional base calls	100	pass	SRX2037697_val_1.fq.gz	1.5 Gbp	pass	warn	97.22557173	117480812	4.4	15868699	6059070	15868699	1466525036	8.498800933	1602738599	0.5499	0.0496	0.4005		
SRX2037699	0	2057954	0	8089	0	0	1069415	12245204	0	0	0	3454892	31883374	0	40.92358607	0	13047820	9819085	6122602	38.41	61.59	15941687	fail	pass	pass	warn	18.69106869	Sanger / Illumina 1.9	fail	15941687	20-101	fail	40	fail	pass	0	Conventional base calls	100	warn	SRX2037699_val_2.fq.gz	1.5 Gbp	pass	warn	94.53043608	51946788	4.4	16502828	6611070	16502828	1596965415	4.188913789	1666785628	0.5029	0.0586	0.4385		
SRX2037713	0	2452686	0	8412	0	0	1055101	13775338	0	0	0	4113664	33224418	0	35.57388725	0	11819217	9724540	6887669	41.46	58.54	16612209	fail	pass	pass	warn	18.13339835	Sanger / Illumina 1.9	fail	16612209	20-101	fail	37	warn	pass	0	Conventional base calls	100	fail	SRX2037713_val_1.fq.gz	1.6 Gbp	pass	fail	96.43748197	141154283	4.4	17264498	6595407	17264498	1584889846	9.108398789	1743714298	0.5219	0.0609	0.4172		
SRX2037715	0	3769418	0	9932	0	0	968214	13431060	0	0	0	4235033	34487552	0	35.00942891	0	12073895	10528246	6715530	38.94	61.06	17243776	fail	pass	pass	warn	17.53621976	Sanger / Illumina 1.9	fail	17243776	20-101	fail	39	warn	pass	0	Conventional base calls	100	fail	SRX2037715_val_1.fq.gz	1.6 Gbp	pass	fail	96.43351584	63219554	4.4	17969097	7528417	17969097	1730160198	4.668003127	1814878797	0.5296	0.0512	0.4192		
SRX2037717	0	5761615	0	7370	0	0	669414	7713832	0	0	0	2932579	26044632	0	34.40179919	0	8959822	9165400	3856916	29.62	70.38	13022316	fail	pass	pass	warn	15.97399853	Sanger / Illumina 1.9	fail	13022316	20-101	fail	45	warn	pass	0	Conventional base calls	100	pass	SRX2037717_val_1.fq.gz	1.2 Gbp	pass	warn	97.21719731	103526586	4.4	13464928	5081909	13464928	1241781388	8.689706861	1359957728	0.6118	0.0412	0.347		
SRX2116174	0	2189144	0	1069	0	0	87110	3250662	0	0	0	288200	7269388	0	19.99071999	0	1453203	2009363	1625331	44.72	55.28	3634694	fail	pass	pass	warn	37.72816779	Sanger / Illumina 1.9	fail	3634694	20-151	warn	38		pass	0	Conventional base calls	151	fail	SRX2116174_val_2.fq.gz	526.9 Mbp	pass	fail	145.1115414	15563534	4.4	3645705	1632460	3645705	527116173	4.247996402	550501455	0.6952	0.0307	0.2741		
SRX2116175	0	2243059	0	1020	0	0	77629	3851506	0	0	0	288999	7799350	0	17.14421074	0	1337137	1973922	1925753	49.38	50.62	3899675	fail	pass	pass	warn	42.56196393	Sanger / Illumina 1.9	fail	3899675	20-151	fail	37		pass	0	Conventional base calls	151	fail	SRX2116175_val_2.fq.gz	564.9 Mbp	pass	fail	145.0249931	8752860	4.4	3909093	1451159	3909093	572512914	3.00879893	590273043	0.7151	0.0314	0.2535		
SRX2116176	0	2000754	0	1795	0	0	168803	1810742	0	0	0	232905	6934140	0	39.21381743	0	2719141	2561699	905371	26.11	73.89	3467070	warn	pass	pass	warn	22.91714759	Sanger / Illumina 1.9	fail	3467070	20-151	warn	48		pass	0	Conventional base calls	151	pass	SRX2116176_val_2.fq.gz	504.7 Mbp	pass	warn	145.6424606	1464233	4.4	3471822	1379001	3471822	511074352	2.512330482	524245122	0.6405	0.0171	0.3423		
SRX21659709	0	3637729	0	6979	0	0	402722	4069058	0	0	0	1065479	20465306	0	55.13398627	0	11283339	8198124	2034529	19.88	80.12	10232653	warn	pass	pass	warn	12.32422329	Sanger / Illumina 1.9	fail	10232653	20-150	fail	49		pass	0	Conventional base calls	150	pass	SRX21659709_val_2.fq.gz	1.5 Gbp	pass	warn	146.7756559	4249171	4.4	10250710	3992518	10250710	1506876671	1.998549629	1537606500	0.5378	0.0077	0.4545		
SRX21659710	0	2654110	0	8326	0	0	487409	4651446	0	0	0	984666	22397644	0	60.77285182	0	13611687	8873099	2325723	20.77	79.23	11198822	pass	pass	pass	warn	11.27605423	Sanger / Illumina 1.9	fail	11198822	20-150	fail	49		pass	0	Conventional base calls	150	pass	SRX21659710_val_1.fq.gz	1.6 Gbp	pass	warn	147.3449282	412742	4.4	11218530	4397548	11218530	1658911787	1.418350592	1682779500	0.4853	0.0083	0.5065		
SRX21659711	0	8685666	0	17393	0	0	947885	9562520	0	0	0	2406796	50174648	0	56.90999168	0	28554388	20306064	4781260	19.06	80.94	25087324	pass	pass	pass	warn	7.826846548	Sanger / Illumina 1.9	fail	25087324	20-150	fail	49		pass	0	Conventional base calls	150	pass	SRX21659711_val_1.fq.gz	3.6 Gbp	pass	fail	146.686456	8653523	4.4	25122588	9780339	25122588	3691217838	2.047834721	3768388200	0.523	0.0072	0.4698		
SRX22720559	0	412148	0	21789	0	0	1454869	6396036	0	0	0	1934733	36281780	0	71.83276289	0	26062205	14942872	3198018	17.63	82.37	18140890	pass	pass	pass	warn	22.11694325	Sanger / Illumina 1.9	fail	18140890	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720559_val_1.fq.gz	1.8 Gbp	pass	warn	99.2268096	1154726	4.4	18141718	5742112	18141718	1805160701	0.496705935	1814171800	0.3832	0.024	0.5928		
SRX22720560	0	440628	0	22510	0	0	1428434	6257946	0	0	0	1909429	36224076	0	72.23132206	0	26165129	14983065	3128973	17.28	82.72	18112038	pass	pass	pass	warn	23.50573929	Sanger / Illumina 1.9	fail	18112038	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720560_val_1.fq.gz	1.8 Gbp	pass	warn	99.22400119	716346	4.4	18112321	6085623	18112321	1802350465	0.490364266	1811232100	0.3911	0.0247	0.5842		
SRX22720561	0	211313	0	19066	0	0	1366649	5963654	0	0	0	2394858	36197170	0	72.49635814	0	26241630	15116758	2981827	16.48	83.52	18098585	pass	pass	pass	warn	21.24066928	Sanger / Illumina 1.9	fail	18098585	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720561_val_1.fq.gz	1.8 Gbp	pass	warn	99.24319951	1070459	4.4	18098862	5443810	18098862	1801563373	0.459853608	1809886200	0.4002	0.02	0.5798		
SRX22720562	0	345390	0	20062	0	0	1321235	6112056	0	0	0	2668455	36070022	0	70.98089377	0	25602824	14978983	3056028	16.94	83.06	18035011	pass	pass	pass	warn	22.48989099	Sanger / Illumina 1.9	fail	18035011	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720562_val_1.fq.gz	1.7 Gbp	pass	warn	99.22925592	1137430	4.4	18035347	5434976	18035347	1795171441	0.463714893	1803534700	0.4078	0.0218	0.5703		
SRX22720563	0	292737	0	19565	0	0	1359053	6257016	0	0	0	2317028	36080466	0	71.60402806	0	25835067	14911725	3128508	17.34	82.66	18040233	pass	pass	pass	warn	20.11731371	Sanger / Illumina 1.9	fail	18040233	18-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720563_val_1.fq.gz	1.7 Gbp	pass	warn	99.27642309	686715	4.4	18044459	5643906	18044459	1796220424	0.455844977	1804445900	0.3881	0.0205	0.5913		
SRX22720564	0	347571	0	19182	0	0	1384331	6073072	0	0	0	2126231	36290420	0	72.58122943	0	26340033	15108674	3036536	16.73	83.27	18145210	pass	pass	pass	warn	20.84791674	Sanger / Illumina 1.9	fail	18145210	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720564_val_1.fq.gz	1.8 Gbp	pass	warn	99.24434085	637521	4.4	18145433	6006957	18145433	1805933119	0.474509536	1814543300	0.381	0.0199	0.5991		
SRX22720565	0	466316	0	21272	0	0	1300704	6398086	0	0	0	2183693	36103684	0	71.27697273	0	25733613	14852799	3199043	17.72	82.28	18051842	pass	pass	pass	warn	22.67138466	Sanger / Illumina 1.9	fail	18051842	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720565_val_1.fq.gz	1.7 Gbp	pass	warn	99.22331427	1074829	4.4	18052198	5430021	18052198	1796929988	0.459213443	1805219800	0.4108	0.0198	0.5694		
SRX22720566	0	381931	0	21856	0	0	1323465	6836080	0	0	0	2148664	36227166	0	70.43104062	0	25515170	14695543	3418040	18.87	81.13	18113583	pass	pass	pass	warn	23.49725711	Sanger / Illumina 1.9	fail	18113583	18-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720566_val_1.fq.gz	1.8 Gbp	pass	warn	99.27251113	1190582	4.4	18117383	6260817	18117383	1801410002	0.570076705	1811738300	0.406	0.022	0.572		
SRX22720567	0	351070	0	20416	0	0	1327387	6062450	0	0	0	2111677	36046812	0	72.61061533	0	26173812	14992181	3031225	16.82	83.18	18023406	pass	pass	pass	warn	22.44615851	Sanger / Illumina 1.9	fail	18023406	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720567_val_1.fq.gz	1.7 Gbp	pass	warn	99.2303882	714314	4.4	18023669	5995343	18023669	1793617188	0.485456762	1802366900	0.3949	0.019	0.5861		
SRX22720568	0	363004	0	19747	0	0	1350469	6113690	0	0	0	2163214	36073100	0	72.25044701	0	26062976	14979705	3056845	16.95	83.05	18036550	pass	pass	pass	warn	20.49004461	Sanger / Illumina 1.9	fail	18036550	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720568_val_2.fq.gz	1.7 Gbp	pass	pass	99.26755871	715771	4.4	18036853	6035949	18036853	1794843444	0.490210571	1803685300	0.3992	0.0191	0.5816		
SRX22720569	0	681638	0	21765	0	0	1293320	6253634	0	0	0	2234947	36178738	0	71.01804933	0	25693434	14962552	3126817	17.29	82.71	18089369	pass	pass	pass	warn	20.76094289	Sanger / Illumina 1.9	fail	18089369	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720569_val_2.fq.gz	1.8 Gbp	pass	warn	99.26994325	1143838	4.4	18089662	5439121	18089662	1800596256	0.462692117	1808966200	0.3888	0.0212	0.5901		
SRX22720570	0	341382	0	21502	0	0	1293960	6273310	0	0	0	2325758	36235568	0	71.69656068	0	25979656	14981129	3136655	17.31	82.69	18117784	pass	pass	pass	warn	21.97338184	Sanger / Illumina 1.9	fail	18117784	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720570_val_1.fq.gz	1.8 Gbp	pass	warn	99.23823245	665397	4.4	18118096	6034058	18118096	1803118447	0.47969461	1811809600	0.3858	0.0208	0.5933		
SRX22720571	0	152897	0	20735	0	0	1577717	5940614	0	0	0	2103696	36267204	0	72.99031103	0	26471545	15163295	2970307	16.38	83.62	18133602	pass	pass	pass	warn	21.71403389	Sanger / Illumina 1.9	fail	18133602	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720571_val_1.fq.gz	1.8 Gbp	pass	warn	99.22499192	1135426	4.4	18133871	5420635	18133871	1805022065	0.4612934	1813387100	0.3949	0.0258	0.5793		
SRX22720572	0	111597	0	19708	0	0	1480218	5772394	0	0	0	3054043	36129734	0	71.109779	0	25691774	15178670	2886197	15.98	84.02	18064867	pass	pass	pass	warn	21.20201999	Sanger / Illumina 1.9	fail	18064867	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720572_val_1.fq.gz	1.7 Gbp	pass	warn	99.23390313	1123239	4.4	18065206	5564511	18065206	1798017460	0.47069156	1806520600	0.4222	0.0249	0.5529		
SRX22720574	0	290308	0	24158	0	0	1436532	6813982	0	0	0	1909897	36162400	0	71.03378924	0	25687523	14674209	3406991	18.84	81.16	18081200	pass	pass	pass	warn	21.28785634	Sanger / Illumina 1.9	fail	18081200	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720574_val_1.fq.gz	1.7 Gbp	pass	pass	99.22776077	526013	4.4	18081492	6139761	18081492	1799345875	0.486869391	1808149200	0.4073	0.0264	0.5663		
SRX22720575	0	337661	0	23340	0	0	1423473	6747748	0	0	0	1820734	36026706	0	71.26310687	0	25673750	14639479	3373874	18.73	81.27	18013353	pass	pass	pass	warn	21.82394451	Sanger / Illumina 1.9	fail	18013353	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720575_val_1.fq.gz	1.7 Gbp	pass	pass	99.22570018	1325507	4.4	18013629	5330998	18013629	1792948246	0.467127085	1801362900	0.4038	0.0261	0.5701		
SRX22720576	0	260309	0	21475	0	0	1528871	5999718	0	0	0	1920870	36088576	0	73.03511505	0	26357333	15044429	2999859	16.62	83.38	18044288	pass	pass	pass	warn	22.71497822	Sanger / Illumina 1.9	fail	18044288	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720576_val_1.fq.gz	1.7 Gbp	pass	warn	99.2246558	1207960	4.4	18044592	5382076	18044592	1796074628	0.464658442	1804459200	0.3891	0.0261	0.5848		
