Sample	Unassigned_MultiMapping	Unassigned_rRNA	Unassigned_Duplicate	Unassigned_Ambiguity	Unassigned_Secondary	Unassigned_Read_Type	Unassigned_Overlapping_Length	Unassigned_Unmapped	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_NonSplit	Unassigned_NoFeatures	Total	Unassigned_Chimera	percent_assigned	Unassigned_FragmentLength	Assigned	reads_aligned	not_aligned	not_aligned_percentage	reads_aligned_percentage	reads_processed	per_sequence_gc_content	per_base_sequence_quality	per_sequence_quality_scores	sequence_length_distribution	total_deduplicated_percentage	Encoding	sequence_duplication_levels	Total Sequences	Sequence length	per_base_sequence_content	%GC	per_tile_sequence_quality	per_base_n_content	Sequences flagged as poor quality	File type	median_sequence_length	adapter_content	Filename	Total Bases	basic_statistics	overrepresented_sequences	avg_sequence_length	quality_trimmed	cutadapt_version	r_processed	r_with_adapters	r_written	bp_written	percent_trimmed	bp_processed	pe_antisense	pe_sense	failed	se_sense	se_antisense
SRX14953923	0	1830569	0	10109	0	0	881175	53018814	0	0	0	1958871	73680258	0	21.68928344	0	15980720	10330722	26509407	71.96	28.04	36840129	fail	pass	pass	warn	8.300922124	Sanger / Illumina 1.9	fail	36840129	20-100	fail	51		pass	0	Conventional base calls	100	pass	SRX14953923_val_2.fq.gz	3.6 Gbp	pass	warn	98.97929777	6013684	4.4	36930468	12275822	36930468	3667468799	0.692598886	3693046800	0.4159	0.0406	0.5435		
SRX14953924	0	485284	0	22242	0	0	1827605	12698926	0	0	0	3970927	55055086	0	65.48005756	0	36050102	21178080	6349463	23.07	76.93	27527543	fail	pass	pass	warn	10.10867623	Sanger / Illumina 1.9	fail	27527543	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX14953924_val_2.fq.gz	2.7 Gbp	pass	warn	98.86668447	4834760	4.4	27609958	8876127	27609958	2740837186	0.73012114	2760995800	0.3688	0.0348	0.5964		
SRX14953925	0	1064961	0	3002	0	0	286786	54399672	0	0	0	602770	61533360	0	8.411971977	0	5176169	3566844	27199836	88.41	11.59	30766680	fail	pass	pass	warn	6.434306249	Sanger / Illumina 1.9	fail	30766680	20-100	fail	53		pass	0	Conventional base calls	100	pass	SRX14953925_val_2.fq.gz	3 Gbp	pass	fail	98.90383824	27388235	4.4	30923166	7888698	30923166	3051157120	1.331024126	3092316600	0.452	0.0333	0.5147		
SRX14953926	0	1272084	0	11408	0	0	1116026	29232122	0	0	0	2529818	54202154	0	36.97398447	0	20040696	12485016	14616061	53.93	46.07	27101077	fail	pass	pass	warn	10.03546339	Sanger / Illumina 1.9	fail	27101077	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX14953926_val_2.fq.gz	2.6 Gbp	pass	fail	98.84904331	21721595	4.4	27226711	8174986	27226711	2687203851	1.302663733	2722671100	0.3886	0.0433	0.568		
SRX14953927	0	2831701	0	6258	0	0	576762	51067144	0	0	0	1497562	66802128	0	16.2011321	0	10822701	7867492	25533572	76.45	23.55	33401064	fail	pass	pass	warn	8.232486267	Sanger / Illumina 1.9	fail	33401064	20-100	fail	52		pass	0	Conventional base calls	100	pass	SRX14953927_val_2.fq.gz	3.2 Gbp	pass	fail	98.47462817	20725209	4.4	34294248	12900026	34294248	3325543002	3.029131824	3429424800	0.4725	0.0348	0.4928		
SRX14953928	0	2077601	0	3702	0	0	255441	64267712	0	0	0	1225770	73600348	0	7.839802605	0	5770122	4666318	32133856	87.32	12.68	36800174	warn	pass	pass	warn	5.532268441	Sanger / Illumina 1.9	fail	36800174	20-100	fail	53		pass	0	Conventional base calls	100	pass	SRX14953928_val_1.fq.gz	3.6 Gbp	pass	warn	99.04596842	5427440	4.4	36903184	12495515	36903184	3664286519	0.705410162	3690318400	0.4873	0.0539	0.4587		
SRX14953929	0	4009900	0	4611	0	0	303343	47493972	0	0	0	1935869	61264552	0	12.26950456	0	7516857	6885290	23746986	77.52	22.48	30632276	fail	pass	pass	warn	7.015625232	Sanger / Illumina 1.9	fail	30632276	20-100	fail	52		pass	0	Conventional base calls	100	pass	SRX14953929_val_1.fq.gz	3 Gbp	pass	warn	99.03837939	39904713	4.4	31343712	8926469	31343712	3040056461	3.009048163	3134371200	0.5298	0.0503	0.4199		
SRX14953930	0	2499577	0	15433	0	0	1140447	27494630	0	0	0	6276238	63343242	0	40.91504663	0	25916917	17924306	13747315	43.41	56.59	31671621	fail	pass	pass	warn	11.3958728	Sanger / Illumina 1.9	fail	31671621	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX14953930_val_2.fq.gz	3.1 Gbp	pass	warn	98.79320525	5316592	4.4	31802803	10428069	31802803	3155594997	0.776198972	3180280300	0.3835	0.0657	0.5508		
SRX14953931	0	1060454	0	1775	0	0	129311	40387570	0	0	0	614715	45006736	0	6.249977781	0	2812911	2309583	20193785	89.74	10.26	22503368	fail	pass	pass	warn	7.254313834	Sanger / Illumina 1.9	fail	22503368	20-100	fail	53		pass	0	Conventional base calls	100	pass	SRX14953931_val_2.fq.gz	2.2 Gbp	pass	fail	98.91632826	12286861	4.4	22561485	5840336	22561485	2231482097	1.093296962	2256148500	0.4926	0.0547	0.4527		
SRX14953932	0	622248	0	886	0	0	54387	45719910	0	0	0	302286	47979240	0	2.666826319	0	1279523	1129665	22859955	95.29	4.71	23989620	warn	pass	pass	warn	5.7459116	Sanger / Illumina 1.9	fail	23989620	20-100	fail	53		pass	0	Conventional base calls	100	pass	SRX14953932_val_2.fq.gz	2.3 Gbp	pass	fail	99.04167227	12589346	4.4	24039789	5845863	24039789	2381634407	0.929479581	2403978900	0.5197	0.0536	0.4268		
